small_multiplier,model,n_obs_total,n_test,accuracy
1,big_only,701,211,0.5118483412322274
1,overall,701,211,0.5734597156398105
1,small_only,701,211,0.5876777251184834
2,big_only,994,299,0.5351170568561873
2,overall,994,299,0.5284280936454849
2,small_only,994,299,0.5384615384615384
3,big_only,1169,351,0.5042735042735043
3,overall,1169,351,0.5014245014245015
3,small_only,1169,351,0.5384615384615384
4,big_only,1321,397,0.5465994962216625
4,overall,1321,397,0.5314861460957179
4,small_only,1321,397,0.5390428211586902
5,big_only,1302,391,0.5063938618925832
5,overall,1302,391,0.49872122762148335
5,small_only,1302,391,0.5345268542199488
6,big_only,1324,398,0.542713567839196
6,overall,1324,398,0.5477386934673367
6,small_only,1324,398,0.5527638190954773
7,big_only,1478,444,0.536036036036036
7,overall,1478,444,0.536036036036036
7,small_only,1478,444,0.536036036036036
8,big_only,1551,466,0.5364806866952789
8,overall,1551,466,0.5364806866952789
8,small_only,1551,466,0.5386266094420601
9,big_only,1540,462,0.5346320346320347
9,overall,1540,462,0.5367965367965368
9,small_only,1540,462,0.5367965367965368
10,big_only,1525,458,0.5152838427947598
10,overall,1525,458,0.5152838427947598
10,small_only,1525,458,0.537117903930131
11,big_only,1652,496,0.5423387096774194
11,overall,1652,496,0.5403225806451613
11,small_only,1652,496,0.5383064516129032
12,big_only,1655,497,0.545271629778672
12,overall,1655,497,0.5352112676056338
12,small_only,1655,497,0.5331991951710262
13,big_only,1774,533,0.5459662288930581
13,overall,1774,533,0.5440900562851783
13,small_only,1774,533,0.5422138836772983
14,big_only,1815,545,0.5431192660550459
14,overall,1815,545,0.5431192660550459
14,small_only,1815,545,0.5412844036697247
15,big_only,1731,520,0.5423076923076923
15,overall,1731,520,0.5384615384615384
15,small_only,1731,520,0.5423076923076923
16,big_only,1778,534,0.5430711610486891
16,overall,1778,534,0.5337078651685393
16,small_only,1778,534,0.5337078651685393
17,big_only,1853,556,0.539568345323741
17,overall,1853,556,0.5359712230215827
17,small_only,1853,556,0.5377697841726619
18,big_only,1862,559,0.5474060822898033
18,overall,1862,559,0.5438282647584973
18,small_only,1862,559,0.5474060822898033
19,big_only,1855,557,0.5314183123877917
19,overall,1855,557,0.5314183123877917
19,small_only,1855,557,0.5350089766606823
20,big_only,1875,563,0.5381882770870338
20,overall,1875,563,0.5364120781527532
20,small_only,1875,563,0.5381882770870338
