ticker,shares_today,last_close,cap,w_latest,bucket,sector
NVDA,24347000000,186.26,4534872220000.0,0.07537142197032917,Big,Information Technology
AAPL,14840390000,262.82,3900351299800.0,0.06482542602925814,Big,Information Technology
MSFT,7433087554,523.61,3892038974149.94,0.06468727179387256,Big,Information Technology
AMZN,10664912097,224.21,2391179941268.37,0.03974238382406401,Big,Consumer Discretionary
AVGO,4722365022,354.13,1672331125240.8599,0.027794823933240672,Big,Information Technology
META,2168962480,738.36,1601475136732.8,0.02661716856614727,Big,Communication Services
GOOGL,5817000000,259.92,1511954640000.0,0.025129301475982302,Big,Communication Services
TSLA,3325819167,433.72,1442474289111.24,0.023974509766000393,Big,Consumer Discretionary
GOOG,5430000000,260.51,1414569300000.0,0.023510717489758325,Big,Communication Services
WMT,7972851122,106.17,846477603622.74,0.014068802285036066,Big,Consumer Staples
JPM,2722200000,300.44,817857768000.0,0.013593128968833345,Big,Financials
ORCL,2850792605,283.33,807715068774.6499,0.013424553179672082,Big,Information Technology
LLY,896456759,825.45,739980231716.55,0.012298772619972533,Big,Health Care
BRK-B,1378545639,492.1,678382308951.9,0.011274990073528439,Big,Financials
V,1698682527,347.38,590088336229.26,0.009807508311602446,Small,Financials
MA,897274172,573.67,514739274251.24,0.008555176234776292,Small,Financials
XOM,4263247021,115.39,491936073753.19,0.008176177761691963,Small,Energy
NFLX,423732334,1094.69,463855548706.46,0.007709468006759665,Small,Communication Services
JNJ,2409295102,190.4,458729787420.8,0.0076242757680287,Small,Health Care
PLTR,2274261581,184.63,419896915700.02997,0.006978857635213964,Small,Information Technology
COST,443179176,932.14,413105037116.64,0.0068659738488919915,Small,Consumer Staples
AMD,1622843689,252.92,410449625821.88,0.006821839832431847,Small,Information Technology
ABBV,1766558253,227.99,402757616101.47003,0.006693995500263014,Small,Health Care
BAC,7329421929,52.57,385307710807.53,0.0064039709722396344,Small,Financials
HD,995386647,386.68,384896108661.96,0.006397129977059918,Small,Consumer Discretionary
PG,2340485262,152.49,356900597602.38,0.0059318331891943885,Small,Consumer Staples
UNH,905673625,362.5,328306689062.5,0.005456590791661014,Small,Health Care
GE,1054813911,303.87,320526303135.57,0.005327277610971074,Small,Industrials
CVX,2014822376,155.56,313425768810.56,0.005209263840601787,Small,Energy
KO,4301608845,69.71,299865152584.94995,0.004983880879818353,Small,Consumer Staples
IBM,934735206,307.46,287393686436.76,0.004776600036601143,Small,Information Technology
CSCO,3953196953,70.63,279214300790.38995,0.004640655318182901,Small,Information Technology
WFC,3148936681,86.41,272099618605.21,0.00452240640461947,Small,Financials
MS,1591000000,163.86,260701260000.00003,0.004332961045516846,Small,Financials
AXP,688851653,357.56,246305797046.68,0.004093702592339763,Small,Financials
MU,1122466035,219.02,245842510985.7,0.004086002589450796,Small,Information Technology
PM,1556638749,157.62,245357399617.38,0.004077939841071031,Small,Consumer Staples
CAT,468478923,522.73,244887987419.79,0.004070138019298294,Small,Industrials
TMUS,1118506626,217.77,243577187944.02002,0.00404835199852112,Small,Communication Services
CRM,952000000,254.83,242598160000.0,0.0040320801556312505,Small,Information Technology
GS,308800000,783.88,242062144000.0,0.004023171351554992,Small,Financials
RTX,1340771942,178.65,239528907438.30002,0.003981067928882907,Small,Industrials
ABT,1740459014,126.85,220777225925.9,0.003669407350291274,Small,Health Care
MRK,2497783211,87.49,218531053130.38998,0.0036320750442470125,Small,Health Care
MCD,713604434,305.79,218213099872.86002,0.0036267905317012255,Small,Consumer Discretionary
