EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-06 08:00:00-05:00,3.35,,
2025-10-31 07:00:00-04:00,1.78,1.86,4.23
2025-07-31 07:00:00-04:00,2.91,2.97,2.14
2025-04-25 07:00:00-04:00,2.4,2.46,2.62
2025-01-31 07:00:00-05:00,2.12,2.16,1.92
2024-10-30 07:00:00-04:00,2.92,3.0,2.82
2024-07-25 07:00:00-04:00,2.66,2.65,-0.39
2024-04-26 07:00:00-04:00,2.26,2.31,2.37
2024-02-02 07:00:00-05:00,2.8,2.79,-0.32
2023-10-27 07:00:00-04:00,2.87,2.95,2.8
2023-07-27 07:00:00-04:00,2.81,2.91,3.64
2023-04-27 07:00:00-04:00,2.49,2.46,-1.37
2023-02-09 07:00:00-05:00,3.58,3.6,0.65
2022-10-28 07:00:00-04:00,3.57,3.66,2.65
2022-07-29 07:00:00-04:00,3.31,3.37,1.83
2022-04-29 07:00:00-04:00,3.14,3.16,0.56
2022-02-02 07:00:00-05:00,3.28,3.31,0.84
2021-10-29 07:00:00-04:00,3.22,3.33,3.52
2021-07-30 07:00:00-04:00,3.03,3.11,2.57
2021-04-30 07:00:00-04:00,2.83,2.95,4.26
2021-02-03 07:00:00-05:00,2.85,2.92,2.42
2020-10-30 07:00:00-04:00,2.77,2.83,2.32
2020-07-31 07:00:00-04:00,2.2,2.34,6.36
2020-05-01 08:00:00-04:00,2.25,2.42,7.66
2020-02-07 07:00:00-05:00,2.19,2.21,0.73
2019-11-01 07:00:00-04:00,2.3,2.33,1.36
2019-07-26 07:00:00-04:00,2.21,2.26,2.46
2019-04-25 07:00:00-04:00,2.07,2.14,3.62
2019-01-25 07:00:00-05:00,1.93,1.9,-1.71
2018-11-02 07:00:00-04:00,2.0,2.14,6.78
2018-07-27 07:00:00-04:00,1.97,2.0,1.32
2018-04-26 07:00:00-04:00,1.79,1.87,4.29
2018-01-26 07:00:00-05:00,1.43,1.48,3.67
2017-10-27 07:00:00-04:00,1.39,1.41,1.71
2017-07-28 07:00:00-04:00,1.4,1.42,1.53
2017-04-27 07:00:00-04:00,1.26,1.28,1.4
2017-01-27 07:00:00-05:00,1.2,1.2,0.27
2016-10-28 07:00:00-04:00,1.2,1.21,0.45
2016-07-29 07:00:00-04:00,1.2,1.26,4.98
2016-04-28 07:00:00-04:00,1.14,1.15,0.84
2016-01-29 07:00:00-05:00,1.12,1.13,0.62
2015-10-30 06:00:00-04:00,1.08,1.13,4.61
2015-07-24 07:00:00-04:00,1.06,1.08,1.84
2015-04-23 07:00:00-04:00,0.85,0.94,10.09
2015-01-30 07:00:00-05:00,0.86,0.89,3.49
2014-10-31 07:00:00-04:00,0.77,0.89,15.06
2014-07-25 07:00:00-04:00,0.76,0.82,8.11
2014-04-25 07:00:00-04:00,0.68,0.71,4.47
2014-01-31 07:00:00-05:00,0.82,0.82,-0.24
2013-10-25 07:00:00-04:00,0.77,0.82,6.64
