EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-10 16:00:00-05:00,2.32,,
2025-10-27 16:00:00-04:00,2.25,2.77,22.87
2025-07-29 16:00:00-04:00,2.3,2.58,12.21
2025-04-29 16:00:00-04:00,1.31,1.54,17.21
2025-02-10 16:00:00-05:00,1.93,2.42,25.53
2024-10-30 16:00:00-04:00,2.1,2.56,22.16
2024-07-30 16:00:00-04:00,2.21,2.57,16.46
2024-04-29 16:00:00-04:00,2.09,2.45,17.23
2024-02-14 16:00:00-05:00,2.01,2.49,23.85
2023-10-30 16:00:00-04:00,1.57,2.31,47.0
2023-07-26 16:00:00-04:00,1.59,1.92,21.12
2023-04-26 16:00:00-04:00,1.45,1.73,19.33
2023-02-13 16:00:00-05:00,1.34,2.14,60.3
2022-10-26 16:00:00-04:00,0.18,0.28,52.9
2022-07-27 16:00:00-04:00,1.07,1.34,24.66
2022-04-27 16:00:00-04:00,1.07,1.1,2.57
2022-02-09 16:00:00-05:00,0.99,1.27,28.05
2021-10-27 16:00:00-04:00,0.35,0.74,114.22
2021-07-28 16:00:00-04:00,0.84,1.0,19.68
2021-04-27 17:00:00-04:00,0.45,0.59,32.05
2021-02-09 16:00:00-05:00,0.38,0.56,48.97
2020-10-29 16:00:00-04:00,0.17,0.29,69.35
2020-07-29 16:00:00-04:00,-0.17,0.04,123.36
2020-05-04 17:00:00-04:00,0.41,0.46,12.47
2020-02-11 16:00:00-05:00,0.68,0.74,8.74
2019-10-29 16:00:00-04:00,0.62,0.63,0.81
2019-07-29 16:00:00-04:00,0.67,0.77,14.92
2019-04-30 16:00:00-04:00,0.61,0.67,9.21
2019-02-12 16:00:00-05:00,0.38,0.46,20.31
2018-10-30 16:00:00-04:00,0.52,0.59,14.16
2018-07-31 16:00:00-04:00,0.53,0.59,11.94
2018-05-01 16:00:00-04:00,0.52,0.56,9.07
2018-02-12 16:00:00-05:00,0.37,0.45,19.87
2017-10-25 16:00:00-04:00,-0.21,-0.26,-23.61
2017-07-26 16:00:00-04:00,0.4,0.4,1.01
2017-04-25 16:00:00-04:00,0.44,0.47,7.29
2017-02-13 16:00:00-05:00,0.32,0.38,16.46
2016-10-26 16:00:00-04:00,0.34,0.38,11.62
2016-07-27 16:00:00-04:00,0.32,0.38,17.19
2016-04-27 16:00:00-04:00,0.37,0.39,5.92
2016-02-09 16:00:00-05:00,0.35,0.38,8.05
2015-10-28 16:00:00-04:00,0.32,0.34,5.37
2015-07-29 16:00:00-04:00,0.36,0.39,8.22
2015-04-28 16:00:00-04:00,0.36,0.39,8.12
2015-02-10 16:00:00-05:00,0.34,0.38,11.71
2014-10-29 16:00:00-04:00,0.32,0.35,10.6
2014-07-31 16:00:00-04:00,0.33,0.39,19.43
2014-05-01 16:00:00-04:00,0.35,0.4,13.41
2014-02-11 16:00:00-05:00,0.32,0.37,17.15
2013-10-28 16:00:00-04:00,0.3,0.37,21.02
