EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2025-11-25 08:00:00-05:00,2.23,,
2025-08-20 07:00:00-04:00,1.95,2.05,5.33
2025-05-22 07:00:00-04:00,0.99,1.14,15.49
2025-02-19 07:00:00-05:00,1.54,1.63,5.6
2024-11-26 07:00:00-05:00,1.64,1.67,1.88
2024-08-21 07:00:00-04:00,1.51,1.58,4.83
2024-05-22 07:00:00-04:00,1.27,1.4,10.34
2024-02-21 07:00:00-05:00,1.71,1.73,1.43
2023-11-21 07:00:00-05:00,2.02,2.01,-0.38
2023-08-23 07:00:00-04:00,2.52,2.49,-1.16
2023-05-24 07:00:00-04:00,2.76,2.83,2.67
2023-02-15 07:00:00-05:00,2.6,2.75,5.67
2022-11-22 07:00:00-05:00,2.59,2.73,5.51
2022-08-17 07:00:00-04:00,2.43,2.52,3.62
2022-05-18 07:00:00-04:00,2.11,2.4,13.69
2022-02-16 07:00:00-05:00,1.79,1.94,8.48
2021-11-23 07:00:00-05:00,1.7,1.73,1.9
2021-08-18 07:00:00-04:00,1.61,1.72,6.53
2021-05-19 07:00:00-04:00,1.45,1.54,6.04
2021-02-17 08:00:00-05:00,1.32,1.44,8.98
2020-11-24 08:00:00-05:00,1.33,1.44,8.66
2020-08-19 08:00:00-04:00,1.29,1.36,5.73
2020-05-20 07:00:00-04:00,1.04,1.08,3.5
2020-02-19 08:00:00-05:00,1.0,1.03,2.69
2019-11-26 08:00:00-05:00,1.22,1.19,-2.63
2019-08-21 08:00:00-04:00,1.23,1.26,2.67
2019-05-22 07:00:00-04:00,1.3,1.36,4.35
2019-02-20 08:00:00-05:00,1.28,1.33,4.13
2018-11-20 08:00:00-05:00,1.52,1.55,1.86
2018-08-22 08:00:00-04:00,1.46,1.53,4.87
2018-05-30 08:00:00-04:00,1.37,1.45,5.47
2018-02-28 08:00:00-05:00,1.28,1.42,10.72
2017-11-21 08:00:00-05:00,1.36,1.45,6.4
2017-08-30 08:00:00-04:00,1.15,1.26,9.67
2017-05-31 08:00:00-04:00,0.84,1.03,22.6
2017-02-15 08:00:00-05:00,0.74,0.94,26.9
2016-11-22 08:00:00-05:00,0.9,1.05,17.25
2016-08-17 08:00:00-04:00,0.75,0.82,8.72
2016-05-18 08:00:00-04:00,0.62,0.64,2.79
2016-02-17 08:00:00-05:00,0.53,0.56,5.59
2015-11-24 08:00:00-05:00,0.83,1.03,24.26
2015-08-18 16:00:00-04:00,0.74,0.77,3.6
2015-05-19 16:00:00-04:00,0.72,0.73,1.31
2015-02-17 16:00:00-05:00,0.61,0.63,3.33
2014-11-25 16:00:00-05:00,0.68,0.69,1.27
2014-08-26 16:00:00-04:00,0.63,0.63,0.5
2014-05-20 16:00:00-04:00,0.56,0.59,4.88
2014-02-18 16:00:00-05:00,0.48,0.49,1.37
2013-11-26 16:00:00-05:00,0.58,0.62,6.54
2013-08-20 16:00:00-04:00,0.54,0.57,4.96
