EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-28 08:00:00-05:00,2.56,,
2025-10-29 06:00:00-04:00,2.44,2.49,1.94
2025-07-30 06:00:00-04:00,2.23,2.26,1.5
2025-04-30 06:00:00-04:00,2.97,3.06,2.93
2025-01-29 06:00:00-05:00,2.3,2.35,2.38
2024-10-30 06:00:00-04:00,2.21,2.33,5.32
2024-07-31 06:00:00-04:00,2.06,2.09,1.38
2024-05-01 06:00:00-04:00,2.78,2.88,3.45
2024-01-31 06:00:00-05:00,2.1,2.13,1.35
2023-10-25 06:00:00-04:00,2.02,2.08,2.8
2023-07-26 06:00:00-04:00,1.83,1.89,3.16
2023-04-26 06:00:00-04:00,2.45,2.52,2.73
2023-01-25 06:00:00-05:00,1.94,1.96,1.15
2022-10-26 06:00:00-04:00,1.79,1.86,3.91
2022-07-27 06:00:00-04:00,1.47,1.5,2.38
2022-04-27 06:00:00-04:00,2.08,2.21,6.38
2022-01-26 06:00:00-05:00,1.63,1.65,1.25
2021-10-27 06:00:00-04:00,1.49,1.65,10.98
2021-07-28 06:00:00-04:00,1.14,1.2,5.37
2021-04-28 06:00:00-04:00,1.78,1.89,5.94
2021-01-27 07:00:00-05:00,1.29,1.52,18.15
2020-10-28 07:00:00-04:00,0.98,1.41,44.43
2020-07-29 08:00:00-04:00,0.96,1.14,18.21
2020-04-29 06:00:00-04:00,1.89,1.92,1.5
2020-01-29 06:00:00-05:00,1.44,1.52,5.21
2019-10-30 07:00:00-04:00,1.33,1.34,0.66
2019-07-31 06:00:00-04:00,1.13,1.14,0.71
2019-05-01 06:00:00-04:00,1.69,1.77,4.96
2019-01-30 06:00:00-05:00,1.18,1.34,13.27
2018-10-31 06:00:00-04:00,1.11,1.2,8.21
2018-08-01 07:00:00-04:00,0.9,0.92,2.61
2018-05-02 07:00:00-04:00,1.44,1.52,5.28
2018-01-31 07:00:00-05:00,0.9,0.99,10.48
2017-11-02 07:00:00-04:00,0.85,0.91,7.21
2017-07-27 07:00:00-04:00,0.67,0.66,-0.75
2017-05-03 07:00:00-04:00,1.23,1.31,6.53
2017-02-01 07:00:00-05:00,0.81,0.87,6.9
2016-11-02 07:00:00-04:00,0.76,0.86,13.3
2016-07-28 07:00:00-04:00,0.67,0.69,2.97
2016-04-28 07:00:00-04:00,1.18,1.17,-0.53
2016-02-03 07:00:00-05:00,0.72,0.72,0.45
2015-10-28 07:00:00-04:00,0.65,0.68,4.19
2015-07-30 07:00:00-04:00,0.59,0.55,-7.02
2015-04-30 07:00:00-04:00,1.02,1.04,2.07
2015-02-04 07:00:00-05:00,0.68,0.7,3.18
2014-10-29 07:00:00-04:00,0.6,0.62,3.18
2014-07-31 07:00:00-04:00,0.63,0.63,0.18
2014-04-30 07:00:00-04:00,1.07,1.06,-1.39
2014-02-05 07:00:00-05:00,0.77,0.78,1.51
2013-10-30 07:00:00-04:00,0.66,0.68,3.24
