EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2025-11-25 16:00:00-05:00,2.5,,
2025-08-28 16:00:00-04:00,2.45,2.62,7.01
2025-05-22 16:00:00-04:00,2.15,2.29,6.67
2025-02-27 16:00:00-05:00,2.14,2.29,7.01
2024-11-26 16:00:00-05:00,2.12,2.17,2.42
2024-08-29 16:00:00-04:00,2.0,2.15,7.28
2024-06-10 16:00:00-04:00,1.77,1.87,5.69
2024-02-29 16:00:00-05:00,1.95,2.09,7.29
2023-11-21 16:00:00-05:00,1.99,2.07,3.97
2023-08-23 16:00:00-04:00,1.73,1.91,10.66
2023-05-25 16:00:00-04:00,1.56,1.55,-0.55
2023-02-23 16:00:00-05:00,1.81,1.86,2.64
2022-11-22 16:00:00-05:00,1.7,1.7,-0.09
2022-08-24 16:00:00-04:00,1.57,1.65,4.97
2022-05-26 16:00:00-04:00,1.34,1.43,6.94
2022-02-24 16:00:00-05:00,1.44,1.5,4.07
2021-11-23 16:00:00-05:00,1.26,1.33,5.83
2021-08-25 16:00:00-04:00,1.12,1.21,8.1
2021-05-27 16:00:00-04:00,0.94,1.03,9.43
2021-02-25 16:00:00-05:00,1.07,1.18,9.9
2020-11-24 16:00:00-05:00,0.96,1.04,8.87
2020-08-25 16:00:00-04:00,0.9,0.98,9.45
2020-05-27 16:00:00-04:00,0.79,0.85,7.5
2020-02-27 16:00:00-05:00,0.9,0.92,2.78
2019-11-26 16:00:00-05:00,0.72,0.78,7.97
2019-08-27 16:00:00-04:00,0.61,0.65,5.79
2019-05-23 16:00:00-04:00,0.47,0.45,-3.55
2019-02-28 16:00:00-05:00,0.42,0.46,9.39
2018-11-20 16:00:00-05:00,0.27,0.29,7.6
2018-08-23 16:00:00-04:00,0.16,0.19,21.43
2018-05-24 16:00:00-04:00,0.03,0.06,91.39
2018-03-06 16:00:00-05:00,-0.11,-0.09,20.8
2017-11-28 16:00:00-05:00,-0.13,-0.12,8.12
2017-08-24 16:00:00-04:00,-0.16,-0.11,30.2
2017-05-18 16:00:00-04:00,-0.23,-0.16,31.27
2017-03-02 16:00:00-05:00,-0.33,-0.28,15.37
2016-11-29 16:00:00-05:00,-0.24,-0.18,26.19
2016-08-25 16:00:00-04:00,-0.13,0.05,137.51
2016-05-19 16:00:00-04:00,-0.14,-0.1,27.36
2016-02-25 16:00:00-05:00,0.11,0.21,85.19
2015-11-19 16:00:00-05:00,0.07,0.14,87.09
2015-08-27 16:00:00-04:00,0.17,0.19,9.76
2015-05-19 16:00:00-04:00,0.28,0.3,5.72
2015-02-26 16:00:00-05:00,0.24,0.25,2.35
2014-11-20 16:00:00-05:00,0.22,0.25,12.53
2014-08-14 16:00:00-04:00,0.28,0.35,22.83
2014-05-15 16:00:00-04:00,0.21,0.32,49.8
2014-02-26 16:00:00-05:00,0.34,0.4,18.03
2013-11-21 16:00:00-05:00,0.39,0.41,5.79
2013-08-22 16:00:00-04:00,0.42,0.45,7.24
