EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-04 16:00:00-05:00,1.7,,
2025-11-04 16:00:00-05:00,1.78,2.49,40.16
2025-08-05 16:00:00-04:00,1.69,1.11,-34.43
2025-04-30 16:00:00-04:00,1.67,1.66,-0.82
2025-02-05 17:00:00-05:00,1.62,1.56,-3.53
2024-10-30 16:00:00-04:00,1.65,-0.17,-110.28
2024-07-31 17:00:00-04:00,1.6,1.83,14.51
2024-05-01 16:00:00-04:00,1.58,1.66,5.17
2024-01-31 16:00:00-05:00,1.45,1.25,-14.04
2023-11-01 16:00:00-04:00,1.49,1.84,23.64
2023-08-01 16:00:00-04:00,1.44,1.58,10.07
2023-04-26 16:00:00-04:00,1.4,1.55,10.74
2023-02-01 16:00:00-05:00,1.21,1.29,6.44
2022-10-31 16:00:00-04:00,1.21,1.15,-5.29
2022-08-01 16:00:00-04:00,1.28,1.46,14.21
2022-04-27 16:00:00-04:00,1.37,1.42,3.96
2022-02-02 16:00:00-05:00,1.26,1.33,5.4
2021-10-27 16:00:00-04:00,1.32,1.56,18.25
2021-07-28 16:00:00-04:00,1.28,1.59,24.53
2021-04-28 16:00:00-04:00,1.21,1.51,24.57
2021-02-03 16:00:00-05:00,1.04,1.05,0.49
2020-10-27 16:00:00-04:00,1.14,1.39,22.28
2020-07-28 16:00:00-04:00,1.05,1.28,21.39
2020-04-29 16:00:00-04:00,1.1,1.21,9.8
2020-02-04 16:00:00-05:00,1.02,1.03,1.41
2019-10-24 16:00:00-04:00,1.07,1.16,8.73
2019-07-25 16:00:00-04:00,1.07,1.13,5.38
2019-04-25 16:00:00-04:00,1.06,1.12,5.68
2019-01-31 16:00:00-05:00,0.94,1.02,8.2
2018-10-24 16:00:00-04:00,0.99,1.03,3.84
2018-07-26 16:00:00-04:00,0.99,1.07,8.06
2018-04-25 16:00:00-04:00,0.97,1.05,7.96
2018-01-31 16:00:00-05:00,0.78,0.8,3.11
2017-10-25 16:00:00-04:00,0.81,0.85,4.35
2017-07-27 16:00:00-04:00,0.82,0.92,12.04
2017-04-27 16:00:00-04:00,0.81,0.84,3.1
2017-01-31 16:00:00-05:00,0.81,0.77,-5.36
2016-10-27 16:00:00-04:00,0.87,0.91,4.45
2016-07-28 16:00:00-04:00,0.84,0.86,1.59
2016-04-26 16:00:00-04:00,0.81,0.87,6.22
2016-02-01 16:00:00-05:00,0.74,0.78,5.33
2015-10-27 16:00:00-04:00,0.74,0.78,5.29
2015-07-28 16:00:00-04:00,0.76,0.75,-1.61
2015-04-28 16:00:00-04:00,0.77,0.77,-0.2
2015-02-03 16:00:00-05:00,0.64,0.65,0.42
2014-10-28 16:00:00-04:00,0.71,0.76,5.68
2014-07-29 20:00:00-04:00,0.8,0.83,4.24
2014-04-29 15:00:00-04:00,0.79,0.85,6.57
2014-02-04 16:00:00-05:00,0.69,0.7,0.94
2013-10-29 16:00:00-04:00,0.74,0.74,-0.23
