EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-04 16:00:00-05:00,8.13,,
2025-11-05 16:00:00-05:00,7.57,13.95,84.4
2025-07-30 16:00:00-04:00,3.87,7.76,100.72
2025-04-30 16:00:00-04:00,2.53,3.53,39.33
2025-02-05 16:00:00-05:00,6.15,7.07,14.96
2024-10-30 16:00:00-04:00,1.93,4.39,128.05
2024-07-31 16:00:00-04:00,0.36,1.61,346.5
2024-05-01 16:00:00-04:00,3.94,5.13,30.29
2024-02-07 16:00:00-05:00,3.94,5.82,47.88
2023-11-01 16:00:00-04:00,0.49,0.81,63.67
2023-08-01 16:00:00-04:00,-3.96,-4.42,-11.56
2023-05-03 16:00:00-04:00,-1.01,-1.3,-28.27
2023-02-01 16:00:00-05:00,-1.36,-1.36,0.07
2022-11-02 16:00:00-04:00,-1.59,-1.56,1.74
2022-08-03 16:00:00-04:00,-1.15,-0.76,34.19
2022-05-04 16:00:00-04:00,2.95,2.58,-12.57
2022-02-02 16:00:00-05:00,2.77,2.75,-0.83
2021-11-03 16:00:00-04:00,1.74,0.73,-58.07
2021-08-04 16:00:00-04:00,3.17,3.79,19.46
2021-05-05 16:00:00-04:00,3.94,6.11,55.07
2021-02-03 16:00:00-05:00,3.82,5.87,53.62
2020-11-04 16:00:00-05:00,1.76,2.94,67.12
2020-08-04 16:00:00-04:00,1.62,2.46,52.13
2020-05-05 16:00:00-04:00,3.31,3.54,6.86
2020-02-04 16:00:00-05:00,3.21,3.13,-2.59
2019-10-29 19:00:00-04:00,2.57,2.84,10.42
2019-07-30 16:00:00-04:00,1.55,2.18,40.61
2019-05-01 16:00:00-04:00,2.32,2.3,-0.73
2019-02-05 16:00:00-05:00,1.16,1.24,6.86
2018-10-31 16:00:00-04:00,2.25,1.93,-14.36
2018-08-01 16:00:00-04:00,1.5,1.9,26.63
2018-05-01 17:00:00-04:00,2.64,2.96,12.05
2018-02-07 16:00:00-05:00,1.53,2.09,36.68
2017-11-01 16:00:00-04:00,0.83,1.6,92.8
2017-08-01 16:00:00-04:00,0.9,1.38,52.98
2017-05-02 16:00:00-04:00,1.1,1.64,48.76
2017-02-01 17:00:00-05:00,1.61,2.17,35.1
2016-11-02 16:00:00-04:00,1.26,1.26,0.29
2016-08-03 16:00:00-04:00,0.58,0.62,6.1
2016-05-04 16:00:00-04:00,0.67,0.84,24.81
2016-02-03 16:00:00-05:00,1.33,1.6,20.13
2015-11-02 16:00:00-05:00,1.3,1.52,17.09
2015-08-03 16:00:00-04:00,1.02,0.63,-38.44
2015-05-05 16:00:00-04:00,1.42,1.46,2.83
2015-02-04 16:00:00-05:00,1.68,1.72,2.55
2014-10-29 16:00:00-04:00,1.32,1.39,5.0
2014-07-30 16:00:00-04:00,0.68,1.01,48.04
2014-05-06 16:00:00-04:00,1.18,1.3,9.93
2014-02-05 16:00:00-05:00,1.37,1.7,24.13
2013-10-30 16:00:00-04:00,1.38,1.53,10.6
