EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-12 16:00:00-05:00,2.2,,
2025-11-13 16:00:00-05:00,2.09,2.17,3.65
2025-08-14 16:00:00-04:00,2.36,2.48,5.13
2025-05-15 16:00:00-04:00,2.31,2.39,3.45
2025-02-13 16:00:00-05:00,2.3,2.38,3.67
2024-11-14 16:00:00-05:00,2.19,2.32,5.71
2024-08-15 16:00:00-04:00,2.03,2.12,4.68
2024-05-16 16:00:00-04:00,1.99,2.09,5.27
2024-02-15 16:00:00-05:00,1.91,2.13,11.78
2023-11-16 16:00:00-05:00,1.99,2.12,6.44
2023-08-17 16:00:00-04:00,1.75,1.9,8.88
2023-05-18 16:00:00-04:00,1.83,2.0,9.49
2023-02-16 16:00:00-05:00,1.92,2.03,5.68
2022-11-17 16:00:00-05:00,1.74,2.03,16.87
2022-08-18 16:00:00-04:00,1.78,1.94,8.69
2022-05-19 16:00:00-04:00,1.9,1.85,-2.77
2022-02-16 16:00:00-05:00,1.85,1.89,1.89
2021-11-18 16:00:00-05:00,1.96,1.94,-0.93
2021-08-19 16:00:00-04:00,1.78,1.9,6.82
2021-05-20 16:00:00-04:00,1.51,1.63,7.92
2021-02-18 16:00:00-05:00,1.28,1.39,8.75
2020-11-12 16:00:00-05:00,1.17,1.25,6.71
2020-08-13 16:00:00-04:00,0.95,1.06,11.88
2020-05-14 16:00:00-04:00,0.89,0.89,0.4
2020-02-12 16:00:00-05:00,0.93,0.98,5.82
2019-11-14 16:00:00-05:00,0.76,0.8,5.03
2019-08-15 16:00:00-04:00,0.7,0.74,5.09
2019-05-16 16:00:00-04:00,0.66,0.7,5.67
2019-02-14 16:00:00-05:00,0.79,0.81,2.45
2018-11-15 16:00:00-05:00,0.97,0.97,0.22
2018-08-16 16:00:00-04:00,1.16,1.2,3.04
2018-05-17 16:00:00-04:00,1.15,1.22,6.46
2018-02-14 16:00:00-05:00,0.98,1.06,8.04
2017-11-16 16:00:00-05:00,0.9,0.93,2.88
2017-08-17 16:00:00-04:00,0.83,0.86,3.07
2017-05-18 16:00:00-04:00,0.76,0.79,3.52
2017-02-15 16:00:00-05:00,0.66,0.67,1.68
2016-11-17 16:00:00-05:00,0.65,0.66,0.91
2016-08-18 16:00:00-04:00,0.48,0.5,5.12
2016-05-19 16:00:00-04:00,0.32,0.34,7.12
2016-02-18 16:00:00-05:00,0.25,0.26,2.95
2015-11-12 16:00:00-05:00,0.29,0.29,0.95
2015-08-13 16:00:00-04:00,0.33,0.33,-0.39
2015-05-14 16:00:00-04:00,0.28,0.29,4.58
2015-02-11 16:00:00-05:00,0.27,0.27,0.78
2014-11-13 16:00:00-05:00,0.27,0.27,0.38
2014-08-14 16:00:00-04:00,0.27,0.28,3.84
2014-05-15 16:00:00-04:00,0.27,0.28,1.82
2014-02-12 16:00:00-05:00,0.22,0.23,2.74
2013-11-14 16:00:00-05:00,0.18,0.19,5.4
