EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-03 08:00:00-05:00,1.94,,
2025-10-30 06:00:00-04:00,1.76,1.89,7.41
2025-07-31 06:00:00-04:00,1.69,1.78,5.54
2025-05-01 06:00:00-04:00,1.69,1.75,3.51
2025-02-04 06:00:00-05:00,1.85,1.87,1.12
2024-10-31 06:00:00-04:00,1.62,1.66,2.6
2024-08-01 06:00:00-04:00,1.64,1.66,0.98
2024-05-02 06:00:00-04:00,1.59,1.64,2.95
2024-02-06 06:00:00-05:00,1.63,1.68,3.12
2023-10-31 06:00:00-04:00,1.58,1.64,3.88
2023-08-01 06:00:00-04:00,1.51,1.57,4.07
2023-05-02 06:00:00-04:00,1.41,1.49,5.51
2023-02-02 06:00:00-05:00,1.47,1.52,3.31
2022-11-01 06:00:00-04:00,1.37,1.45,5.75
2022-08-02 06:00:00-04:00,1.3,1.38,6.06
2022-05-03 06:00:00-04:00,1.28,1.33,4.29
2022-02-03 06:00:00-05:00,1.3,1.37,5.28
2021-11-02 06:00:00-04:00,1.18,1.26,6.54
2021-08-03 06:00:00-04:00,1.1,1.15,4.23
2021-05-04 06:00:00-04:00,1.01,1.07,5.45
2021-02-04 06:00:00-05:00,1.03,1.08,4.92
2020-10-29 06:00:00-04:00,0.94,1.01,7.52
2020-08-04 06:00:00-04:00,0.73,0.84,15.81
2020-05-05 06:00:00-04:00,0.96,1.02,5.78
2020-02-05 06:00:00-05:00,1.03,1.08,5.13
2019-10-31 06:00:00-04:00,1.01,1.06,4.63
2019-07-30 06:00:00-04:00,1.02,1.05,2.79
2019-05-01 06:00:00-04:00,0.97,1.0,3.09
2019-02-05 06:00:00-05:00,0.84,0.86,2.12
2018-11-01 06:00:00-04:00,0.78,0.82,4.74
2018-07-31 06:00:00-04:00,0.78,0.83,6.22
2018-05-02 06:00:00-04:00,0.72,0.78,8.21
2018-02-01 06:00:00-05:00,0.67,0.7,4.72
2017-11-02 06:00:00-04:00,0.62,0.66,6.45
2017-08-02 06:00:00-04:00,0.62,0.65,4.19
2017-05-02 06:00:00-04:00,0.56,0.6,6.19
2017-02-07 06:00:00-05:00,0.58,0.58,-0.37
2016-11-01 06:00:00-04:00,0.55,0.56,1.57
2016-08-04 07:00:00-04:00,0.59,0.59,0.12
2016-04-28 07:00:00-04:00,0.57,0.57,-0.37
2016-02-05 06:00:00-05:00,0.63,0.63,-0.53
2015-10-27 06:00:00-04:00,0.65,0.65,0.42
2015-08-04 07:00:00-04:00,0.64,0.64,0.39
2015-04-29 07:00:00-04:00,0.63,0.63,0.53
2015-01-28 07:00:00-05:00,0.62,0.63,2.25
2014-10-28 07:00:00-04:00,0.61,0.62,2.12
2014-08-05 07:00:00-04:00,0.59,0.61,3.92
2014-05-06 07:00:00-04:00,0.56,0.57,1.28
2014-01-29 07:00:00-05:00,0.54,0.55,1.08
2013-10-29 07:00:00-04:00,0.52,0.52,-0.04
