EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-05 16:00:00-05:00,1.94,,
2025-10-30 16:00:00-04:00,1.56,1.95,25.3
2025-07-31 16:00:00-04:00,1.32,1.68,27.19
2025-05-01 16:00:00-04:00,1.36,1.59,16.77
2025-02-06 16:00:00-05:00,1.48,1.86,25.36
2024-10-31 16:00:00-04:00,1.14,1.43,25.22
2024-08-01 12:00:00-04:00,1.02,1.26,23.76
2024-04-30 16:00:00-04:00,0.83,0.98,18.16
2024-02-01 16:00:00-05:00,0.8,1.0,24.44
2023-10-26 16:00:00-04:00,0.59,0.94,58.7
2023-08-03 16:00:00-04:00,0.34,0.65,91.19
2023-04-27 16:00:00-04:00,0.21,0.31,44.29
2023-02-02 16:00:00-05:00,0.17,0.03,-82.2
2022-10-27 16:00:00-04:00,0.21,0.28,35.53
2022-07-28 16:00:00-04:00,0.12,-0.2,-272.53
2022-04-28 16:00:00-04:00,0.41,-0.38,-191.55
2022-02-03 16:00:00-05:00,0.18,1.39,657.12
2021-10-28 16:00:00-04:00,0.44,0.31,-31.21
2021-07-29 16:00:00-04:00,0.61,0.76,23.06
2021-04-29 16:00:00-04:00,0.47,0.79,67.3
2021-02-02 16:00:00-05:00,0.35,0.7,100.1
2020-10-29 16:00:00-04:00,0.38,0.62,64.25
2020-07-30 16:00:00-04:00,0.08,0.52,543.11
2020-04-30 17:00:00-04:00,0.31,0.25,-19.8
2020-01-30 16:00:00-05:00,0.2,0.32,62.82
2019-10-24 16:00:00-04:00,0.22,0.21,-5.79
2019-07-25 16:00:00-04:00,0.28,0.26,-5.83
2019-04-25 16:00:00-04:00,0.23,0.35,51.64
2019-01-31 16:00:00-05:00,0.28,0.3,9.54
2018-10-25 16:00:00-04:00,0.15,0.29,86.22
2018-07-26 16:00:00-04:00,0.13,0.25,101.9
2018-04-26 16:00:00-04:00,0.06,0.16,168.52
2018-02-01 16:00:00-05:00,0.09,0.11,16.43
2017-10-26 16:00:00-04:00,,0.03,3900.0
2017-07-27 16:00:00-04:00,0.07,0.02,-71.37
2017-04-27 16:00:00-04:00,0.06,0.07,34.3
2017-02-02 16:00:00-05:00,0.07,0.08,8.39
2016-10-27 16:00:00-04:00,0.04,0.03,-35.74
2016-07-28 16:00:00-04:00,0.06,0.09,59.78
2016-04-28 16:00:00-04:00,0.03,0.05,74.32
2016-01-28 16:00:00-05:00,0.08,0.05,-37.27
2015-10-22 16:00:00-04:00,-0.01,0.01,262.52
2015-07-23 16:00:00-04:00,-0.01,0.01,240.32
2015-04-23 16:00:00-04:00,-0.01,-0.01,-12.15
2015-01-29 16:00:00-05:00,0.01,0.02,152.53
2014-10-23 16:00:00-04:00,-0.04,-0.05,-23.73
2014-07-24 16:00:00-04:00,-0.01,-0.01,-83.42
2014-04-24 16:00:00-04:00,0.01,0.01,-2.87
2014-01-30 16:00:00-05:00,0.03,0.03,-26.41
2013-10-24 16:00:00-04:00,,,-15.09
