EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-24 16:00:00-05:00,0.76,,
2025-11-04 16:00:00-05:00,0.71,0.75,4.98
2025-08-05 16:00:00-04:00,0.65,0.73,12.38
2025-05-06 16:00:00-04:00,0.59,0.65,9.98
2025-02-18 16:00:00-05:00,0.57,0.65,13.96
2024-11-07 16:00:00-05:00,0.52,0.6,15.31
2024-07-30 16:00:00-04:00,0.48,0.53,8.37
2024-05-07 16:00:00-04:00,0.44,0.5,14.31
2024-02-12 16:00:00-05:00,0.43,0.52,21.6
2023-10-30 16:00:00-04:00,0.39,0.46,16.12
2023-07-31 16:00:00-04:00,0.36,0.4,9.89
2023-05-01 16:00:00-04:00,0.34,0.36,6.26
2023-02-13 16:00:00-05:00,0.3,0.35,16.19
2022-10-31 16:00:00-04:00,0.26,0.31,19.48
2022-08-01 16:00:00-04:00,0.23,0.27,17.24
2022-05-02 16:00:00-04:00,0.2,0.21,3.91
2022-02-14 16:00:00-05:00,0.18,0.21,11.77
2021-11-01 16:00:00-04:00,0.17,0.19,9.0
2021-08-02 16:00:00-04:00,0.16,0.17,6.76
2021-05-04 16:00:00-04:00,0.15,0.16,5.16
2021-02-18 16:00:00-05:00,0.15,0.16,4.3
2020-11-02 16:00:00-05:00,0.14,0.15,8.91
2020-08-04 16:00:00-04:00,0.12,0.13,8.18
2020-05-05 17:00:00-04:00,0.11,0.13,11.45
2020-02-13 16:00:00-05:00,0.13,0.14,9.38
2019-10-31 16:00:00-04:00,0.15,0.17,11.65
2019-08-01 16:00:00-04:00,0.14,0.15,11.11
2019-05-02 16:00:00-04:00,0.13,0.14,11.66
2019-02-14 16:00:00-05:00,0.13,0.14,9.02
2018-11-01 16:00:00-04:00,0.12,0.13,14.36
2018-08-02 16:00:00-04:00,0.11,0.12,13.8
2018-05-03 16:00:00-04:00,0.09,0.1,9.93
2018-02-15 16:00:00-05:00,0.09,0.11,20.4
2017-11-02 16:00:00-04:00,0.07,0.1,35.85
2017-08-03 16:00:00-04:00,0.06,0.08,41.37
2017-05-04 16:00:00-04:00,0.05,0.06,8.37
2017-02-16 16:00:00-05:00,0.05,0.07,26.8
2016-11-03 16:00:00-04:00,0.05,0.05,13.92
2016-08-04 16:00:00-04:00,0.04,0.05,8.54
2016-05-05 16:00:00-04:00,0.04,0.04,13.0
2016-02-18 16:00:00-05:00,0.04,0.05,30.86
2015-11-05 16:00:00-05:00,0.03,0.04,10.88
2015-08-06 16:00:00-04:00,0.03,0.03,16.26
2015-05-14 16:00:00-04:00,0.02,0.03,33.49
2015-02-19 16:00:00-05:00,0.02,0.03,38.16
2014-11-06 16:00:00-05:00,0.02,0.03,41.24
2014-08-07 16:00:00-04:00,0.01,0.02,166.18
