EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-04 08:00:00-05:00,2.07,,
2025-11-04 06:00:00-05:00,1.9,2.17,14.21
2025-08-05 06:00:00-04:00,1.54,0.99,-35.92
2025-05-02 06:00:00-04:00,1.84,1.82,-1.31
2025-02-04 06:00:00-05:00,1.89,2.22,17.47
2024-11-05 06:00:00-05:00,1.72,1.85,7.3
2024-08-01 06:00:00-04:00,1.75,1.64,-6.44
2024-05-02 06:00:00-04:00,1.78,1.72,-3.33
2024-02-08 06:00:00-05:00,1.72,1.91,10.77
2023-11-01 06:00:00-04:00,1.76,1.71,-2.95
2023-08-03 06:00:00-04:00,1.65,1.7,3.02
2023-05-09 16:00:00-04:00,1.47,1.42,-3.79
2023-02-09 06:00:00-05:00,1.5,1.42,-5.33
2022-11-02 06:00:00-04:00,1.23,1.33,8.36
2022-08-04 06:00:00-04:00,1.02,0.94,-7.9
2022-05-05 06:00:00-04:00,1.04,1.52,46.65
2022-02-11 07:00:00-05:00,1.09,1.05,-3.93
2021-11-02 07:00:00-04:00,1.1,1.71,55.39
2021-08-04 07:00:00-04:00,0.71,1.14,60.13
2021-05-04 07:00:00-04:00,0.58,0.66,13.67
2021-02-03 07:00:00-05:00,0.5,0.72,42.67
2020-10-29 07:00:00-04:00,0.49,0.47,-3.57
2020-07-30 13:00:00-04:00,0.47,0.46,-3.04
2020-05-01 07:00:00-04:00,0.48,0.37,-22.51
2020-01-30 07:00:00-05:00,0.73,1.1,50.91
2019-10-31 07:00:00-04:00,0.58,0.54,-6.7
2019-07-31 07:00:00-04:00,0.57,0.56,-1.36
2019-05-02 07:00:00-04:00,0.64,0.5,-21.88
2019-01-31 07:00:00-05:00,-0.82,-1.01,-23.82
2018-10-31 07:00:00-04:00,0.94,0.83,-11.68
2018-08-02 07:00:00-04:00,0.54,0.27,-50.36
2018-05-03 07:00:00-04:00,-0.21,-0.3,-40.17
2018-02-01 07:00:00-05:00,0.66,1.22,84.13
2017-11-01 07:00:00-04:00,0.59,1.07,80.48
2017-08-02 09:00:00-04:00,0.49,0.46,-7.04
2017-04-28 03:00:00-04:00,0.64,0.82,27.62
2017-02-03 02:00:00-05:00,0.81,0.98,21.3
2016-10-28 07:00:00-04:00,0.46,0.58,25.1
2016-08-03 07:00:00-04:00,0.21,0.98,371.81
2016-05-05 07:00:00-04:00,0.04,-0.18,-521.15
2016-02-03 07:00:00-05:00,0.26,0.08,-69.6
2015-10-28 09:00:00-04:00,-0.11,0.26,337.51
2015-07-29 08:00:00-04:00,0.35,0.38,8.02
2015-05-07 07:00:00-04:00,0.36,0.23,-36.54
2015-02-05 07:00:00-05:00,0.38,0.23,-39.36
2014-10-30 06:00:00-04:00,0.38,0.12,-68.72
2014-08-06 07:00:00-04:00,0.66,0.52,-21.68
2014-05-08 07:00:00-04:00,0.58,0.55,-4.44
2014-02-07 07:00:00-05:00,0.81,1.06,30.14
2013-11-07 07:00:00-05:00,0.94,1.34,42.99
