EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-04 16:00:00-05:00,1.24,,
2025-10-29 16:00:00-04:00,1.49,1.4,-6.05
2025-07-30 16:00:00-04:00,1.3,1.18,-9.17
2025-04-29 20:00:00-04:00,1.36,1.26,-6.87
2025-02-04 19:00:00-05:00,1.27,2.15,69.63
2024-11-04 16:00:00-05:00,1.47,2.47,68.04
2024-07-31 16:00:00-04:00,1.21,1.8,49.48
2024-05-03 14:00:00-04:00,1.15,1.19,3.33
2024-02-01 07:00:00-05:00,1.27,1.79,41.15
2023-10-25 16:00:00-04:00,1.23,1.35,9.87
2023-08-01 07:00:00-04:00,1.17,2.58,120.4
2023-04-26 15:00:00-04:00,1.15,1.06,-8.45
2023-02-08 16:00:00-05:00,1.22,1.7,40.21
2022-11-08 15:00:00-05:00,1.19,3.54,198.22
2022-07-28 07:00:00-04:00,1.46,1.01,-30.58
2022-04-27 16:00:00-04:00,1.34,1.88,40.0
2022-02-02 16:00:00-05:00,0.95,2.37,149.89
2021-10-27 17:00:00-04:00,0.73,0.65,-11.35
2021-07-28 16:00:00-04:00,1.54,3.23,109.05
2021-04-28 16:00:00-04:00,0.87,1.03,18.6
2021-02-02 19:00:00-05:00,0.85,2.55,199.73
2020-10-28 16:00:00-04:00,1.01,1.09,7.19
2020-07-29 16:00:00-04:00,1.07,1.22,13.95
2020-05-06 17:00:00-04:00,1.26,1.3,2.76
2020-02-05 16:00:00-05:00,1.21,1.23,1.53
2019-10-28 16:00:00-04:00,1.17,1.07,-8.68
2019-07-31 16:00:00-04:00,1.17,1.09,-7.15
2019-04-24 16:00:00-04:00,1.15,1.12,-2.95
2019-02-04 16:00:00-05:00,1.18,1.18,0.01
2018-10-29 16:00:00-04:00,1.15,1.4,21.35
2018-07-30 16:00:00-04:00,1.06,1.09,2.86
2018-04-25 04:00:00-04:00,1.06,1.04,-1.7
2018-01-31 17:00:00-05:00,1.24,1.03,-16.79
2017-10-30 20:00:00-04:00,1.62,1.54,-4.59
2017-08-02 16:00:00-04:00,1.14,1.07,-6.29
2017-04-26 16:00:00-04:00,1.07,1.01,-5.66
2017-02-01 16:00:00-05:00,1.08,1.07,-0.44
2016-10-24 16:00:00-04:00,1.12,1.12,0.27
2016-07-25 16:00:00-04:00,1.09,1.01,-7.78
2016-04-27 16:00:00-04:00,1.03,1.14,11.24
2016-02-03 16:00:00-05:00,1.04,1.06,2.02
2015-10-26 16:00:00-04:00,1.08,1.01,-6.77
2015-07-27 16:00:00-04:00,0.92,0.96,3.48
2015-04-27 18:00:00-04:00,0.87,1.07,22.11
2015-01-28 16:00:00-05:00,0.89,1.07,20.15
2014-10-27 16:00:00-04:00,1.33,1.83,37.62
2014-07-23 16:00:00-04:00,0.83,1.2,44.35
2014-04-23 16:00:00-04:00,0.82,0.8,-2.17
2014-01-29 18:00:00-05:00,0.23,0.8,248.85
2013-10-23 16:00:00-04:00,-0.08,-0.08,4.8
