EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-29 08:00:00-05:00,2.41,,
2025-10-22 06:00:00-04:00,2.33,2.37,1.91
2025-07-22 06:00:00-04:00,2.39,2.42,1.07
2025-04-23 06:00:00-04:00,2.32,2.3,-0.66
2025-01-30 06:00:00-05:00,2.41,2.38,-1.33
2024-10-23 06:00:00-04:00,2.34,2.33,-0.42
2024-07-23 06:00:00-04:00,2.26,2.42,6.91
2024-04-24 06:00:00-04:00,2.15,2.29,6.49
2024-01-31 06:00:00-05:00,2.16,2.16,-0.2
2023-10-25 06:00:00-04:00,2.1,2.1,0.01
2023-07-25 06:00:00-04:00,2.08,1.92,-7.68
2023-04-26 06:00:00-04:00,1.65,1.7,3.15
2023-02-02 06:00:00-05:00,2.02,1.65,-18.5
2022-10-26 06:00:00-04:00,2.47,2.46,-0.52
2022-07-27 06:00:00-04:00,2.37,2.64,11.55
2022-04-26 06:00:00-04:00,2.17,2.4,10.62
2022-02-02 06:00:00-05:00,2.12,2.13,0.28
2021-10-27 06:00:00-04:00,2.03,2.14,5.43
2021-07-28 06:00:00-04:00,2.04,2.25,10.46
2021-04-28 06:00:00-04:00,2.02,2.4,18.93
2021-02-03 06:00:00-05:00,2.11,2.27,7.56
2020-10-21 06:00:00-04:00,1.5,1.91,27.24
2020-07-27 06:00:00-04:00,1.14,1.27,11.45
2020-04-29 07:00:00-04:00,1.5,1.66,10.62
2020-01-29 06:00:00-05:00,1.69,1.73,2.12
2019-10-23 06:00:00-04:00,1.61,1.66,3.26
2019-07-23 06:00:00-04:00,1.68,1.72,2.43
2019-04-24 06:00:00-04:00,1.45,1.48,1.74
2019-01-30 06:00:00-05:00,1.5,1.52,1.56
2018-10-23 06:00:00-04:00,1.47,1.45,-1.02
2018-07-24 06:00:00-04:00,1.55,1.66,7.28
2018-04-25 06:00:00-04:00,1.36,1.44,5.56
2018-01-31 06:00:00-05:00,1.25,1.33,6.46
2017-10-25 06:00:00-04:00,1.21,1.26,3.99
2017-07-25 06:00:00-04:00,1.21,1.31,8.38
2017-04-26 06:00:00-04:00,1.05,1.11,6.18
2017-02-01 06:00:00-05:00,0.93,0.99,6.21
2016-10-26 06:00:00-04:00,1.0,1.01,1.19
2016-07-26 06:00:00-04:00,1.01,1.09,7.64
2016-04-27 06:00:00-04:00,0.86,0.94,9.17
2016-02-03 06:00:00-05:00,0.78,0.85,8.72
2015-10-29 06:00:00-04:00,0.84,0.92,9.65
2015-07-29 08:00:00-04:00,0.87,0.91,4.27
2015-04-29 08:00:00-04:00,0.69,0.81,16.55
2015-02-02 08:00:00-05:00,0.8,0.9,11.82
2014-10-24 08:00:00-04:00,0.74,0.77,4.54
2014-07-25 08:00:00-04:00,0.79,0.8,0.67
2014-04-23 08:00:00-04:00,0.66,0.65,-1.78
2014-01-31 08:00:00-05:00,0.68,0.69,1.4
2013-10-25 08:00:00-04:00,0.64,0.69,7.62
