EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2025-12-09 08:00:00-05:00,32.63,,
2025-09-23 06:00:00-04:00,50.72,48.71,-3.97
2025-05-27 06:00:00-04:00,37.27,35.36,-5.12
2025-03-04 06:00:00-05:00,29.2,28.29,-3.12
2024-12-10 06:00:00-05:00,33.59,32.52,-3.19
2024-09-24 06:00:00-04:00,53.55,48.11,-10.17
2024-05-21 06:00:00-04:00,36.01,36.69,1.89
2024-02-27 06:00:00-05:00,26.5,28.89,9.03
2023-12-05 06:00:00-05:00,31.57,32.55,3.09
2023-09-19 06:00:00-04:00,45.23,46.46,2.72
2023-06-09 16:00:00-04:00,33.5,34.12,1.85
2023-02-28 06:00:00-05:00,21.91,24.64,12.47
2022-12-06 06:00:00-05:00,25.31,27.45,8.46
2022-09-19 06:00:00-04:00,38.62,40.51,4.89
2022-05-24 06:00:00-04:00,26.14,29.03,11.05
2022-03-01 06:00:00-05:00,17.6,22.3,26.69
2021-12-07 06:00:00-05:00,21.08,25.69,21.88
2021-09-21 06:00:00-04:00,29.88,35.72,19.53
2021-05-25 06:00:00-04:00,20.02,26.48,32.25
2021-03-02 06:00:00-05:00,12.81,14.93,16.52
2020-12-08 06:00:00-05:00,17.61,18.61,5.7
2020-09-22 06:00:00-04:00,25.01,30.93,23.69
2020-05-26 06:00:00-04:00,13.16,14.39,9.36
2020-03-03 06:00:00-05:00,11.77,12.39,5.3
2019-12-10 06:00:00-05:00,13.74,14.3,4.09
2019-09-24 06:00:00-04:00,21.79,22.59,3.68
2019-05-21 06:00:00-04:00,15.09,15.99,5.94
2019-02-26 06:00:00-05:00,10.01,11.49,14.82
2018-12-04 06:00:00-05:00,12.22,13.47,10.23
2018-09-18 06:00:00-04:00,17.91,18.54,3.52
2018-05-22 07:00:00-04:00,12.98,13.42,3.42
2018-02-27 06:00:00-05:00,8.94,10.38,16.16
2017-12-05 06:00:00-05:00,9.79,10.0,2.17
2017-09-19 06:00:00-04:00,15.08,15.27,1.29
2017-05-23 06:00:00-04:00,11.93,11.44,-4.09
2017-02-28 06:00:00-05:00,8.19,8.08,-1.37
2016-12-06 06:00:00-05:00,9.34,9.36,0.22
2016-09-22 06:00:00-04:00,14.24,14.3,0.45
2016-05-24 06:00:00-04:00,10.92,10.77,-1.34
2016-03-01 06:00:00-05:00,7.29,7.43,1.99
2015-12-08 06:00:00-05:00,8.24,8.29,0.62
2015-09-22 07:00:00-04:00,12.69,12.75,0.46
2015-05-26 07:00:00-04:00,9.52,9.57,0.54
2015-03-03 07:00:00-05:00,6.38,6.51,1.98
2014-12-09 07:00:00-05:00,7.17,7.27,1.38
2014-09-22 07:00:00-04:00,11.27,11.28,0.08
2014-05-27 07:00:00-04:00,8.44,8.46,0.19
2014-03-04 07:00:00-05:00,5.56,5.63,1.3
2013-12-10 07:00:00-05:00,6.27,6.29,0.29
2013-09-25 07:00:00-04:00,10.33,10.42,0.85
