EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-14 08:00:00-05:00,0.98,,
2025-10-15 06:00:00-04:00,0.95,1.06,12.04
2025-07-16 06:00:00-04:00,0.86,0.89,3.61
2025-04-15 06:00:00-04:00,0.81,0.9,10.74
2025-01-16 06:00:00-05:00,0.77,0.82,6.84
2024-10-15 06:00:00-04:00,0.76,0.81,6.34
2024-07-16 06:00:00-04:00,0.8,0.83,3.58
2024-04-16 06:00:00-04:00,0.77,0.76,-1.84
2024-01-12 06:00:00-05:00,0.64,0.35,-45.64
2023-10-17 06:00:00-04:00,0.82,0.9,10.05
2023-07-18 06:00:00-04:00,0.84,0.88,4.87
2023-04-18 06:00:00-04:00,0.82,0.94,14.6
2023-01-13 06:00:00-05:00,0.77,0.85,10.57
2022-10-17 06:00:00-04:00,0.77,0.81,4.92
2022-07-18 06:00:00-04:00,0.75,0.73,-2.06
2022-04-18 06:00:00-04:00,0.74,0.8,7.49
2022-01-19 06:00:00-05:00,0.76,0.82,8.57
2021-10-14 06:00:00-04:00,0.71,0.85,19.78
2021-07-14 06:00:00-04:00,0.76,1.03,35.48
2021-04-15 12:00:00-04:00,0.65,0.86,32.86
2021-01-19 06:00:00-05:00,0.54,0.59,9.38
2020-10-14 06:00:00-04:00,0.5,0.51,2.39
2020-07-16 06:00:00-04:00,0.28,0.37,30.18
2020-04-15 07:00:00-04:00,0.6,0.4,-33.43
2020-01-15 06:00:00-05:00,0.69,0.74,7.06
2019-10-16 06:00:00-04:00,0.68,0.75,9.66
2019-07-17 06:00:00-04:00,0.71,0.74,4.81
2019-04-16 06:00:00-04:00,0.66,0.7,5.74
2019-01-16 06:00:00-05:00,0.63,0.7,11.01
2018-10-15 07:00:00-04:00,0.62,0.66,6.65
2018-07-16 06:00:00-04:00,0.58,0.63,8.93
2018-04-16 06:00:00-04:00,0.6,0.62,4.11
2018-01-17 06:00:00-05:00,0.45,0.47,5.52
2017-10-13 06:00:00-04:00,0.46,0.48,5.47
2017-07-18 06:00:00-04:00,0.44,0.46,5.49
2017-04-18 06:00:00-04:00,0.35,0.41,17.91
2017-01-13 06:00:00-05:00,0.38,0.4,6.1
2016-10-17 02:00:00-04:00,0.34,0.41,22.27
2016-07-18 06:00:00-04:00,0.33,0.36,9.33
2016-04-14 06:00:00-04:00,0.21,0.21,-1.33
2016-01-19 06:00:00-05:00,0.27,0.28,3.72
2015-10-14 07:00:00-04:00,0.33,0.37,11.36
2015-07-15 07:00:00-04:00,0.36,0.45,26.63
2015-04-15 07:00:00-04:00,0.29,0.27,-7.15
2015-01-15 07:00:00-05:00,0.31,0.25,-19.48
2014-10-15 07:00:00-04:00,-0.09,-0.05,45.02
2014-07-16 07:00:00-04:00,0.1,0.19,87.65
2014-04-16 07:00:00-04:00,0.06,-0.05,-188.01
2014-01-15 07:00:00-05:00,0.27,0.29,9.38
2013-10-16 07:00:00-04:00,0.19,0.2,7.54
