EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-03 08:00:00-05:00,0.9,,
2025-11-04 06:00:00-05:00,1.02,1.02,-0.17
2025-08-05 06:00:00-04:00,0.87,0.9,3.26
2025-05-06 06:00:00-04:00,0.64,0.63,-2.06
2025-02-04 06:00:00-05:00,0.81,0.84,3.72
2024-10-31 06:00:00-04:00,0.86,0.91,6.02
2024-08-01 06:00:00-04:00,0.7,0.74,5.19
2024-04-26 11:00:00-04:00,0.54,0.68,25.66
2024-02-01 06:00:00-05:00,0.75,0.78,3.59
2023-11-02 06:00:00-04:00,0.81,0.83,2.78
2023-08-03 06:00:00-04:00,0.61,0.61,0.18
2023-05-04 06:00:00-04:00,0.51,0.69,36.05
2023-02-02 06:00:00-05:00,0.55,0.44,-20.0
2022-11-03 06:00:00-04:00,0.8,0.75,-5.9
2022-08-04 06:00:00-04:00,0.9,0.82,-8.85
2022-05-05 05:00:00-04:00,0.83,0.77,-7.4
2022-01-27 06:00:00-05:00,0.9,0.97,7.88
2021-11-04 06:00:00-04:00,0.98,0.94,-4.35
2021-08-05 06:00:00-04:00,0.83,0.86,4.06
2021-05-06 06:00:00-04:00,0.67,0.72,6.91
2021-02-04 06:00:00-05:00,0.78,0.81,3.22
2020-11-05 06:00:00-05:00,0.77,0.89,15.7
2020-08-06 06:00:00-04:00,0.56,0.65,15.58
2020-05-07 07:00:00-04:00,0.6,0.61,2.26
2020-02-06 06:00:00-05:00,0.67,0.71,5.29
2019-10-31 06:00:00-04:00,0.72,0.7,-3.04
2019-08-01 06:00:00-04:00,0.64,0.64,0.25
2019-05-02 06:00:00-04:00,0.51,0.49,-4.11
2019-01-31 06:00:00-05:00,0.56,0.55,-0.94
2018-11-01 06:00:00-04:00,0.59,0.56,-5.35
2018-08-02 06:00:00-04:00,0.58,0.58,-0.32
2018-05-03 06:00:00-04:00,0.45,0.5,11.2
2018-02-07 06:00:00-05:00,0.51,0.6,17.0
2017-11-02 06:00:00-04:00,0.58,0.52,-9.97
2017-08-03 06:00:00-04:00,0.55,0.53,-3.0
2017-05-04 06:00:00-04:00,0.35,0.38,9.93
2017-02-02 06:00:00-05:00,0.42,0.44,3.64
2016-11-03 06:00:00-04:00,0.47,0.48,2.62
2016-08-04 06:00:00-04:00,0.5,0.53,5.98
2016-04-28 06:00:00-04:00,0.34,0.29,-15.69
2016-01-28 06:00:00-05:00,0.37,0.4,7.21
2015-10-29 06:00:00-04:00,0.48,0.55,15.37
2015-07-30 06:00:00-04:00,0.47,0.45,-5.27
2015-04-30 06:00:00-04:00,0.4,0.35,-12.66
2015-02-05 06:00:00-05:00,0.43,0.42,-1.29
2014-10-30 06:00:00-04:00,0.53,0.55,4.38
2014-07-31 06:00:00-04:00,0.51,0.56,10.42
2014-05-01 06:00:00-04:00,0.34,0.41,20.55
2014-01-30 06:00:00-05:00,0.36,0.43,18.63
2013-10-24 06:00:00-04:00,0.47,0.5,6.95
