EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-11 08:00:00-05:00,2.02,,
2025-11-05 06:00:00-05:00,1.97,2.27,15.32
2025-07-30 06:00:00-04:00,1.08,1.31,20.91
2025-05-07 06:00:00-04:00,1.31,1.81,38.3
2025-02-05 06:00:00-05:00,2.25,2.13,-5.35
2024-10-30 06:00:00-04:00,2.15,2.29,6.58
2024-07-31 06:00:00-04:00,1.83,1.73,-5.48
2024-04-24 06:00:00-04:00,2.53,3.04,20.1
2024-02-07 06:00:00-05:00,2.8,3.7,32.22
2023-10-26 06:00:00-04:00,2.5,2.99,19.74
2023-08-02 06:00:00-04:00,2.66,3.72,39.63
2023-05-03 06:00:00-04:00,3.24,3.26,0.52
2023-02-08 06:00:00-05:00,3.21,3.24,0.79
2022-10-26 06:00:00-04:00,2.5,3.45,37.88
2022-07-27 06:00:00-04:00,3.2,2.97,-7.22
2022-04-27 06:00:00-04:00,2.94,4.26,44.78
2022-02-09 06:00:00-05:00,2.87,3.49,21.42
2021-10-27 06:00:00-04:00,1.42,3.72,161.94
2021-07-28 06:00:00-04:00,1.62,2.61,61.1
2021-05-04 06:00:00-04:00,1.54,3.13,102.68
2021-02-10 06:00:00-05:00,1.82,3.05,67.5
2020-10-28 06:00:00-04:00,0.2,2.47,1154.13
2020-07-29 06:00:00-04:00,1.31,3.88,195.15
2020-05-06 06:00:00-04:00,0.67,-1.34,-300.45
2020-02-12 06:00:00-05:00,0.29,1.27,342.0
2019-10-30 06:00:00-04:00,0.4,1.41,252.1
2019-07-31 06:00:00-04:00,0.33,1.52,357.58
2019-05-08 06:00:00-04:00,0.04,0.36,730.45
2019-02-21 06:00:00-05:00,0.22,0.08,-63.69
2018-10-31 06:00:00-04:00,2.39,2.52,5.35
2018-08-01 06:00:00-04:00,1.04,0.1,-90.39
2018-05-02 06:00:00-04:00,-0.12,-0.06,51.86
2018-02-14 06:00:00-05:00,1.29,0.67,-47.91
2017-11-01 06:00:00-04:00,0.71,0.75,5.08
2017-08-02 06:00:00-04:00,0.1,0.17,64.74
2017-05-03 06:00:00-04:00,0.71,0.35,-50.75
2017-02-15 06:00:00-05:00,1.57,1.7,8.5
2016-11-02 06:00:00-04:00,0.73,0.73,0.04
2016-07-28 06:00:00-04:00,0.38,0.79,106.62
2016-04-28 06:00:00-04:00,0.76,1.41,84.56
2016-02-11 06:00:00-05:00,1.56,1.49,-4.49
2015-10-29 06:00:00-04:00,1.59,1.24,-21.88
2015-07-30 06:00:00-04:00,1.36,0.51,-62.53
2015-04-30 06:00:00-04:00,1.12,1.58,40.99
2015-02-12 06:00:00-05:00,2.52,1.2,-52.36
2014-10-30 06:00:00-04:00,1.9,1.31,-31.23
2014-07-31 06:00:00-04:00,1.38,1.76,27.96
2014-05-01 06:00:00-04:00,1.42,-0.12,-108.46
2014-02-13 06:00:00-05:00,2.16,1.35,-37.48
2013-10-24 06:00:00-04:00,2.24,2.05,-8.48
