EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-19 16:00:00-05:00,48.32,,
2025-10-28 16:00:00-04:00,95.92,99.5,3.74
2025-07-29 16:00:00-04:00,50.4,55.4,9.93
2025-04-29 16:00:00-04:00,17.57,24.81,41.23
2025-02-20 16:00:00-05:00,36.05,41.55,15.24
2024-10-30 16:00:00-04:00,77.38,83.89,8.42
2024-08-01 16:00:00-04:00,38.7,41.9,8.28
2024-05-02 16:00:00-04:00,14.14,20.39,44.24
2024-02-22 16:00:00-05:00,30.05,32.0,6.48
2023-11-02 16:00:00-04:00,67.92,72.32,6.49
2023-08-03 16:00:00-04:00,29.16,37.62,29.01
2023-05-04 16:00:00-04:00,10.74,11.6,8.0
2023-02-23 16:00:00-05:00,22.12,24.74,11.83
2022-11-02 16:00:00-04:00,49.85,53.03,6.38
2022-08-03 16:00:00-04:00,17.67,19.08,7.99
2022-05-04 16:00:00-04:00,1.33,3.9,193.84
2022-02-23 16:00:00-05:00,13.52,15.83,17.08
2021-11-03 16:00:00-04:00,33.03,37.7,14.14
2021-08-04 16:00:00-04:00,-2.15,-2.55,-18.35
2021-05-05 16:00:00-04:00,-6.11,-5.26,13.87
2021-02-24 16:00:00-05:00,-4.22,-0.57,86.5
2020-11-05 17:00:00-05:00,14.24,12.27,-13.83
2020-08-06 16:00:00-04:00,-11.58,-10.81,6.65
2020-05-07 16:00:00-04:00,5.14,3.77,-26.64
2020-02-26 16:00:00-05:00,22.12,23.3,5.32
2019-11-07 16:00:00-05:00,44.43,45.36,2.09
2019-08-07 16:00:00-04:00,22.81,23.59,3.42
2019-05-09 16:00:00-04:00,11.26,11.17,-0.84
2019-02-27 16:00:00-05:00,19.5,22.49,15.3
2018-11-05 16:00:00-05:00,38.13,37.78,-0.91
2018-08-09 08:00:00-04:00,17.36,20.67,19.04
2018-05-09 16:00:00-04:00,10.66,12.0,12.52
2018-02-27 16:00:00-05:00,14.12,16.86,19.39
2017-11-06 16:00:00-05:00,34.25,35.22,2.82
2017-08-08 16:00:00-04:00,14.23,15.14,6.4
2017-05-09 16:00:00-04:00,8.79,9.88,12.36
2017-02-27 16:00:00-05:00,13.01,14.21,9.22
2016-11-07 16:00:00-05:00,29.92,31.18,4.2
2016-08-04 16:00:00-04:00,12.68,13.93,9.86
2016-05-04 07:00:00-04:00,9.61,10.54,9.63
2016-02-17 07:00:00-05:00,11.81,12.63,6.99
2015-11-09 07:00:00-05:00,24.24,25.35,4.56
2015-08-05 07:00:00-04:00,11.85,12.45,5.07
2015-05-07 07:00:00-04:00,7.72,8.12,5.13
2015-02-19 07:00:00-05:00,10.1,10.85,7.43
2014-11-04 07:00:00-05:00,21.09,22.16,5.08
2014-08-11 07:00:00-04:00,12.06,12.51,3.74
2014-05-08 07:00:00-04:00,6.92,7.81,12.81
2014-02-20 16:00:00-05:00,8.29,8.85,6.76
2013-11-07 16:00:00-05:00,16.13,17.3,7.25
