EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-19 08:00:00-05:00,1.29,,
2025-10-30 07:00:00-04:00,1.72,1.88,9.06
2025-07-31 07:00:00-04:00,2.34,2.38,1.57
2025-05-01 07:00:00-04:00,1.42,1.51,6.36
2025-02-20 07:00:00-05:00,2.21,2.31,4.66
2024-11-05 07:00:00-05:00,3.02,3.07,1.65
2024-08-06 07:00:00-04:00,3.08,3.5,13.68
2024-05-07 07:00:00-04:00,2.33,2.65,13.77
2024-02-22 07:00:00-05:00,2.58,3.55,37.67
2023-11-01 07:00:00-04:00,3.92,4.24,8.19
2023-08-02 07:00:00-04:00,2.59,3.89,50.24
2023-05-03 07:00:00-04:00,1.56,2.96,90.26
2023-02-28 07:00:00-05:00,2.31,3.21,39.19
2022-11-08 07:00:00-05:00,3.3,5.2,57.52
2022-08-01 07:00:00-04:00,3.04,6.26,105.7
2022-05-10 07:00:00-04:00,2.02,3.9,93.07
2022-03-01 07:00:00-05:00,1.89,2.78,47.48
2021-11-04 07:00:00-04:00,1.63,3.39,107.78
2021-08-05 07:00:00-04:00,1.87,2.76,47.78
2021-05-06 07:00:00-04:00,0.72,1.1,52.78
2021-02-26 07:00:00-05:00,0.9,1.26,39.3
2020-10-29 16:00:00-04:00,0.64,0.82,28.13
2020-07-30 16:00:00-04:00,0.35,0.67,91.93
2020-04-30 17:00:00-04:00,0.28,0.34,21.43
2020-02-20 16:00:00-05:00,0.35,0.4,14.34
2019-10-31 16:00:00-04:00,0.6,0.72,20.67
2019-08-01 16:00:00-04:00,0.48,0.63,31.5
2019-05-02 16:00:00-04:00,0.23,0.34,48.36
2019-02-28 16:00:00-05:00,0.43,0.46,7.75
2018-11-01 17:00:00-04:00,0.59,0.67,13.24
2018-08-07 16:00:00-04:00,0.53,0.54,2.05
2018-05-09 16:00:00-04:00,0.16,0.24,46.97
2018-02-28 16:00:00-05:00,0.17,0.4,141.01
2017-11-08 16:00:00-05:00,0.37,0.39,4.81
2017-08-03 16:00:00-04:00,0.33,0.37,10.81
2017-05-08 16:00:00-04:00,0.05,0.11,122.58
2017-02-28 16:00:00-05:00,0.08,0.16,92.26
2016-11-03 16:00:00-04:00,0.38,0.61,62.65
2016-08-04 17:00:00-04:00,0.37,0.31,-15.25
2016-05-05 16:00:00-04:00,-0.13,-0.11,14.06
2016-03-03 19:00:00-05:00,-0.05,,100.0
2015-11-05 18:00:00-05:00,0.26,0.31,18.34
2015-07-23 17:00:00-04:00,0.06,0.14,121.06
2015-04-23 17:00:00-04:00,-0.01,-0.02,-29.2
2015-02-19 17:00:00-05:00,0.04,0.03,-31.76
2014-10-23 17:00:00-04:00,0.11,0.08,-31.02
2014-07-24 17:00:00-04:00,0.1,0.05,-50.0
2014-04-24 17:00:00-04:00,-0.01,-0.01,
2014-02-20 18:00:00-05:00,0.02,0.03,79.96
2013-10-24 17:00:00-04:00,0.03,0.09,237.46
