EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-14 08:00:00-05:00,12.89,,
2025-10-14 06:00:00-04:00,11.34,11.55,1.87
2025-07-15 06:00:00-04:00,10.81,12.05,11.47
2025-04-11 06:00:00-04:00,9.77,9.64,-1.35
2025-01-15 05:00:00-05:00,11.22,11.93,6.36
2024-10-11 06:00:00-04:00,10.31,11.46,11.11
2024-07-15 06:00:00-04:00,9.96,10.36,3.99
2024-04-12 06:00:00-04:00,9.39,9.81,4.47
2024-01-12 05:00:00-05:00,8.77,9.15,4.32
2023-10-13 06:00:00-04:00,8.34,10.91,30.76
2023-07-14 06:00:00-04:00,8.47,9.28,9.6
2023-04-14 06:00:00-04:00,7.61,7.64,0.38
2023-01-13 08:00:00-05:00,8.06,8.29,2.83
2022-10-13 07:00:00-04:00,7.06,9.55,35.17
2022-07-15 07:00:00-04:00,8.02,7.36,-8.27
2009-10-20 07:00:00-04:00,1.93,2.1,8.64
2009-07-21 07:00:00-04:00,1.56,1.75,12.02
2009-04-21 07:00:00-04:00,0.81,0.81,0.6
2009-01-21 07:00:00-05:00,0.99,0.68,-31.56
2008-10-21 07:00:00-04:00,1.88,1.71,-8.83
2008-07-17 07:00:00-04:00,1.88,2.14,13.61
2008-04-16 07:00:00-04:00,2.01,1.9,-5.53
2008-01-17 07:00:00-05:00,2.15,2.52,17.21
2007-10-17 07:00:00-04:00,1.91,2.29,19.9
2007-07-18 07:00:00-04:00,1.67,1.8,7.98
