EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-26 16:00:00-05:00,0.9,,
2025-10-27 17:00:00-04:00,0.93,1.05,12.91
2025-07-28 17:00:00-04:00,0.99,1.03,4.55
2025-04-28 17:00:00-04:00,1.3,1.29,-0.53
2025-01-27 17:00:00-05:00,0.77,0.86,12.09
2024-10-28 17:00:00-04:00,0.88,0.91,3.8
2024-07-22 17:00:00-04:00,0.88,0.93,6.07
2024-04-22 17:00:00-04:00,1.07,1.14,6.61
2024-01-22 19:00:00-05:00,0.53,0.58,10.01
2023-10-23 17:00:00-04:00,0.62,0.71,13.92
2023-07-24 17:00:00-04:00,0.59,0.68,14.6
2023-04-24 18:00:00-04:00,0.81,0.84,3.36
2023-01-23 17:00:00-05:00,0.46,0.5,9.87
2022-10-24 17:00:00-04:00,0.6,0.5,-16.7
2022-07-25 17:00:00-04:00,0.49,0.51,4.74
2022-04-25 17:00:00-04:00,0.75,0.78,3.76
2022-01-24 17:00:00-05:00,0.39,0.42,7.69
2021-10-25 17:00:00-04:00,0.53,0.58,9.43
2021-07-26 17:00:00-04:00,0.4,0.49,21.48
2021-04-26 17:00:00-04:00,0.57,0.7,22.66
2021-01-25 17:00:00-05:00,0.29,0.32,9.05
2020-10-26 17:00:00-04:00,0.43,0.52,21.12
2020-07-27 17:00:00-04:00,0.28,0.34,19.39
2020-04-27 18:00:00-04:00,0.46,0.51,11.17
2020-01-27 17:00:00-05:00,0.27,0.28,5.02
2019-10-28 17:00:00-04:00,0.39,0.39,1.1
2019-07-22 17:00:00-04:00,0.28,0.32,13.75
2019-04-22 17:00:00-04:00,0.36,0.41,12.43
2019-01-28 17:00:00-05:00,0.27,0.26,-4.28
2018-10-22 17:00:00-04:00,0.34,0.38,12.49
2018-07-23 17:00:00-04:00,0.28,0.26,-6.19
2018-04-23 17:00:00-04:00,0.29,0.33,11.94
2018-01-22 17:00:00-05:00,0.21,0.24,11.75
2017-10-16 17:00:00-04:00,0.25,0.27,7.73
2017-07-17 17:00:00-04:00,0.24,0.25,3.59
2017-04-17 17:00:00-04:00,0.21,0.22,1.05
2017-01-23 17:00:00-05:00,0.2,0.21,2.71
2016-10-20 17:00:00-04:00,0.24,0.26,6.47
2016-07-18 17:00:00-04:00,0.22,0.25,11.0
2016-04-18 17:00:00-04:00,0.21,0.22,4.46
2016-01-25 17:00:00-05:00,0.18,0.19,3.84
2015-10-19 17:00:00-04:00,0.24,0.24,2.62
2015-07-20 17:00:00-04:00,0.22,0.22,-2.82
2015-04-20 17:00:00-04:00,0.2,0.2,0.96
2015-01-26 17:00:00-05:00,0.07,0.18,176.46
2014-10-20 17:00:00-04:00,0.23,0.22,-7.94
2014-07-21 19:00:00-04:00,0.21,0.19,-8.11
2014-04-21 21:00:00-04:00,0.21,0.2,-5.82
2014-02-03 17:00:00-05:00,0.18,0.17,-5.45
2013-10-14 16:00:00-04:00,0.2,0.2,-0.84
