EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-04 08:00:00-05:00,0.78,,
2025-10-22 06:00:00-04:00,0.71,0.75,5.09
2025-07-23 06:00:00-04:00,0.48,0.53,9.72
2025-04-23 06:00:00-04:00,0.67,0.75,11.52
2025-02-05 06:00:00-05:00,0.66,0.7,6.57
2024-10-23 06:00:00-04:00,0.59,0.63,7.05
2024-07-24 06:00:00-04:00,0.58,0.62,6.51
2024-04-24 06:00:00-04:00,0.51,0.56,9.14
2024-01-31 06:00:00-05:00,0.51,0.55,7.33
2023-10-26 06:00:00-04:00,0.48,0.5,4.72
2023-07-27 06:00:00-04:00,0.49,0.53,8.15
2023-04-26 06:00:00-04:00,0.43,0.47,8.6
2023-02-01 06:00:00-05:00,0.47,0.45,-4.64
2022-10-26 06:00:00-04:00,0.44,0.43,-2.57
2022-07-27 06:00:00-04:00,0.42,0.44,3.96
2022-04-27 06:00:00-04:00,0.39,0.39,1.22
2022-02-02 06:00:00-05:00,0.44,0.45,2.51
2021-10-27 06:00:00-04:00,0.4,0.41,3.66
2021-07-27 06:00:00-04:00,0.37,0.4,7.32
2021-04-28 06:00:00-04:00,0.31,0.37,21.08
2021-02-03 06:00:00-05:00,0.31,0.23,-26.03
2020-10-28 06:00:00-04:00,0.25,0.37,49.66
2020-07-29 06:00:00-04:00,-0.02,0.08,436.56
2020-04-29 06:00:00-04:00,0.32,0.28,-11.23
2020-02-05 06:00:00-05:00,0.44,0.46,4.47
2019-10-23 06:00:00-04:00,0.38,0.39,1.85
2019-07-24 06:00:00-04:00,0.38,0.39,2.62
2019-04-24 06:00:00-04:00,0.36,0.35,-1.79
2019-02-06 06:00:00-05:00,0.36,0.39,9.16
2018-10-24 06:00:00-04:00,0.34,0.35,2.97
2018-07-25 06:00:00-04:00,0.34,0.41,19.56
2018-04-25 06:00:00-04:00,0.32,0.33,4.76
2018-02-01 06:00:00-05:00,0.34,0.34,-0.79
2017-10-26 06:00:00-04:00,0.31,0.31,0.82
2017-07-27 06:00:00-04:00,0.31,0.32,2.79
2017-04-27 06:00:00-04:00,0.3,0.29,-3.35
2017-02-02 06:00:00-05:00,0.29,0.3,4.84
2016-10-26 06:00:00-04:00,0.27,0.27,0.98
2016-07-28 06:00:00-04:00,0.27,0.27,1.86
2016-04-27 06:00:00-04:00,0.24,0.28,15.84
2016-02-04 06:00:00-05:00,0.25,0.26,5.49
2015-10-28 06:00:00-04:00,0.23,0.24,6.4
2015-07-23 07:00:00-04:00,0.21,0.22,2.58
2015-04-28 07:00:00-04:00,0.21,0.21,2.24
2015-02-04 07:00:00-05:00,0.22,0.22,2.14
2014-10-22 07:00:00-04:00,0.2,0.2,2.43
2014-07-24 07:00:00-04:00,0.19,0.21,8.02
2014-04-29 07:00:00-04:00,0.11,0.13,20.08
2014-02-04 07:00:00-05:00,0.13,0.13,2.48
2013-10-24 07:00:00-04:00,0.09,0.1,7.39
