EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-29 08:00:00-05:00,1.54,,
2025-10-23 06:00:00-04:00,1.23,1.52,23.89
2025-07-24 06:00:00-04:00,1.1,1.21,9.81
2025-04-17 06:00:00-04:00,1.06,1.09,3.11
2025-01-30 06:00:00-05:00,1.47,1.69,15.23
2024-10-17 06:00:00-04:00,0.91,1.01,10.47
2024-07-18 06:00:00-04:00,0.98,0.96,-2.34
2024-04-17 20:00:00-04:00,0.97,0.98,1.27
2024-01-25 06:00:00-05:00,0.95,1.11,16.94
2023-10-19 06:00:00-04:00,1.01,0.94,-7.31
2023-07-20 06:00:00-04:00,0.92,0.93,0.59
2023-04-19 20:00:00-04:00,0.95,0.97,1.82
2023-01-26 06:00:00-05:00,0.95,1.07,13.12
2022-10-20 06:00:00-04:00,1.0,1.06,6.45
2022-07-21 06:00:00-04:00,1.44,1.49,3.57
2022-04-21 06:00:00-04:00,1.05,1.55,46.96
2022-01-27 06:00:00-05:00,1.4,1.71,22.16
2021-10-21 06:00:00-04:00,0.92,1.28,39.3
2021-07-22 06:00:00-04:00,0.78,0.82,5.09
2021-04-22 06:00:00-04:00,0.76,0.96,26.94
2021-01-27 06:00:00-05:00,0.91,1.13,24.7
2020-10-28 07:00:00-04:00,0.56,0.63,12.13
2020-07-23 06:00:00-04:00,0.44,0.43,-1.29
2020-04-23 07:00:00-04:00,0.53,0.46,-12.75
2020-01-30 06:00:00-05:00,0.66,0.72,8.43
2019-10-23 06:00:00-04:00,0.55,0.58,5.35
2019-07-18 06:00:00-04:00,0.52,0.57,9.67
2019-04-18 06:00:00-04:00,0.56,0.44,-21.54
2019-01-31 06:00:00-05:00,0.02,-0.02,-223.3
2018-10-18 06:00:00-04:00,0.75,0.76,1.42
2018-07-19 06:00:00-04:00,0.74,0.9,20.87
2018-04-19 06:00:00-04:00,0.5,0.65,30.95
2018-02-01 06:00:00-05:00,0.67,0.71,5.89
2017-10-19 06:00:00-04:00,0.55,0.69,24.95
2017-07-20 06:00:00-04:00,0.62,0.59,-4.85
2017-04-20 06:00:00-04:00,0.68,0.82,20.25
2017-01-26 06:00:00-05:00,0.66,0.68,3.29
2016-10-27 04:00:00-04:00,0.48,0.57,19.39
2016-07-21 06:00:00-04:00,0.39,0.44,12.58
2016-04-21 06:00:00-04:00,0.39,0.31,-20.93
2016-01-28 07:00:00-05:00,0.48,0.37,-22.45
2015-10-15 07:00:00-04:00,-0.26,-0.35,-33.32
2015-07-16 07:00:00-04:00,0.44,0.43,-1.54
2015-04-16 07:00:00-04:00,1.04,1.37,31.5
2015-01-29 07:00:00-05:00,0.91,1.25,36.65
2014-10-16 07:00:00-04:00,0.72,0.66,-7.75
2014-07-17 07:00:00-04:00,0.75,1.15,54.35
2014-04-17 07:00:00-04:00,0.56,0.7,24.52
2014-01-30 07:00:00-05:00,0.83,1.35,62.46
2013-10-17 07:00:00-04:00,0.56,0.56,
