EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-29 08:00:00-05:00,2.3,,
2025-10-30 06:00:00-04:00,2.17,2.55,17.33
2025-08-12 06:00:00-04:00,2.03,2.08,2.36
2025-05-01 06:00:00-04:00,1.69,2.1,23.95
2025-01-30 06:00:00-05:00,1.5,1.65,10.3
2024-11-01 06:00:00-04:00,1.62,1.88,15.88
2024-08-14 06:00:00-04:00,1.73,1.84,6.27
2024-05-02 06:00:00-04:00,1.95,2.08,6.63
2024-02-01 08:00:00-05:00,1.6,1.82,14.0
2023-11-03 06:00:00-04:00,1.41,1.73,22.98
2023-08-15 06:00:00-04:00,1.48,1.55,4.86
2023-05-04 06:00:00-04:00,1.49,1.74,16.77
2023-02-02 06:00:00-05:00,1.14,1.32,15.33
2022-11-04 06:00:00-04:00,0.97,1.2,24.12
2022-08-11 06:00:00-04:00,1.18,1.05,-11.22
2022-05-05 06:00:00-04:00,1.53,1.45,-4.96
2022-02-03 06:00:00-05:00,1.23,1.27,3.1
2021-11-09 06:00:00-05:00,1.35,1.29,-4.3
2021-08-05 06:00:00-04:00,1.2,0.77,-35.7
2021-05-06 06:00:00-04:00,1.56,1.53,-1.83
2021-02-05 06:00:00-05:00,1.45,1.74,20.32
2020-11-05 06:00:00-05:00,1.14,1.51,32.69
2020-08-06 06:00:00-04:00,0.89,1.04,16.65
2020-05-11 06:00:00-04:00,1.45,1.62,11.87
2020-02-06 06:00:00-05:00,1.22,1.52,24.59
2019-11-07 06:00:00-05:00,1.09,1.27,16.12
2019-08-08 06:00:00-04:00,0.94,1.11,18.42
2019-05-09 06:00:00-04:00,1.41,1.59,12.43
2019-02-07 06:00:00-05:00,1.09,1.29,18.16
2018-11-08 06:00:00-05:00,1.07,1.29,20.2
2018-08-06 06:00:00-04:00,0.93,1.01,8.33
2018-05-03 06:00:00-04:00,1.51,1.39,-8.08
2018-02-08 07:00:00-05:00,1.16,1.51,30.25
2017-11-06 06:00:00-05:00,1.0,1.09,8.93
2017-08-02 07:00:00-04:00,1.24,1.31,5.29
2017-05-01 07:00:00-04:00,1.46,1.53,5.07
2017-02-07 07:00:00-05:00,1.23,1.34,9.27
2016-10-31 07:00:00-04:00,1.2,1.24,3.16
2016-08-02 07:00:00-04:00,1.13,1.14,0.95
2016-04-28 07:00:00-04:00,1.33,1.43,7.9
2016-02-01 07:00:00-05:00,1.26,1.3,3.37
2015-11-02 07:00:00-05:00,1.1,1.38,25.05
2015-07-30 07:00:00-04:00,0.99,1.0,1.34
2015-04-30 07:00:00-04:00,1.16,1.19,2.91
2015-01-29 07:00:00-05:00,1.1,1.2,8.81
2014-10-30 07:00:00-04:00,0.96,1.0,4.04
2014-08-04 07:00:00-04:00,0.81,0.83,2.64
2014-05-01 07:00:00-04:00,1.01,1.01,0.43
2014-01-30 07:00:00-05:00,0.84,0.9,7.09
2013-10-31 07:00:00-04:00,0.85,1.1,29.01
