EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-17 16:00:00-05:00,1.91,,
2025-10-27 16:00:00-04:00,1.79,1.93,7.85
2025-07-28 16:00:00-04:00,1.56,1.65,6.0
2025-04-28 16:00:00-04:00,1.5,1.57,4.75
2025-02-18 16:00:00-05:00,1.82,1.88,3.16
2024-10-28 16:00:00-04:00,1.44,1.64,13.73
2024-07-22 16:00:00-04:00,1.23,1.28,4.27
2024-04-22 16:00:00-04:00,1.13,1.17,3.47
2024-02-12 16:00:00-05:00,1.33,1.38,3.68
2023-10-23 16:00:00-04:00,1.22,1.26,3.56
2023-07-24 16:00:00-04:00,1.19,1.22,2.41
2023-04-24 16:00:00-04:00,1.25,1.29,2.97
2023-02-13 16:00:00-05:00,0.92,0.96,4.53
2022-10-24 16:00:00-04:00,0.96,1.06,10.28
2022-07-25 16:00:00-04:00,0.97,1.08,11.8
2022-04-25 16:00:00-04:00,1.0,1.17,16.87
2022-02-22 16:00:00-05:00,0.78,0.82,4.59
2021-10-25 16:00:00-04:00,0.75,0.8,6.73
2021-07-26 16:00:00-04:00,0.76,0.86,13.55
2021-04-26 16:00:00-04:00,0.74,0.83,11.6
2021-02-22 16:00:00-05:00,0.74,0.83,12.07
2020-10-19 16:00:00-04:00,0.61,0.7,15.69
2020-07-20 16:00:00-04:00,0.52,0.66,26.92
2020-04-20 17:00:00-04:00,0.54,0.6,11.28
2020-02-12 16:00:00-05:00,0.53,0.54,1.97
2019-10-21 16:00:00-04:00,0.51,0.54,6.07
2019-07-22 16:00:00-04:00,0.53,0.57,7.07
2019-04-22 16:00:00-04:00,0.49,0.54,10.2
2019-02-19 16:00:00-05:00,0.47,0.52,10.05
2018-10-22 16:00:00-04:00,0.41,0.49,19.15
2018-07-23 16:00:00-04:00,0.4,0.45,12.97
2018-04-23 16:00:00-04:00,0.37,0.4,7.36
2018-01-31 16:00:00-05:00,0.39,0.39,
2017-10-26 16:00:00-04:00,0.34,0.35,2.58
2017-07-24 16:00:00-04:00,0.32,0.34,5.27
2017-04-24 16:00:00-04:00,0.32,0.32,1.41
2017-02-01 16:00:00-05:00,0.33,0.34,1.73
2016-10-24 16:00:00-04:00,0.28,0.3,6.11
2016-07-25 16:00:00-04:00,0.28,0.29,2.48
2016-04-25 16:00:00-04:00,0.27,0.28,1.87
2016-02-03 16:00:00-05:00,0.29,0.31,7.28
2015-10-26 16:00:00-04:00,0.26,0.28,8.45
2015-07-27 16:00:00-04:00,0.24,0.27,11.71
2015-04-27 16:00:00-04:00,0.21,0.23,8.98
2015-02-04 16:00:00-05:00,0.27,0.27,-0.67
2014-10-20 16:00:00-04:00,0.24,0.26,9.58
2014-07-21 16:00:00-04:00,0.2,0.21,5.0
2014-04-21 16:00:00-04:00,0.19,0.2,4.17
2014-01-29 16:00:00-05:00,0.23,0.23,
2013-10-23 16:00:00-04:00,0.21,0.21,1.45
