EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-30 08:00:00-05:00,0.84,,
2025-10-31 06:00:00-04:00,0.74,0.81,9.93
2025-08-01 06:00:00-04:00,0.86,0.94,9.51
2025-05-01 07:00:00-04:00,0.9,0.91,1.42
2025-01-31 06:00:00-05:00,0.77,0.77,0.42
2024-11-01 06:00:00-04:00,0.68,-0.31,-145.89
2024-08-02 07:00:00-04:00,0.84,0.93,10.09
2024-05-02 06:00:00-04:00,0.87,0.96,10.07
2024-02-02 06:00:00-05:00,0.65,0.65,0.63
2023-11-03 06:00:00-04:00,0.69,0.74,7.55
2023-07-28 07:00:00-04:00,0.8,0.92,15.41
2023-04-27 06:00:00-04:00,0.77,0.85,11.08
2023-02-03 06:00:00-05:00,0.6,0.62,3.15
2022-10-28 06:00:00-04:00,0.65,0.76,16.33
2022-07-29 06:00:00-04:00,0.72,0.76,5.8
2022-04-28 06:00:00-04:00,0.77,0.83,7.33
2022-01-28 06:00:00-05:00,0.6,0.64,6.43
2021-10-29 06:00:00-04:00,0.71,0.8,12.94
2021-07-30 06:00:00-04:00,0.7,0.76,8.96
2021-04-29 06:00:00-04:00,0.81,0.83,2.91
2021-01-29 06:00:00-05:00,0.52,0.53,0.97
2020-10-29 06:00:00-04:00,0.67,0.7,4.0
2020-07-31 06:00:00-04:00,0.63,0.77,21.93
2020-04-30 07:00:00-04:00,0.77,0.83,7.4
2020-01-31 06:00:00-05:00,0.55,0.55,-0.01
2019-10-31 06:00:00-04:00,0.61,0.66,8.33
2019-07-31 06:00:00-04:00,0.52,0.57,9.26
2019-05-02 07:00:00-04:00,0.66,0.7,6.0
2019-02-05 07:00:00-05:00,0.58,0.57,-2.36
2018-11-01 07:00:00-04:00,0.54,0.58,7.19
2018-08-02 07:00:00-04:00,0.47,0.49,5.08
2018-05-03 07:00:00-04:00,0.61,0.63,3.06
2018-02-05 07:00:00-05:00,0.5,0.52,3.85
2017-11-02 07:00:00-04:00,0.47,0.49,4.44
2017-08-03 07:00:00-04:00,0.39,0.41,5.56
2017-05-04 07:00:00-04:00,0.46,0.52,12.64
2017-02-07 07:00:00-05:00,0.42,0.44,3.62
2016-11-03 07:00:00-04:00,0.47,0.47,0.43
2016-08-04 07:00:00-04:00,0.4,0.43,8.34
2016-05-05 07:00:00-04:00,0.42,0.43,1.33
2016-02-02 07:00:00-05:00,0.41,0.41,0.69
2015-11-02 07:00:00-05:00,0.44,0.45,1.25
2015-08-04 07:00:00-04:00,0.35,0.37,4.35
2015-05-07 07:00:00-04:00,0.39,0.4,1.8
2015-02-03 07:00:00-05:00,0.4,0.39,-2.35
2014-11-03 07:00:00-05:00,0.41,0.43,3.78
2014-08-01 05:00:00-04:00,0.31,0.33,5.38
2014-05-01 07:00:00-04:00,0.36,0.37,0.63
2014-02-03 18:00:00-05:00,0.33,0.33,-1.91
2013-11-01 07:00:00-04:00,0.37,0.38,3.34
