EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-28 16:00:00-05:00,1.13,,
2025-10-29 16:00:00-04:00,1.3,1.4,7.37
2025-07-30 16:00:00-04:00,1.16,1.29,11.61
2025-04-30 16:00:00-04:00,1.05,1.17,11.38
2025-01-29 16:00:00-05:00,1.11,1.21,9.25
2024-10-30 16:00:00-04:00,1.15,1.28,11.45
2024-07-31 16:00:00-04:00,0.96,1.15,20.15
2024-05-01 16:00:00-04:00,0.63,0.86,36.65
2024-01-31 16:00:00-05:00,0.81,0.5,-37.92
2023-11-01 16:00:00-04:00,0.8,0.84,4.4
2023-08-02 16:00:00-04:00,0.91,0.9,-1.26
2023-04-26 16:00:00-04:00,0.98,0.98,-0.11
2023-02-01 16:00:00-05:00,1.34,1.03,-23.41
2022-11-02 07:00:00-04:00,2.17,1.78,-18.0
2022-07-27 16:00:00-04:00,1.99,2.67,34.08
2022-04-27 16:00:00-04:00,1.55,2.05,32.23
2022-02-02 07:00:00-05:00,1.86,1.74,-6.43
2021-10-26 16:00:00-04:00,1.42,1.85,29.98
2021-07-27 16:00:00-04:00,1.34,1.44,7.39
2021-04-27 16:00:00-04:00,0.99,1.28,29.51
2021-01-26 16:00:00-05:00,0.98,1.08,10.55
2020-10-27 16:00:00-04:00,0.98,1.0,2.25
2020-07-28 16:00:00-04:00,0.61,1.06,74.26
2020-04-28 17:00:00-04:00,0.69,0.57,-17.42
2020-01-28 16:00:00-05:00,0.96,0.7,-26.91
2019-10-29 16:00:00-04:00,1.14,1.07,-6.26
2019-07-30 17:00:00-04:00,1.22,1.22,0.22
2019-04-30 16:00:00-04:00,1.14,1.16,1.8
2019-01-29 16:00:00-05:00,1.21,1.34,10.4
2018-10-30 16:00:00-04:00,1.17,1.25,6.55
2018-07-31 16:00:00-04:00,1.07,1.13,6.09
2018-05-01 16:00:00-04:00,1.0,1.01,0.62
2018-01-30 16:00:00-05:00,0.84,0.86,1.72
2017-10-31 16:00:00-04:00,0.82,0.85,4.0
2017-07-19 16:00:00-04:00,0.9,0.78,-13.09
2017-04-25 16:00:00-04:00,0.81,0.86,6.53
2017-01-31 16:00:00-05:00,0.84,0.86,2.7
2016-10-25 16:00:00-04:00,0.96,0.9,-6.52
2016-07-26 16:00:00-04:00,1.0,1.0,-0.16
2016-04-26 16:00:00-04:00,0.82,0.83,1.33
2016-02-02 16:00:00-05:00,0.87,0.88,1.09
2015-10-27 16:00:00-04:00,0.94,0.96,2.48
2015-07-28 16:00:00-04:00,0.86,0.94,8.97
2015-04-27 16:00:00-04:00,0.73,0.73,-0.62
2015-02-03 16:00:00-05:00,0.76,0.77,1.54
2014-10-28 16:00:00-04:00,0.8,0.85,5.64
2014-07-29 16:00:00-04:00,0.76,0.8,4.59
2014-04-29 16:00:00-04:00,0.61,0.63,3.57
2014-02-04 16:00:00-05:00,0.68,0.62,-8.49
2013-11-05 16:00:00-05:00,0.73,0.69,-5.64
