EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-30 08:00:00-05:00,10.09,,
2025-10-31 07:00:00-04:00,9.32,8.34,-10.5
2025-07-25 07:00:00-04:00,9.66,9.18,-4.96
2025-04-25 07:00:00-04:00,8.37,8.42,0.56
2025-01-31 07:00:00-05:00,9.22,10.1,9.49
2024-11-01 07:00:00-04:00,8.49,8.82,3.91
2024-07-26 07:00:00-04:00,8.0,8.49,6.17
2024-04-26 07:00:00-04:00,7.87,7.55,-4.09
2024-02-02 07:00:00-05:00,8.84,7.07,-19.99
2023-10-27 07:00:00-04:00,8.11,8.25,1.71
2023-07-28 07:00:00-04:00,8.1,8.05,-0.61
2023-04-28 07:00:00-04:00,7.55,6.65,-11.93
2023-01-27 07:00:00-05:00,8.77,7.69,-12.33
2022-10-28 07:00:00-04:00,8.38,7.38,-11.97
2022-07-29 07:00:00-04:00,7.12,8.8,23.57
2022-04-29 07:00:00-04:00,6.66,6.9,3.65
2022-01-28 07:00:00-05:00,7.08,8.93,26.22
2021-10-29 07:00:00-04:00,5.79,6.5,12.29
2021-07-30 07:00:00-04:00,4.99,5.29,6.03
2021-04-30 07:00:00-04:00,4.18,4.11,-1.79
2021-01-29 07:00:00-05:00,4.75,6.05,27.44
2020-10-30 07:00:00-04:00,3.25,4.13,27.32
2020-07-31 07:00:00-04:00,2.48,3.63,46.44
2020-05-01 08:00:00-04:00,2.94,1.98,-32.73
2020-01-31 07:00:00-05:00,2.38,3.38,41.95
2019-10-25 07:00:00-04:00,1.69,1.74,3.04
2019-07-26 07:00:00-04:00,1.84,1.39,-24.38
2019-04-30 07:00:00-04:00,1.42,1.11,-21.84
2019-01-31 07:00:00-05:00,1.59,1.29,-19.08
2018-10-26 07:00:00-04:00,1.1,1.44,30.06
2018-07-31 07:00:00-04:00,0.91,1.15,26.9
2018-04-27 08:00:00-04:00,0.51,0.7,36.19
2018-02-02 08:00:00-05:00,0.82,34.56,4113.04
2017-10-26 07:00:00-04:00,0.8,0.19,-76.25
2017-07-27 08:00:00-04:00,0.66,0.52,-20.97
2017-05-02 07:00:00-04:00,0.75,0.57,-24.2
2017-02-16 07:00:00-05:00,1.05,1.47,39.82
2016-11-03 08:00:00-04:00,0.73,0.69,-6.05
2016-08-09 07:00:00-04:00,-0.96,0.99,203.32
2016-04-28 08:00:00-04:00,-1.47,-1.64,-12.11
2016-02-04 08:00:00-05:00,-0.16,-1.21,-653.24
2015-10-29 08:00:00-04:00,0.05,0.53,1037.48
2015-08-04 08:00:00-04:00,0.32,0.06,-81.41
2015-05-01 08:00:00-04:00,-0.04,-0.59,-1573.14
2015-02-05 08:00:00-05:00,0.01,-0.49,-6100.25
2014-10-29 07:00:00-04:00,0.03,-0.54,-2059.93
2014-07-31 08:00:00-04:00,0.35,-0.46,-230.88
2014-04-28 06:00:00-04:00,0.28,-0.39,-240.29
2014-02-21 08:00:00-05:00,0.24,0.39,59.09
2013-11-05 08:00:00-05:00,0.06,-0.75,-1440.79
