EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-03 16:00:00-05:00,1.45,,
2025-11-03 16:00:00-05:00,0.78,0.85,9.23
2025-07-31 16:00:00-04:00,2.21,2.87,29.75
2025-05-05 16:00:00-04:00,1.56,1.45,-6.9
2025-02-03 16:00:00-05:00,1.24,1.54,24.05
2024-10-30 16:00:00-04:00,1.39,1.86,33.57
2024-08-01 16:00:00-04:00,1.56,1.82,16.43
2024-04-30 16:00:00-04:00,1.37,1.71,25.15
2024-02-01 16:00:00-05:00,1.1,2.16,95.83
2023-11-01 16:00:00-04:00,-0.23,0.49,312.25
2023-08-02 16:00:00-04:00,1.18,1.67,41.09
2023-05-02 16:00:00-04:00,1.22,1.51,23.37
2023-02-02 16:00:00-05:00,0.66,0.98,49.37
2022-11-01 16:00:00-04:00,0.78,0.93,19.65
2022-08-03 16:00:00-04:00,0.93,0.93,0.09
2022-05-02 16:00:00-04:00,0.96,1.31,36.28
2022-02-03 16:00:00-05:00,0.85,0.66,-21.96
2021-11-01 16:00:00-04:00,1.02,1.21,19.05
2021-08-03 06:00:00-04:00,1.31,0.95,-27.74
2021-04-30 06:00:00-04:00,1.46,1.62,11.11
2021-02-04 06:00:00-05:00,1.75,2.03,15.74
2020-11-02 06:00:00-05:00,2.25,3.22,43.22
2020-08-03 06:00:00-04:00,1.99,2.41,21.18
2020-05-01 07:00:00-04:00,1.63,1.89,15.78
2020-02-04 06:00:00-05:00,1.33,1.46,10.07
2019-10-31 06:00:00-04:00,1.54,1.59,3.05
2019-08-01 06:00:00-04:00,1.84,1.88,2.03
2019-05-01 06:00:00-04:00,1.47,1.44,-1.74
2019-02-04 06:00:00-05:00,1.31,1.4,7.22
2018-10-31 06:00:00-04:00,1.59,1.62,1.6
2018-08-02 06:00:00-04:00,1.59,1.66,4.13
2018-05-02 06:00:00-04:00,1.31,1.37,4.56
2018-02-02 06:00:00-05:00,1.23,1.16,-5.48
2017-11-01 06:00:00-04:00,1.42,1.46,2.74
2017-08-03 06:00:00-04:00,1.49,1.53,2.58
2017-05-03 06:00:00-04:00,1.3,1.31,1.06
2017-02-03 06:00:00-05:00,1.22,1.14,-6.57
2016-11-02 06:00:00-04:00,1.42,1.36,-4.13
2016-08-03 06:00:00-04:00,1.28,1.26,-1.26
2016-05-03 06:00:00-04:00,1.1,1.21,9.56
2016-02-04 06:00:00-05:00,1.05,1.14,8.86
2015-11-02 06:00:00-05:00,1.18,1.32,11.58
2015-08-03 08:00:00-04:00,1.37,1.44,4.92
2015-05-01 08:00:00-04:00,1.1,1.08,-1.47
2015-02-04 08:00:00-05:00,0.9,0.97,8.28
2014-10-31 08:00:00-04:00,1.03,1.1,6.95
2014-08-01 08:00:00-04:00,1.35,1.3,-3.62
2014-05-01 08:00:00-04:00,1.08,1.18,9.64
2014-02-04 08:00:00-05:00,0.91,0.88,-3.13
2013-10-31 08:00:00-04:00,1.01,1.04,3.44
