EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-11 08:00:00-05:00,2.68,,
2025-10-22 07:00:00-04:00,2.63,2.68,1.98
2025-07-23 07:00:00-04:00,2.94,2.96,0.64
2025-04-23 07:00:00-04:00,2.68,2.62,-2.2
2025-02-12 07:00:00-05:00,2.45,2.52,3.05
2024-10-23 07:00:00-04:00,2.65,2.68,0.96
2024-07-24 07:00:00-04:00,2.53,2.56,1.04
2024-04-24 07:00:00-04:00,2.45,2.5,2.0
2024-02-14 07:00:00-05:00,2.28,2.37,3.87
2023-10-25 07:00:00-04:00,2.22,2.25,1.27
2023-07-26 07:00:00-04:00,2.19,2.3,4.99
2023-04-26 07:00:00-04:00,2.38,2.42,1.86
2023-02-08 07:00:00-05:00,1.88,1.92,2.05
2022-10-26 07:00:00-04:00,1.94,1.98,2.24
2022-07-27 07:00:00-04:00,1.93,1.97,1.86
2022-04-27 07:00:00-04:00,2.0,2.11,5.33
2022-02-09 07:00:00-05:00,1.64,1.66,1.24
2021-10-27 07:00:00-04:00,1.55,1.6,2.99
2021-07-28 07:00:00-04:00,1.61,1.64,2.05
2021-04-28 07:00:00-04:00,1.76,1.79,1.9
2021-02-10 07:00:00-05:00,1.36,1.39,1.9
2020-10-28 07:00:00-04:00,1.44,1.38,-3.92
2020-07-29 07:00:00-04:00,1.64,1.63,-0.39
2020-04-29 07:00:00-04:00,2.21,2.33,5.63
2020-02-12 07:00:00-05:00,1.55,1.52,-1.86
2019-10-30 07:00:00-04:00,1.75,1.9,8.58
2019-07-31 07:00:00-04:00,1.76,1.76,-0.08
2019-05-01 07:00:00-04:00,1.6,1.62,1.12
2019-02-14 07:00:00-05:00,1.73,1.77,2.11
2018-10-25 07:00:00-04:00,1.43,1.45,1.45
2018-07-26 07:00:00-04:00,1.72,1.74,1.23
2018-04-26 07:00:00-04:00,1.85,1.86,0.42
2018-02-01 07:00:00-05:00,1.1,1.12,2.02
2017-10-26 07:00:00-04:00,1.16,1.19,2.94
2017-08-01 07:00:00-04:00,1.21,1.23,2.01
2017-04-27 07:00:00-04:00,1.2,1.22,1.62
2017-02-02 07:00:00-05:00,1.1,1.14,3.2
2016-10-27 07:00:00-04:00,1.04,1.05,1.28
2016-07-28 07:00:00-04:00,1.11,1.09,-1.21
2016-04-28 07:00:00-04:00,1.15,1.15,-0.1
2016-02-05 07:00:00-05:00,0.9,0.92,2.37
2015-10-29 07:00:00-04:00,0.99,1.02,3.01
2015-07-30 07:00:00-04:00,0.92,0.95,2.92
2015-04-30 07:00:00-04:00,0.95,0.98,3.53
2015-02-05 16:00:00-05:00,0.93,0.95,2.3
2014-10-30 07:00:00-04:00,0.83,0.84,1.3
2014-07-31 07:00:00-04:00,0.79,0.77,-2.79
2014-05-01 07:00:00-04:00,0.83,0.83,0.47
2014-02-04 07:00:00-05:00,0.68,0.64,-5.87
2013-11-04 07:00:00-05:00,0.73,0.75,2.69
