EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-03 08:00:00-05:00,5.04,,
2025-11-06 07:00:00-05:00,4.83,5.03,4.04
2025-08-05 07:00:00-04:00,5.21,6.43,23.53
2025-05-05 07:00:00-04:00,4.92,5.96,21.04
2025-02-04 07:00:00-05:00,4.64,3.02,-34.94
2024-11-05 07:00:00-05:00,4.81,5.86,21.94
2024-08-01 07:00:00-04:00,4.76,5.26,10.4
2024-05-02 07:00:00-04:00,4.96,5.1,2.72
2024-02-06 07:00:00-05:00,4.47,4.14,-7.29
2023-11-02 07:00:00-04:00,4.68,4.74,1.12
2023-08-03 07:00:00-04:00,5.22,5.18,-0.75
2023-05-02 07:00:00-04:00,4.71,5.65,20.01
2023-02-06 07:00:00-05:00,4.52,4.51,-0.11
2022-11-03 07:00:00-04:00,4.82,3.44,-28.65
2022-08-02 07:00:00-04:00,4.34,4.77,9.94
2022-05-03 07:00:00-04:00,3.55,4.04,13.66
2022-02-03 07:00:00-05:00,3.14,2.73,-13.01
2021-11-02 07:00:00-04:00,3.93,3.69,-6.05
2021-08-03 07:00:00-04:00,4.03,4.1,1.71
2021-05-04 07:00:00-04:00,3.49,4.07,16.66
2021-02-04 07:00:00-05:00,2.75,3.36,22.39
2020-10-27 07:00:00-04:00,2.45,3.36,36.88
2020-07-28 07:00:00-04:00,0.95,1.86,96.29
2020-04-28 08:00:00-04:00,2.19,3.41,55.92
2020-02-04 07:00:00-05:00,2.46,2.56,4.11
2019-10-29 07:00:00-04:00,3.84,3.88,1.0
2019-07-30 07:00:00-04:00,4.44,4.27,-3.77
2019-04-30 07:00:00-04:00,3.54,4.2,18.51
2019-02-06 07:00:00-05:00,3.81,3.48,-8.69
2018-10-30 07:00:00-04:00,3.76,4.05,7.73
2018-07-31 07:00:00-04:00,3.66,3.29,-10.18
2018-05-01 07:00:00-04:00,2.94,2.43,-17.28
2018-02-06 07:00:00-05:00,2.64,3.03,14.81
2017-10-31 07:00:00-04:00,2.46,2.71,10.08
2017-08-01 07:00:00-04:00,2.56,2.53,-1.2
2017-05-02 07:00:00-04:00,1.8,2.36,31.23
2017-02-09 07:00:00-05:00,2.01,2.25,11.93
2016-11-01 07:00:00-04:00,1.96,2.02,3.11
2016-08-02 07:00:00-04:00,2.18,2.4,10.04
2016-05-03 07:00:00-04:00,1.78,1.87,5.34
2016-02-04 07:00:00-05:00,2.1,2.09,-0.64
2015-10-27 07:00:00-04:00,2.59,2.14,-17.45
2015-07-28 07:00:00-04:00,2.56,2.62,2.31
2015-04-28 07:00:00-04:00,2.15,2.04,-4.93
2015-02-05 07:00:00-05:00,2.51,2.56,1.86
2014-10-28 07:00:00-04:00,2.29,2.32,1.52
2014-07-28 07:00:00-04:00,2.39,2.43,1.85
2014-04-29 07:00:00-04:00,1.68,1.83,9.13
2014-02-06 07:00:00-05:00,1.98,1.94,-1.8
2013-10-29 07:00:00-04:00,2.11,1.94,-8.1
