EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-19 16:00:00-05:00,1.15,,
2025-10-30 16:00:00-04:00,1.1,1.5,35.89
2025-07-31 16:00:00-04:00,1.51,5.14,240.52
2025-05-08 16:00:00-04:00,1.87,0.24,-87.18
2025-02-13 16:00:00-05:00,2.04,4.68,128.96
2024-10-30 16:00:00-04:00,0.38,0.28,-27.11
2024-08-01 16:00:00-04:00,0.8,0.14,-82.45
2024-05-02 16:00:00-04:00,1.07,4.4,309.7
2024-02-15 16:00:00-05:00,0.2,1.04,420.0
2023-11-02 16:00:00-04:00,-0.53,-0.01,98.13
2023-08-03 16:00:00-04:00,-0.78,-0.42,46.4
2023-05-04 16:00:00-04:00,-1.36,-0.34,74.96
2023-02-21 16:00:00-05:00,-2.51,-2.46,1.9
2022-11-03 16:00:00-04:00,-2.38,-2.43,-2.13
2022-08-09 16:00:00-04:00,-2.77,-4.95,-78.82
2022-05-10 16:00:00-04:00,0.91,-1.25,-237.69
2022-02-24 16:00:00-05:00,1.89,3.32,76.05
2021-11-09 16:00:00-05:00,1.43,1.62,13.38
2021-08-10 16:00:00-04:00,2.58,6.42,149.02
2021-05-13 16:00:00-04:00,3.2,3.05,-4.51
