EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2025-12-04 16:00:00-05:00,1.12,,
2025-08-27 16:00:00-04:00,1.07,1.1,3.04
2025-05-29 16:00:00-04:00,0.93,0.96,3.31
2025-03-06 16:00:00-05:00,0.91,0.92,0.93
2024-12-05 16:00:00-05:00,1.0,1.04,4.01
2024-08-28 16:00:00-04:00,0.91,0.96,5.42
2024-05-30 16:00:00-04:00,0.83,0.85,2.59
2024-02-29 16:00:00-05:00,0.78,0.85,8.47
2023-12-07 16:00:00-05:00,0.87,0.87,-0.39
2023-08-30 16:00:00-04:00,0.84,0.84,0.27
2023-06-01 16:00:00-04:00,0.76,0.77,1.69
2023-03-02 16:00:00-05:00,0.67,0.73,7.45
2022-12-08 16:00:00-05:00,0.78,0.69,-11.64
2022-08-31 16:00:00-04:00,0.81,0.8,-1.18
2022-06-02 16:00:00-04:00,0.86,0.81,-5.49
2022-03-03 16:00:00-05:00,0.78,0.81,4.15
2021-12-02 16:00:00-05:00,0.84,0.82,-2.85
2021-09-02 16:00:00-04:00,0.82,0.85,3.61
2021-06-03 16:00:00-04:00,0.77,0.85,9.37
2021-03-04 16:00:00-05:00,0.7,0.79,13.55
2020-12-03 16:00:00-05:00,0.78,0.79,1.55
2020-09-03 16:00:00-04:00,0.38,0.57,48.4
2020-06-04 16:00:00-04:00,0.61,0.38,-37.7
2020-03-05 16:00:00-05:00,0.68,0.67,-1.08
2019-12-05 16:00:00-05:00,0.82,0.83,0.87
2019-08-29 16:00:00-04:00,0.79,0.81,1.65
2019-05-30 16:00:00-04:00,0.69,0.74,6.29
2019-03-05 16:00:00-05:00,0.63,0.72,15.08
2018-12-06 16:00:00-05:00,0.74,0.72,-3.24
2018-08-30 16:00:00-04:00,0.77,0.75,-2.15
2018-06-07 16:00:00-04:00,0.71,0.72,0.6
2018-03-08 16:00:00-05:00,0.63,0.7,11.25
2017-12-07 16:00:00-05:00,0.66,0.66,0.16
2017-08-31 16:00:00-04:00,0.64,0.66,2.38
2017-06-01 16:00:00-04:00,0.56,0.63,11.13
2017-03-02 16:00:00-05:00,0.47,0.48,2.88
2016-12-08 16:00:00-05:00,0.56,0.57,1.55
2016-09-01 16:00:00-04:00,0.57,0.57,0.42
2016-06-02 16:00:00-04:00,0.48,0.51,6.95
2016-03-03 16:00:00-05:00,0.4,0.46,15.51
2015-12-03 16:00:00-05:00,0.53,0.5,-4.98
2015-09-03 16:00:00-04:00,0.49,0.49,1.19
2015-06-04 16:00:00-04:00,0.44,0.43,-1.96
2015-03-05 16:00:00-05:00,0.39,0.44,12.85
2014-12-04 16:00:00-05:00,0.51,0.49,-3.81
2014-09-04 16:00:00-04:00,0.48,0.48,-1.13
2014-06-05 16:00:00-04:00,0.4,0.41,2.5
2014-03-06 16:00:00-05:00,0.36,0.37,0.96
2013-12-05 16:00:00-05:00,0.45,0.37,-17.77
2013-09-05 16:00:00-04:00,0.43,0.44,1.47
