EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-04 16:00:00-05:00,5.93,,
2025-11-05 16:00:00-05:00,5.64,5.7,1.02
2025-08-06 16:00:00-04:00,5.12,5.13,0.12
2025-05-06 17:00:00-04:00,3.45,3.4,-1.55
2025-02-05 16:00:00-05:00,4.31,3.44,-20.14
2024-11-07 16:00:00-05:00,4.97,5.0,0.54
2024-08-07 12:00:00-04:00,4.51,4.55,0.89
2024-05-08 16:00:00-04:00,4.09,4.1,0.13
2024-02-07 16:00:00-05:00,4.48,4.44,-0.85
2023-11-08 16:00:00-05:00,4.5,4.49,-0.17
2023-08-08 16:00:00-04:00,4.18,4.19,0.27
2023-05-03 16:00:00-04:00,3.69,3.8,2.89
2023-02-08 16:00:00-05:00,3.93,4.04,2.78
2022-11-02 16:00:00-04:00,4.19,4.24,1.19
2022-08-03 16:00:00-04:00,3.89,4.17,7.32
2022-05-05 16:00:00-04:00,3.53,3.65,3.35
2022-02-08 16:00:00-05:00,3.6,3.72,3.45
2021-11-03 16:00:00-04:00,3.48,3.52,1.11
2021-08-04 16:00:00-04:00,2.94,3.15,7.3
2021-05-05 16:00:00-04:00,2.72,2.82,3.55
2021-02-04 16:00:00-05:00,2.82,3.01,6.76
2020-11-05 16:00:00-05:00,2.65,2.8,5.72
2020-08-06 16:00:00-04:00,2.17,2.28,4.85
2020-05-07 17:00:00-04:00,2.81,3.0,6.71
2020-02-06 16:00:00-05:00,3.14,3.17,1.11
2019-11-06 16:00:00-05:00,3.05,3.1,1.59
2019-08-06 16:00:00-04:00,2.8,2.85,1.61
2019-05-07 16:00:00-04:00,2.64,2.67,1.21
2019-02-06 16:00:00-05:00,2.72,2.78,2.18
2018-10-30 16:00:00-04:00,2.66,2.68,0.58
2018-08-02 16:00:00-04:00,2.52,2.57,1.95
2018-05-03 16:00:00-04:00,2.37,2.5,5.38
2018-02-08 16:00:00-05:00,2.33,2.42,3.72
2017-11-01 16:00:00-04:00,2.15,2.18,1.59
2017-08-03 16:00:00-04:00,1.97,1.99,0.87
2017-05-01 16:00:00-04:00,1.87,1.96,4.82
2017-02-08 16:00:00-05:00,1.87,1.9,1.68
2016-11-01 16:00:00-04:00,1.86,1.92,3.07
2016-08-04 16:00:00-04:00,1.54,1.56,1.12
2016-05-04 16:00:00-04:00,1.5,1.53,2.12
2016-02-04 16:00:00-05:00,1.61,1.7,5.66
2015-11-04 16:00:00-05:00,1.61,1.67,3.53
2015-08-05 16:00:00-04:00,1.46,1.48,1.45
2015-04-30 16:00:00-04:00,1.4,1.45,3.52
2015-02-05 16:00:00-05:00,1.36,1.39,2.12
2014-10-30 16:00:00-04:00,1.34,1.37,2.55
2014-07-31 16:00:00-04:00,1.25,1.27,1.51
2014-05-01 16:00:00-04:00,1.07,1.12,4.87
2014-02-05 16:00:00-05:00,1.06,1.08,1.89
2013-10-30 16:00:00-04:00,0.98,1.08,9.83
