EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-18 08:00:00-05:00,2.34,,
2025-11-05 07:00:00-05:00,2.34,2.43,3.86
2025-08-06 07:00:00-04:00,2.55,3.12,22.45
2025-05-07 07:00:00-04:00,2.07,2.34,12.78
2025-02-19 07:00:00-05:00,2.53,2.66,5.24
2024-11-06 07:00:00-05:00,2.42,2.59,6.88
2024-08-07 07:00:00-04:00,2.39,2.8,16.97
2024-05-09 07:00:00-04:00,2.06,2.27,9.98
2024-02-14 07:00:00-05:00,2.4,2.46,2.4
2023-11-08 07:00:00-05:00,2.37,2.72,14.86
2023-08-09 07:00:00-04:00,2.64,2.69,1.97
2023-05-11 07:00:00-04:00,2.59,2.78,7.43
2023-02-22 07:00:00-05:00,2.75,2.98,8.55
2022-11-02 07:00:00-04:00,2.5,2.63,5.4
2022-08-03 07:00:00-04:00,2.74,2.77,1.28
2022-05-04 07:00:00-04:00,2.72,2.75,1.25
2022-02-16 07:00:00-05:00,2.43,2.49,2.36
2021-11-03 07:00:00-04:00,2.58,2.7,4.75
2021-08-04 07:00:00-04:00,2.38,2.61,9.64
2021-05-04 07:00:00-04:00,2.19,2.53,15.37
2021-02-17 07:00:00-05:00,2.11,2.39,13.5
2020-10-29 07:00:00-04:00,1.8,2.33,29.63
2020-08-05 07:00:00-04:00,1.28,1.58,23.84
2020-05-07 07:00:00-04:00,1.46,1.84,25.74
2020-02-11 07:00:00-05:00,1.83,2.01,9.59
2019-11-06 07:00:00-05:00,1.64,1.69,2.99
2019-07-31 07:00:00-04:00,1.55,1.63,4.96
2019-05-07 07:00:00-04:00,1.39,1.4,0.67
2019-02-13 07:00:00-05:00,1.4,1.49,6.22
2018-11-07 07:00:00-05:00,1.38,1.53,10.58
2018-08-08 07:00:00-04:00,1.46,1.62,10.86
2018-05-10 07:00:00-04:00,1.26,1.38,9.4
2018-02-13 07:00:00-05:00,1.25,1.4,11.66
2017-11-09 07:00:00-05:00,1.22,1.3,6.35
2017-08-09 07:00:00-04:00,1.22,1.29,5.97
2017-05-10 07:00:00-04:00,1.14,1.29,13.64
2017-02-14 06:00:00-05:00,1.11,1.21,9.11
2016-11-02 07:00:00-04:00,1.13,1.18,4.19
2016-08-03 07:00:00-04:00,1.1,1.2,8.89
2016-05-04 07:00:00-04:00,0.9,0.98,8.8
2016-02-10 07:00:00-05:00,0.94,1.0,6.56
2015-11-04 07:00:00-05:00,0.94,1.03,9.32
2015-07-30 07:00:00-04:00,0.97,0.96,-0.9
2015-04-29 16:00:00-04:00,0.82,0.79,-3.92
2015-02-10 16:00:00-05:00,0.71,0.81,13.52
2014-10-29 16:00:00-04:00,0.8,0.86,7.58
2014-08-06 16:00:00-04:00,0.82,0.97,18.75
2014-04-30 16:00:00-04:00,0.74,0.82,11.08
2014-02-11 16:00:00-05:00,0.68,0.73,7.9
2013-10-29 16:00:00-04:00,0.7,0.79,12.75
