EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-11 16:00:00-05:00,1.02,,
2025-11-12 16:00:00-05:00,0.98,1.0,1.82
2025-08-13 16:00:00-04:00,0.98,0.99,1.3
2025-05-14 16:00:00-04:00,0.92,0.96,4.64
2025-02-12 16:00:00-05:00,0.91,0.94,3.41
2024-11-13 16:00:00-05:00,0.87,0.91,4.47
2024-08-14 16:00:00-04:00,0.85,0.87,2.49
2024-05-15 16:00:00-04:00,0.82,0.88,7.71
2024-02-14 16:00:00-05:00,0.84,0.87,3.96
2023-11-15 16:00:00-05:00,1.03,1.11,7.71
2023-08-16 16:00:00-04:00,1.06,1.14,7.68
2023-05-17 16:00:00-04:00,0.97,1.0,3.25
2023-02-15 16:00:00-05:00,0.86,0.88,2.84
2022-11-16 16:00:00-05:00,0.84,0.86,2.85
2022-08-17 16:00:00-04:00,0.82,0.83,1.07
2022-05-18 16:00:00-04:00,0.86,0.87,0.93
2022-02-16 16:00:00-05:00,0.81,0.84,3.78
2021-11-17 16:00:00-05:00,0.8,0.82,1.92
2021-08-18 16:00:00-04:00,0.83,0.84,1.46
2021-05-19 16:00:00-04:00,0.82,0.83,1.11
2021-02-09 16:00:00-05:00,0.76,0.79,4.61
2020-11-12 16:00:00-05:00,0.7,0.76,8.04
2020-08-12 16:00:00-04:00,0.74,0.8,8.42
2020-05-13 16:00:00-04:00,0.71,0.79,12.03
2020-02-12 16:00:00-05:00,0.76,0.77,1.21
2019-11-13 16:00:00-05:00,0.81,0.84,3.85
2019-08-14 16:00:00-04:00,0.82,0.83,1.69
2019-05-15 16:00:00-04:00,0.77,0.78,0.75
2019-02-13 16:00:00-05:00,0.72,0.73,0.98
2018-11-14 16:00:00-05:00,0.72,0.75,4.51
2018-08-15 16:00:00-04:00,0.57,0.81,41.4
2018-05-16 16:00:00-04:00,0.65,0.66,1.42
2018-02-14 16:00:00-05:00,0.59,0.63,6.59
2017-11-15 16:00:00-05:00,0.6,0.61,1.62
2017-08-16 16:00:00-04:00,0.61,0.61,0.56
2017-05-17 16:00:00-04:00,0.58,0.6,3.81
2017-02-15 16:00:00-05:00,0.56,0.57,1.44
2016-11-16 16:00:00-05:00,0.59,0.61,3.0
2016-08-17 16:00:00-04:00,0.6,0.63,5.09
2016-05-18 16:00:00-04:00,0.55,0.57,3.39
2016-02-10 16:00:00-05:00,0.54,0.57,5.99
2015-11-12 16:00:00-05:00,0.56,0.59,4.75
2015-08-12 16:00:00-04:00,0.56,0.59,4.8
2015-05-13 16:00:00-04:00,0.53,0.54,2.48
2015-02-11 16:00:00-05:00,0.51,0.53,3.0
2014-11-12 16:00:00-05:00,0.53,0.54,2.63
2014-08-13 16:00:00-04:00,0.53,0.55,4.11
2014-05-14 16:00:00-04:00,0.48,0.51,6.81
2014-02-12 16:00:00-05:00,0.46,0.47,2.55
2013-11-13 16:00:00-05:00,0.51,0.53,4.8
