EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2025-12-18 08:00:00-05:00,1.2,,
2025-09-24 08:00:00-04:00,1.2,1.2,0.31
2025-07-17 08:00:00-04:00,1.07,1.09,1.94
2025-03-26 08:00:00-04:00,1.06,1.13,7.08
2024-12-19 08:00:00-05:00,1.01,1.09,7.53
2024-09-25 08:00:00-04:00,1.0,1.1,9.62
2024-07-18 08:00:00-04:00,0.95,1.0,4.9
2024-03-27 08:00:00-04:00,0.9,0.96,7.12
2023-12-21 08:00:00-05:00,0.87,0.9,3.52
2023-09-26 08:00:00-04:00,0.92,0.93,0.41
2023-07-13 08:00:00-04:00,0.8,0.83,4.38
2023-03-29 08:00:00-04:00,0.76,0.79,2.82
2022-12-21 08:00:00-05:00,0.76,0.78,2.91
2022-09-28 08:00:00-04:00,0.78,0.85,8.4
2022-07-14 09:00:00-04:00,0.67,0.7,4.76
2022-03-23 08:00:00-04:00,0.61,0.67,10.36
2021-12-22 08:00:00-05:00,0.66,0.69,4.18
2021-09-29 08:00:00-04:00,0.69,0.78,12.87
2021-07-15 08:00:00-04:00,0.58,0.62,6.96
2021-03-17 08:00:00-04:00,0.56,0.59,6.47
2020-12-22 08:00:00-05:00,0.55,0.59,8.49
2020-09-23 08:00:00-04:00,0.53,0.7,30.51
2020-07-23 08:00:00-04:00,0.3,0.34,10.75
2020-03-19 16:00:00-04:00,0.51,0.54,6.75
2019-12-17 16:00:00-05:00,0.51,0.57,11.5
2019-09-24 16:00:00-04:00,0.54,0.58,7.78
2019-07-16 16:00:00-04:00,0.48,0.52,7.08
2019-03-21 16:00:00-04:00,0.43,0.46,7.33
2018-12-20 16:00:00-05:00,0.42,0.44,4.68
2018-09-25 16:00:00-04:00,0.45,0.48,6.59
2018-07-19 16:00:00-04:00,0.42,0.44,5.62
2018-03-22 16:00:00-04:00,0.32,0.34,8.06
2017-12-21 16:00:00-05:00,0.32,0.33,2.63
2017-09-26 16:00:00-04:00,0.33,0.37,12.73
2017-07-20 16:00:00-04:00,0.28,0.19,-32.74
2017-03-22 16:00:00-04:00,0.27,0.27,0.69
2016-12-22 16:00:00-05:00,0.29,0.28,-2.12
2016-09-27 16:00:00-04:00,0.27,0.32,16.06
2016-07-19 16:00:00-04:00,0.25,0.27,6.55
2016-03-22 16:00:00-04:00,0.24,0.26,11.35
2015-12-21 16:00:00-05:00,0.25,0.77,212.24
2015-09-24 16:00:00-04:00,0.23,0.23,3.14
2015-07-16 16:00:00-04:00,0.21,0.22,1.72
2015-03-18 16:00:00-04:00,0.2,0.21,8.42
2014-12-18 16:00:00-05:00,0.19,0.22,10.86
2014-09-29 16:00:00-04:00,0.19,0.2,5.1
2014-07-15 16:00:00-04:00,0.19,0.19,1.28
2014-03-19 16:00:00-04:00,0.17,0.17,-0.53
2013-12-19 16:00:00-05:00,0.17,0.18,2.29
2013-09-19 16:00:00-04:00,0.16,0.16,0.27
