EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-30 08:00:00-05:00,1.55,,
2025-10-31 06:00:00-04:00,1.7,1.85,8.86
2025-08-01 06:00:00-04:00,1.74,1.77,1.71
2025-05-02 06:00:00-04:00,2.15,2.18,1.31
2025-01-31 06:00:00-05:00,2.11,2.06,-2.28
2024-11-01 06:00:00-04:00,2.42,2.51,3.86
2024-08-02 06:00:00-04:00,3.0,2.55,-14.9
2024-04-26 03:00:00-04:00,2.91,2.93,0.59
2024-02-02 06:00:00-05:00,3.22,3.45,7.26
2023-10-27 03:00:00-04:00,3.68,3.05,-17.07
2023-07-23 16:00:00-04:00,2.98,3.08,3.52
2023-04-28 06:00:00-04:00,3.38,3.55,5.06
2023-01-27 06:00:00-05:00,4.3,4.09,-4.82
2022-10-28 06:00:00-04:00,4.92,5.56,13.09
2022-07-29 06:00:00-04:00,5.03,5.82,15.68
2022-04-29 06:00:00-04:00,3.45,3.36,-2.68
2022-01-28 06:00:00-05:00,3.12,2.56,-18.04
2021-10-29 06:00:00-04:00,2.19,2.96,35.04
2021-07-30 06:00:00-04:00,1.6,1.71,6.57
2021-04-30 06:00:00-04:00,0.94,0.9,-4.57
2021-01-29 07:00:00-05:00,0.09,-0.01,-111.36
2020-10-30 06:00:00-04:00,-0.27,0.11,141.06
2020-07-31 06:00:00-04:00,-0.92,-1.59,-73.22
2020-05-01 07:00:00-04:00,0.67,1.29,93.81
2020-01-31 08:00:00-05:00,1.46,1.49,2.0
2019-11-01 08:00:00-04:00,1.46,1.55,6.07
2019-08-02 12:00:00-04:00,1.82,1.77,-2.78
2019-04-26 09:00:00-04:00,1.33,1.47,10.25
2019-02-01 09:00:00-05:00,1.89,1.95,3.32
2018-11-02 08:00:00-04:00,2.06,2.44,18.36
2018-07-27 08:00:00-04:00,2.09,1.78,-14.83
2018-04-27 08:00:00-04:00,1.49,1.9,27.57
2018-02-02 08:00:00-05:00,1.24,0.72,-41.72
2017-10-27 08:00:00-04:00,0.97,0.85,-12.69
2017-07-28 08:00:00-04:00,0.87,0.91,4.62
2017-04-28 09:00:00-04:00,0.87,1.23,41.44
2017-01-27 09:00:00-05:00,0.64,0.21,-66.94
2016-10-28 08:00:00-04:00,0.39,0.49,24.89
2016-07-29 09:00:00-04:00,0.32,0.35,9.69
2016-04-29 09:00:00-04:00,-0.16,-0.11,31.35
2016-01-29 08:00:00-05:00,0.51,0.27,-46.8
2015-10-30 08:00:00-04:00,0.74,1.09,46.97
2015-07-31 08:00:00-04:00,1.16,0.97,-16.02
2015-05-01 08:00:00-04:00,0.81,1.37,69.6
2015-01-30 08:00:00-05:00,1.65,1.85,12.1
2014-10-31 08:00:00-04:00,2.53,2.95,16.51
2014-08-01 08:00:00-04:00,2.67,2.98,11.78
2014-05-02 08:00:00-04:00,2.48,2.36,-4.7
2014-01-31 08:00:00-05:00,2.58,2.57,-0.56
2013-11-01 08:00:00-04:00,2.74,2.57,-6.19
