EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2025-11-26 08:00:00-05:00,3.83,,
2025-08-14 06:00:00-04:00,4.66,4.75,1.9
2025-05-15 06:00:00-04:00,5.62,6.64,18.05
2025-02-13 06:00:00-05:00,3.25,3.19,-1.81
2024-11-21 06:00:00-05:00,3.93,4.55,15.76
2024-08-15 06:00:00-04:00,5.79,6.29,8.57
2024-05-16 06:00:00-04:00,7.92,8.53,7.75
2024-02-15 06:00:00-05:00,5.21,6.23,19.48
2023-11-22 06:00:00-05:00,7.46,8.32,11.53
2023-08-18 06:00:00-04:00,8.18,10.2,24.66
2023-05-19 06:00:00-04:00,8.47,10.1,19.25
2023-02-17 06:00:00-05:00,5.45,6.55,20.14
2022-11-23 06:00:00-05:00,7.11,7.75,9.03
2022-08-19 06:00:00-04:00,6.68,6.16,-7.74
2022-05-20 06:00:00-04:00,6.69,6.1,-8.95
2022-02-18 06:00:00-05:00,2.24,2.92,30.12
2021-11-24 06:00:00-05:00,3.87,4.12,6.41
2021-08-20 06:00:00-04:00,4.58,5.32,16.23
2021-05-21 06:00:00-04:00,4.59,5.68,23.72
2021-02-19 06:00:00-05:00,2.21,3.87,75.12
2020-11-25 06:00:00-05:00,1.45,2.39,64.97
2020-08-21 06:00:00-04:00,1.25,2.57,105.23
2020-05-22 06:00:00-04:00,1.58,2.11,33.44
2020-02-21 06:00:00-05:00,1.27,1.63,28.16
2019-11-27 06:00:00-05:00,2.14,2.27,6.03
2019-08-16 06:00:00-04:00,2.84,2.71,-4.57
2019-05-17 06:00:00-04:00,3.59,3.52,-2.01
2019-02-15 06:00:00-05:00,1.76,1.54,-12.33
2018-11-21 06:00:00-05:00,2.4,2.42,0.88
2018-08-17 06:00:00-04:00,2.75,2.78,0.92
2018-05-18 06:00:00-04:00,3.4,3.67,8.02
2018-02-16 06:00:00-05:00,1.2,1.31,9.62
2017-11-22 06:00:00-05:00,1.47,1.57,6.92
2017-08-18 06:00:00-04:00,1.95,1.97,0.78
2017-05-19 06:00:00-04:00,1.69,2.49,47.51
2017-02-17 06:00:00-05:00,0.52,0.61,16.76
2016-11-23 06:00:00-05:00,0.39,0.9,133.33
2016-08-19 06:00:00-04:00,0.93,1.55,66.94
2016-05-20 06:00:00-04:00,1.5,1.56,4.31
2016-02-19 06:00:00-05:00,0.72,0.8,10.8
2015-11-25 06:00:00-05:00,0.76,1.08,41.89
2015-08-21 07:00:00-04:00,1.44,1.53,6.61
2015-05-22 07:00:00-04:00,1.56,2.03,30.47
2015-02-20 07:00:00-05:00,0.83,1.12,35.68
2014-11-26 07:00:00-05:00,1.62,1.83,13.3
2014-08-13 07:00:00-04:00,2.22,2.33,5.18
2014-05-14 07:00:00-04:00,2.49,2.65,6.58
2014-02-12 07:00:00-05:00,1.53,1.81,18.37
2013-11-20 07:00:00-05:00,1.89,2.11,11.81
2013-08-14 07:00:00-04:00,2.16,2.56,18.29
