EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2025-12-04 08:00:00-05:00,0.95,,
2025-08-28 06:00:00-04:00,1.57,1.86,18.25
2025-06-03 06:00:00-04:00,1.49,1.78,19.57
2025-03-13 06:00:00-04:00,1.5,0.87,-41.96
2024-12-05 06:00:00-05:00,0.94,0.89,-5.14
2024-08-29 06:00:00-04:00,1.79,1.7,-4.98
2024-05-30 06:00:00-04:00,1.58,1.65,4.57
2024-03-14 06:00:00-04:00,1.73,1.83,6.08
2023-12-07 06:00:00-05:00,1.21,1.26,4.37
2023-08-31 06:00:00-04:00,2.47,2.13,-13.6
2023-06-01 06:00:00-04:00,2.39,2.34,-2.02
2023-03-16 06:00:00-04:00,2.96,2.96,0.13
2022-12-01 06:00:00-05:00,2.54,2.33,-8.37
2022-08-25 06:00:00-04:00,2.94,2.98,1.46
2022-05-26 06:00:00-04:00,2.3,2.41,4.87
2022-03-17 06:00:00-04:00,2.57,2.57,
2021-12-02 06:00:00-05:00,2.02,2.08,3.11
2021-08-26 06:00:00-04:00,2.61,2.69,3.1
2021-05-27 06:00:00-04:00,2.2,2.82,28.18
2021-03-18 06:00:00-04:00,2.69,2.62,-2.67
2020-12-03 06:00:00-05:00,1.96,2.31,17.6
2020-08-27 06:00:00-04:00,2.44,3.12,27.88
2020-05-28 06:00:00-04:00,1.74,2.56,47.11
2020-03-12 06:00:00-04:00,2.01,2.1,4.36
2019-12-05 06:00:00-05:00,1.38,1.42,3.13
2019-08-29 06:00:00-04:00,1.58,1.74,10.47
2019-05-30 06:00:00-04:00,1.39,1.48,6.31
2019-03-14 06:00:00-04:00,1.88,1.84,-2.15
2018-12-04 06:00:00-05:00,1.27,1.31,3.42
2018-08-30 06:00:00-04:00,1.5,1.52,1.17
2018-05-31 06:00:00-04:00,1.39,1.36,-2.28
2018-03-15 06:00:00-04:00,1.48,1.48,0.27
2017-12-07 06:00:00-05:00,0.94,0.98,4.47
2017-08-31 06:00:00-04:00,1.09,1.1,0.68
2017-06-01 06:00:00-04:00,1.0,1.03,3.47
2017-03-16 06:00:00-04:00,1.43,1.49,4.35
2016-12-01 06:00:00-05:00,0.93,0.84,-9.53
2016-08-25 06:00:00-04:00,1.09,1.08,-0.94
2016-05-26 06:00:00-04:00,0.95,1.03,8.76
2016-03-10 07:00:00-05:00,1.26,1.29,2.34
2015-12-03 06:00:00-05:00,0.87,0.88,1.12
2015-08-27 07:00:00-04:00,0.94,0.95,0.87
2015-06-02 07:00:00-04:00,0.81,0.84,3.37
2015-03-12 07:00:00-04:00,1.17,1.16,-0.97
2014-12-04 07:00:00-05:00,0.8,0.79,-0.76
2014-08-28 07:00:00-04:00,0.83,0.83,-0.03
2014-06-03 07:00:00-04:00,0.73,0.72,-1.59
2014-03-13 07:00:00-04:00,1.02,1.01,-0.61
2013-12-05 07:00:00-05:00,0.7,0.72,3.13
2013-09-04 07:00:00-04:00,0.74,0.75,1.74
