EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-04 08:00:00-05:00,1.58,,
2025-11-13 06:00:00-05:00,1.02,1.11,8.42
2025-08-06 06:00:00-04:00,1.45,1.61,11.3
2025-05-07 06:00:00-04:00,1.21,1.45,19.79
2025-02-05 06:00:00-05:00,1.43,1.76,22.94
2024-11-14 06:00:00-05:00,1.11,1.14,2.75
2024-08-07 06:00:00-04:00,1.19,1.39,16.38
2024-05-07 06:00:00-04:00,1.1,1.21,9.8
2024-02-07 16:00:00-05:00,1.03,1.22,18.24
2023-11-08 16:00:00-05:00,0.71,0.82,15.11
2023-08-09 16:00:00-04:00,0.98,1.04,6.77
2023-05-10 16:00:00-04:00,0.94,0.93,-0.91
2023-02-08 16:00:00-05:00,0.79,0.99,25.97
2022-11-08 16:00:00-05:00,0.56,0.3,-46.87
2022-08-10 16:00:00-04:00,0.99,1.09,9.99
2022-05-11 16:00:00-04:00,1.19,1.08,-9.15
2022-02-09 16:00:00-05:00,0.62,1.06,71.97
2021-11-10 16:00:00-05:00,0.5,0.38,-23.41
2021-08-12 16:00:00-04:00,0.55,0.8,45.48
2021-05-13 16:00:00-04:00,0.26,0.79,204.08
2021-02-11 16:00:00-05:00,-0.34,0.32,194.77
2020-11-12 16:00:00-05:00,-0.65,-0.2,69.3
2020-08-04 16:00:00-04:00,-0.67,0.08,111.92
2020-05-05 17:00:00-04:00,0.9,0.6,-32.97
2020-02-04 16:00:00-05:00,1.44,1.53,6.29
2019-11-07 16:00:00-05:00,0.96,1.07,10.99
2019-08-06 16:00:00-04:00,1.74,1.35,-22.44
2019-05-08 16:00:00-04:00,1.57,1.61,2.53
2019-02-05 16:00:00-05:00,1.57,1.84,17.36
2018-11-08 16:00:00-05:00,1.35,1.48,9.72
2018-08-07 16:00:00-04:00,1.95,1.87,-3.9
2018-05-08 16:00:00-04:00,1.7,1.84,8.33
2018-02-06 16:00:00-05:00,1.61,1.89,17.48
2017-11-09 16:00:00-05:00,1.12,1.07,-4.32
2017-08-08 16:00:00-04:00,1.55,1.58,1.97
2017-05-09 16:00:00-04:00,1.41,1.5,6.3
2017-02-07 16:00:00-05:00,1.49,1.55,3.7
2016-11-10 16:00:00-05:00,1.16,1.1,-4.85
2016-08-09 16:00:00-04:00,1.61,1.62,0.6
2016-05-10 16:00:00-04:00,1.4,1.36,-2.82
2016-02-09 16:00:00-05:00,1.45,1.63,12.05
2015-11-05 16:00:00-05:00,1.14,1.2,5.67
2015-08-04 16:00:00-04:00,1.42,1.45,2.04
2015-05-05 08:00:00-04:00,1.11,1.23,10.95
2015-02-03 16:00:00-05:00,1.06,1.27,19.27
2014-11-06 16:00:00-05:00,0.89,0.89,0.48
2014-08-05 16:00:00-04:00,1.17,1.28,9.48
2014-05-06 16:00:00-04:00,0.96,1.11,15.42
2014-02-05 16:00:00-05:00,0.92,1.04,13.59
2013-11-07 16:00:00-05:00,0.76,0.77,1.46
