EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-12 16:00:00-05:00,0.25,,
2025-10-23 16:00:00-04:00,0.23,0.34,46.53
2025-07-24 16:00:00-04:00,0.36,2.94,710.88
2025-04-24 16:00:00-04:00,0.24,0.38,59.04
2025-02-13 16:00:00-05:00,0.26,0.29,13.27
2024-10-24 16:00:00-04:00,0.26,0.21,-19.46
2024-07-25 16:00:00-04:00,0.36,0.27,-24.94
2024-05-02 16:00:00-04:00,0.3,0.82,173.51
2024-02-15 16:00:00-05:00,0.2,0.08,-57.49
2023-10-26 16:00:00-04:00,0.23,0.19,-16.3
2023-07-27 16:00:00-04:00,0.37,0.22,-41.36
2023-04-27 16:00:00-04:00,0.28,0.19,-29.9
2023-02-16 16:00:00-05:00,0.28,0.15,-45.51
2022-10-26 16:00:00-04:00,0.36,0.35,-2.49
2022-07-28 16:00:00-04:00,0.3,0.32,7.83
2022-04-28 16:00:00-04:00,0.24,0.27,12.05
2022-02-17 16:00:00-05:00,0.31,0.2,-35.07
2021-10-26 16:00:00-04:00,0.26,0.39,48.74
2021-07-29 16:00:00-04:00,0.24,0.27,13.56
2021-04-29 16:00:00-04:00,0.28,0.4,40.15
2021-02-11 16:00:00-05:00,0.2,0.31,55.2
2020-10-29 16:00:00-04:00,0.16,0.12,-23.08
2020-07-30 16:00:00-04:00,0.25,0.26,1.7
2020-05-07 17:00:00-04:00,0.29,0.19,-35.11
2020-02-13 16:00:00-05:00,0.27,0.31,15.1
2019-10-29 16:00:00-04:00,0.29,0.28,-0.85
2019-07-30 16:00:00-04:00,0.27,0.27,2.79
2019-04-25 16:00:00-04:00,0.28,0.24,-13.97
2019-02-05 16:00:00-05:00,0.32,0.29,-8.29
2018-10-25 16:00:00-04:00,0.27,0.25,-8.27
2018-07-26 16:00:00-04:00,0.27,0.26,-5.26
2018-04-26 16:00:00-04:00,0.3,0.24,-20.0
2018-02-15 16:00:00-05:00,0.42,0.19,-55.22
2017-10-25 16:00:00-04:00,0.33,0.3,-10.33
2017-07-27 16:00:00-04:00,0.4,0.42,6.92
2017-04-27 16:00:00-04:00,0.39,0.44,12.66
2017-02-16 16:00:00-05:00,0.32,0.37,17.0
2016-10-27 16:00:00-04:00,0.27,0.2,-26.13
2016-07-28 16:00:00-04:00,0.26,0.24,-5.41
2016-04-28 16:00:00-04:00,0.19,0.29,49.34
2016-02-25 16:00:00-05:00,0.26,0.18,-31.15
2015-10-29 16:00:00-04:00,0.29,0.24,-18.26
2015-07-30 17:00:00-04:00,0.3,0.32,6.47
2015-05-05 16:00:00-04:00,0.27,0.3,13.49
2015-02-12 16:00:00-05:00,0.24,0.35,48.87
2014-10-28 16:00:00-04:00,0.2,0.11,-42.62
2014-07-29 16:00:00-04:00,0.27,0.2,-27.37
2014-05-06 16:00:00-04:00,0.26,0.25,-3.23
2014-02-24 17:00:00-05:00,0.23,0.33,47.1
2013-10-29 17:00:00-04:00,0.34,0.18,-46.61
