EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-05 16:00:00-05:00,0.06,,
2025-10-23 16:00:00-04:00,0.06,-0.18,-403.17
2025-07-24 16:00:00-04:00,0.06,0.06,12.22
2025-04-24 16:00:00-04:00,0.05,0.06,40.67
2025-02-03 16:00:00-05:00,0.06,0.01,-83.51
2024-10-24 16:00:00-04:00,0.05,0.05,-8.6
2024-07-25 16:00:00-04:00,0.09,0.05,-47.89
2024-04-25 16:00:00-04:00,0.05,0.09,90.89
2024-02-08 16:00:00-05:00,0.1,0.15,45.7
2023-10-30 07:00:00-04:00,0.08,0.12,45.13
2023-07-27 16:00:00-04:00,0.1,0.09,-8.4
2023-04-27 16:00:00-04:00,0.08,0.07,-17.41
2023-02-07 16:00:00-05:00,0.11,0.02,-76.95
2022-11-01 16:00:00-04:00,0.12,0.1,-17.64
2022-08-02 16:00:00-04:00,0.1,0.1,2.77
2022-05-03 16:00:00-04:00,0.13,0.12,-3.61
2022-02-08 16:00:00-05:00,0.08,0.08,6.93
2021-11-02 16:00:00-04:00,0.1,0.14,41.64
2021-08-03 16:00:00-04:00,0.23,0.42,83.26
2021-05-04 16:00:00-04:00,0.09,0.09,4.53
2021-02-09 16:00:00-05:00,0.04,0.01,-86.61
2020-11-02 16:00:00-05:00,0.03,-0.02,-155.0
2020-08-04 16:00:00-04:00,0.02,0.03,74.5
2020-05-05 17:00:00-04:00,0.04,0.33,653.23
2020-02-11 16:00:00-05:00,0.09,0.31,258.45
2019-10-30 16:00:00-04:00,0.06,-0.03,-157.63
2019-07-31 16:00:00-04:00,0.14,-0.03,-119.97
2019-05-01 16:00:00-04:00,0.13,0.13,-2.77
2019-02-13 16:00:00-05:00,0.12,0.14,9.96
2018-10-31 08:00:00-04:00,0.18,0.21,16.47
2018-08-02 08:00:00-04:00,0.19,0.19,
2018-05-03 08:00:00-04:00,0.16,0.08,-50.0
2018-02-13 08:00:00-05:00,0.17,0.17,1.01
2017-11-02 07:00:00-04:00,0.15,0.1,-32.64
2017-08-01 08:00:00-04:00,0.19,0.17,-11.46
2017-05-02 08:00:00-04:00,0.26,0.3,15.85
2017-02-13 08:00:00-05:00,0.25,0.13,-49.99
2016-11-01 08:00:00-04:00,0.37,0.39,4.7
2016-08-09 08:00:00-04:00,0.39,0.39,0.86
2016-05-09 06:00:00-04:00,0.41,0.37,-10.32
2016-02-09 08:00:00-05:00,0.47,0.5,7.74
2015-11-03 08:00:00-05:00,0.5,0.47,-6.06
2015-08-04 08:00:00-04:00,0.41,0.5,22.03
2015-05-05 08:00:00-04:00,0.52,0.52,1.5
2015-02-10 08:00:00-05:00,0.51,0.5,-0.06
2014-11-04 08:00:00-05:00,0.5,0.54,7.29
2014-08-05 08:00:00-04:00,0.48,0.48,0.5
2014-05-06 08:00:00-04:00,0.5,0.56,12.0
2014-02-11 08:00:00-05:00,0.5,0.51,2.0
2013-10-29 08:00:00-04:00,0.49,0.48,-2.3
