EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-23 08:00:00-05:00,5.4,,
2025-10-14 06:00:00-04:00,3.96,4.08,3.16
2025-07-21 06:00:00-04:00,3.96,3.81,-3.77
2025-04-28 06:00:00-04:00,4.07,4.33,6.32
2025-02-24 06:00:00-05:00,4.91,4.89,-0.37
2024-10-10 06:00:00-04:00,3.66,4.19,14.56
2024-07-18 06:00:00-04:00,3.67,4.03,9.88
2024-04-29 06:00:00-04:00,3.4,3.58,5.41
2024-02-26 06:00:00-05:00,4.4,4.48,1.85
2023-10-12 06:00:00-04:00,3.3,4.18,26.85
2023-07-24 06:00:00-04:00,3.07,3.08,0.36
2023-04-27 07:00:00-04:00,2.72,2.93,7.58
2023-02-23 07:00:00-05:00,3.97,4.43,11.49
2022-10-13 07:00:00-04:00,2.97,2.79,-6.1
2022-07-21 07:00:00-04:00,2.9,2.82,-2.8
2022-04-28 07:00:00-04:00,3.07,2.5,-18.55
2022-03-01 08:00:00-05:00,4.29,4.25,-0.89
2021-10-14 07:00:00-04:00,3.1,3.24,4.4
2021-07-22 07:00:00-04:00,2.87,3.06,6.55
2021-04-29 07:00:00-04:00,2.94,3.0,2.08
2021-02-25 07:00:00-05:00,3.91,3.85,-1.45
2020-10-08 07:00:00-04:00,2.73,2.49,-8.91
2020-07-16 07:00:00-04:00,2.28,2.99,30.92
2020-04-23 07:00:00-04:00,2.35,3.07,30.42
2020-02-20 07:00:00-05:00,2.97,3.13,5.3
2019-10-08 07:00:00-04:00,2.09,2.05,-1.8
2019-07-16 07:00:00-04:00,2.03,2.19,8.1
2019-04-24 07:00:00-04:00,2.1,2.2,4.98
2019-02-21 07:00:00-05:00,2.69,2.62,-2.78
2018-10-16 07:00:00-04:00,1.76,1.95,10.99
2018-07-19 07:00:00-04:00,1.74,1.78,2.36
2018-04-26 07:00:00-04:00,1.77,2.0,13.1
2018-02-20 07:00:00-05:00,1.95,2.09,7.08
2017-10-12 07:00:00-04:00,1.23,1.27,3.28
2017-07-25 07:00:00-04:00,1.22,1.32,7.89
2017-04-27 07:00:00-04:00,1.17,1.26,7.52
2017-02-28 07:00:00-05:00,1.44,1.48,2.77
2016-10-18 07:00:00-04:00,0.9,0.96,7.03
2016-07-21 07:00:00-04:00,0.94,0.98,4.44
2016-04-28 07:00:00-04:00,0.99,0.89,-9.97
2016-02-25 07:00:00-05:00,1.07,1.18,9.91
2015-10-08 07:00:00-04:00,0.74,0.67,-9.4
2015-07-16 07:00:00-04:00,0.8,0.81,1.67
2015-04-23 07:00:00-04:00,0.8,0.81,1.67
2015-02-24 07:00:00-05:00,0.93,0.91,-2.63
2014-10-14 07:00:00-04:00,0.61,0.63,2.85
2014-07-22 07:00:00-04:00,0.65,0.67,3.88
2014-05-01 07:00:00-04:00,0.68,0.71,4.19
2014-02-25 07:00:00-05:00,0.76,0.78,2.62
2013-10-15 07:00:00-04:00,0.52,0.53,1.27
