EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2025-12-18 08:00:00-05:00,2.11,,
2025-09-18 07:00:00-04:00,2.01,1.97,-2.05
2025-06-20 07:00:00-04:00,2.97,2.98,0.44
2025-03-20 07:00:00-04:00,2.8,2.8,0.17
2024-12-19 07:00:00-05:00,2.02,2.03,0.35
2024-09-19 07:00:00-04:00,1.83,1.75,-4.52
2024-06-20 07:00:00-04:00,2.61,2.65,1.58
2024-03-21 07:00:00-04:00,2.62,2.62,-0.02
2023-12-15 07:00:00-05:00,1.73,1.84,6.2
2023-09-21 07:00:00-04:00,1.74,1.78,2.44
2023-06-22 07:00:00-04:00,2.53,2.6,2.7
2023-03-23 07:00:00-04:00,2.24,2.36,5.22
2022-12-16 07:00:00-05:00,1.44,1.52,5.85
2022-09-22 07:00:00-04:00,1.56,1.53,-2.12
2022-06-23 07:00:00-04:00,2.21,2.27,2.71
2022-03-24 07:00:00-04:00,2.1,1.93,-7.98
2021-12-17 07:00:00-05:00,1.44,1.48,2.98
2021-09-23 07:00:00-04:00,1.65,1.76,6.37
2021-06-24 07:00:00-04:00,1.8,2.03,13.06
2021-03-25 07:00:00-04:00,0.7,0.98,40.2
2020-12-18 07:00:00-05:00,0.71,0.74,3.76
2020-09-24 07:00:00-04:00,0.05,0.56,944.0
2020-06-25 07:00:00-04:00,-1.64,-1.24,24.62
2020-03-19 07:00:00-04:00,1.89,1.9,0.74
2019-12-19 07:00:00-05:00,1.07,1.12,4.82
2019-09-19 07:00:00-04:00,1.36,1.38,1.31
2019-06-20 07:00:00-04:00,1.73,1.76,1.75
2019-03-21 07:00:00-04:00,1.75,1.8,2.69
2018-12-18 07:00:00-05:00,0.91,0.92,1.21
2018-09-20 07:00:00-04:00,1.24,1.34,8.43
2018-06-21 07:00:00-04:00,1.35,1.39,3.09
2018-03-22 07:00:00-04:00,1.64,1.71,4.06
2017-12-19 07:00:00-05:00,0.7,0.73,3.62
2017-09-26 07:00:00-04:00,0.99,0.99,0.29
2017-06-27 07:00:00-04:00,1.15,1.18,2.25
2017-03-27 16:00:00-04:00,1.27,1.32,3.81
2016-12-20 07:00:00-05:00,0.64,0.64,0.42
2016-10-04 07:00:00-04:00,0.82,0.88,7.22
2016-06-30 07:00:00-04:00,1.09,1.1,1.27
2016-04-05 07:00:00-04:00,1.2,1.21,0.94
2015-12-18 07:00:00-05:00,0.42,0.54,29.42
2015-09-22 07:00:00-04:00,0.58,0.68,18.14
2015-06-23 07:00:00-04:00,0.93,1.08,16.31
2015-03-20 07:00:00-04:00,0.84,0.99,17.58
2014-12-16 16:00:00-05:00,0.27,0.28,2.22
2014-09-12 07:00:00-04:00,0.31,0.32,2.92
2014-06-20 07:00:00-04:00,0.94,0.84,-11.05
2014-03-21 07:00:00-04:00,0.88,0.88,0.27
2013-12-19 07:00:00-05:00,0.2,0.15,-26.28
2013-09-20 07:00:00-04:00,0.7,0.53,-24.65
