EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-12 08:00:00-05:00,1.61,,
2025-10-30 06:00:00-04:00,2.11,2.25,6.47
2025-07-29 07:00:00-04:00,1.41,1.1,-22.12
2025-05-01 06:00:00-04:00,2.0,2.1,5.24
2025-02-13 07:00:00-05:00,1.44,1.51,4.93
2024-10-24 07:00:00-04:00,1.87,2.3,22.89
2024-07-25 06:00:00-04:00,1.23,1.43,16.73
2024-04-25 07:00:00-04:00,1.71,1.67,-2.2
2024-02-08 07:00:00-05:00,1.96,1.97,0.59
2023-11-01 06:00:00-04:00,1.64,1.44,-12.08
2023-07-27 06:00:00-04:00,0.88,0.99,12.18
2023-04-27 06:00:00-04:00,1.36,1.33,-2.45
2023-02-23 06:00:00-05:00,1.24,1.31,5.86
2022-10-27 06:00:00-04:00,1.57,1.6,1.88
2022-07-28 07:00:00-04:00,0.99,0.88,-11.48
2022-04-28 07:00:00-04:00,2.08,2.31,10.96
2022-02-10 06:00:00-05:00,0.94,1.05,11.82
2021-10-27 06:00:00-04:00,1.84,1.72,-6.3
2021-07-27 07:00:00-04:00,1.32,1.7,28.48
2021-04-27 06:00:00-04:00,2.13,2.44,14.54
2021-02-19 07:00:00-05:00,1.24,1.39,12.11
2020-10-27 07:00:00-04:00,2.06,2.61,26.46
2020-07-28 06:00:00-04:00,1.28,1.53,19.53
2020-04-28 08:00:00-04:00,1.77,1.66,-6.35
2020-02-05 07:00:00-05:00,1.3,1.35,4.18
2019-10-28 07:00:00-04:00,1.97,1.91,-3.22
2019-07-24 06:00:00-04:00,1.09,0.99,-9.47
2019-04-24 06:00:00-04:00,1.96,2.05,4.76
2019-02-07 06:00:00-05:00,0.93,0.91,-2.64
2018-10-24 06:00:00-04:00,1.75,2.13,21.42
2018-07-25 06:00:00-04:00,1.15,1.36,17.79
2018-04-25 07:00:00-04:00,1.89,1.91,0.9
2018-02-16 06:00:00-05:00,1.19,1.26,5.96
2017-10-25 06:00:00-04:00,1.55,1.48,-4.74
2017-07-26 06:00:00-04:00,1.0,1.07,6.88
2017-04-26 06:00:00-04:00,1.56,1.79,14.59
2017-02-09 06:00:00-05:00,0.85,0.81,-5.2
2016-10-26 07:00:00-04:00,1.61,1.96,21.42
2016-07-26 06:00:00-04:00,0.89,0.98,10.49
2016-04-26 06:00:00-04:00,1.48,1.52,2.49
2016-02-10 06:00:00-05:00,0.99,1.01,1.84
2015-10-23 06:00:00-04:00,1.25,1.4,12.37
2015-07-24 07:00:00-04:00,0.82,0.76,-7.51
2015-04-24 07:00:00-04:00,1.53,1.65,8.01
2015-02-13 07:00:00-05:00,1.05,1.17,11.95
2014-10-24 07:00:00-04:00,1.05,1.02,-3.26
2014-07-25 07:00:00-04:00,0.75,0.73,-3.26
2014-04-25 07:00:00-04:00,1.46,1.69,15.56
2014-02-14 07:00:00-05:00,0.96,1.01,5.28
2013-10-25 07:00:00-04:00,1.21,1.13,-6.75
