EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-10 08:00:00-05:00,2.07,,
2025-10-28 08:00:00-04:00,2.07,2.07,-0.09
2025-07-29 08:00:00-04:00,1.9,1.89,-0.29
2025-04-29 08:00:00-04:00,1.5,1.5,0.05
2025-02-11 08:00:00-05:00,1.8,1.81,0.66
2024-10-29 08:00:00-04:00,1.82,1.83,0.28
2024-07-30 08:00:00-04:00,1.67,1.68,0.48
2024-04-30 07:00:00-04:00,1.33,1.34,0.49
2024-02-13 08:00:00-05:00,1.54,1.55,0.76
2023-10-31 08:00:00-04:00,1.52,1.54,1.16
2023-08-01 08:00:00-04:00,1.21,1.24,2.43
2023-05-02 08:00:00-04:00,0.86,0.88,2.24
2023-02-14 08:00:00-05:00,1.25,1.27,1.5
2022-11-01 08:00:00-04:00,1.3,1.3,-0.23
2022-07-26 08:00:00-04:00,1.09,1.1,0.89
2022-04-26 08:00:00-04:00,0.83,0.82,-0.73
2022-02-15 08:00:00-05:00,1.28,1.28,-0.12
2021-10-26 08:00:00-04:00,1.3,1.38,6.52
2021-07-27 08:00:00-04:00,1.22,1.22,0.16
2021-04-27 08:00:00-04:00,0.81,0.81,-0.57
2021-02-16 08:00:00-05:00,1.25,1.23,-1.52
2020-10-27 08:00:00-04:00,1.12,1.15,2.59
2020-07-28 08:00:00-04:00,0.75,0.65,-13.39
2020-04-28 09:00:00-04:00,1.06,1.13,6.64
2020-02-18 08:00:00-05:00,1.7,1.66,-2.61
2019-10-29 08:00:00-04:00,1.71,1.71,0.17
2019-07-30 08:00:00-04:00,1.41,1.42,0.53
2019-04-30 08:00:00-04:00,1.02,1.03,1.39
2019-02-19 08:00:00-05:00,1.54,1.54,0.03
2018-10-30 08:00:00-04:00,1.53,1.53,-0.03
2018-07-31 08:00:00-04:00,1.27,1.27,0.1
2018-05-01 08:00:00-04:00,0.89,0.91,2.05
2018-02-20 08:00:00-05:00,1.39,1.39,-0.25
2017-10-31 08:00:00-04:00,1.36,1.37,1.06
2017-08-01 08:00:00-04:00,1.12,1.13,0.46
2017-05-02 08:00:00-04:00,0.81,0.8,-0.82
2017-02-21 08:00:00-05:00,1.28,1.25,-2.06
2016-11-01 08:00:00-04:00,1.28,1.28,0.01
2016-08-02 08:00:00-04:00,1.08,1.08,0.26
2016-05-03 08:00:00-04:00,0.76,0.77,1.34
2016-02-23 08:00:00-05:00,1.24,1.22,-1.88
2015-11-02 08:00:00-05:00,1.28,1.28,-0.32
2015-07-28 08:00:00-04:00,1.08,1.08,0.05
2015-04-28 08:00:00-04:00,0.81,0.8,-1.26
2015-02-24 08:00:00-05:00,1.2,1.2,0.04
2014-10-28 08:00:00-04:00,1.2,1.21,0.53
2014-07-29 08:00:00-04:00,1.02,1.03,0.9
2014-04-28 08:00:00-04:00,0.74,0.74,-0.24
2014-02-21 08:00:00-05:00,1.05,1.04,-0.64
2013-10-29 08:00:00-04:00,1.03,1.04,1.11
