EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-05 08:00:00-05:00,2.04,,
2025-10-21 06:00:00-04:00,1.94,2.04,5.34
2025-07-22 06:00:00-04:00,1.92,2.0,4.13
2025-04-22 06:00:00-04:00,1.4,1.53,8.98
2025-02-06 06:00:00-05:00,2.1,2.12,1.12
2024-10-16 16:00:00-04:00,1.83,1.85,0.84
2024-07-17 16:00:00-04:00,1.73,1.82,5.42
2024-04-17 16:00:00-04:00,1.43,1.5,4.9
2024-02-07 16:00:00-05:00,1.75,1.81,3.28
2023-10-18 16:00:00-04:00,1.77,1.76,-0.58
2023-07-19 16:00:00-04:00,1.66,1.71,3.01
2023-04-19 16:00:00-04:00,1.37,1.43,4.73
2023-02-08 16:00:00-05:00,1.49,1.52,2.01
2022-10-19 16:00:00-04:00,1.63,1.73,6.41
2022-07-20 16:00:00-04:00,2.0,2.09,4.38
2022-04-20 16:00:00-04:00,2.14,2.22,3.79
2022-02-09 16:00:00-05:00,1.81,1.84,1.64
2021-10-20 16:00:00-04:00,1.73,1.85,6.98
2021-07-21 16:00:00-04:00,1.72,1.98,15.44
2021-04-21 16:00:00-04:00,1.55,1.97,26.97
2021-02-10 17:00:00-05:00,1.83,2.0,9.32
2020-10-21 17:00:00-04:00,1.6,1.87,16.98
2020-07-22 16:00:00-04:00,1.3,1.6,23.13
2020-04-20 18:00:00-04:00,1.28,1.4,9.54
2020-02-12 17:00:00-05:00,1.49,1.53,2.41
2019-10-23 16:00:00-04:00,1.45,1.48,2.23
2019-07-24 17:00:00-04:00,1.36,1.4,2.92
2019-05-10 06:00:00-04:00,1.19,1.2,0.48
2019-02-20 16:00:00-05:00,1.32,1.38,4.45
2018-10-24 16:00:00-04:00,1.42,1.41,-0.95
2018-07-25 16:00:00-04:00,1.54,1.56,1.06
2018-04-25 16:00:00-04:00,1.37,1.43,4.57
2018-03-01 16:00:00-05:00,1.35,1.39,2.76
2017-11-09 16:00:00-05:00,1.49,1.53,2.59
2017-07-26 16:00:00-04:00,1.57,1.6,1.85
2017-04-26 16:00:00-04:00,1.41,1.44,2.44
2017-02-08 16:00:00-05:00,1.37,1.42,3.43
2016-10-26 16:00:00-04:00,1.36,1.44,6.15
2016-07-27 16:00:00-04:00,1.36,1.43,5.25
2016-04-27 16:00:00-04:00,1.15,1.23,6.63
2016-02-10 16:00:00-05:00,1.11,1.14,2.5
2015-10-21 16:00:00-04:00,1.1,1.14,3.84
2015-07-22 16:00:00-04:00,1.1,1.15,4.15
2015-04-22 16:00:00-04:00,1.02,1.07,4.61
2015-02-11 16:00:00-05:00,1.01,1.02,0.66
2014-10-22 16:00:00-04:00,0.98,1.01,2.62
2014-07-23 16:00:00-04:00,0.94,0.96,1.73
2014-04-23 16:00:00-04:00,0.87,0.89,2.59
2014-02-13 16:00:00-05:00,0.91,0.91,-0.11
2013-10-23 20:00:00-04:00,0.89,0.9,1.15
