EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-17 16:00:00-05:00,0.72,,
2025-10-21 16:00:00-04:00,0.36,0.52,42.79
2025-07-22 16:00:00-04:00,0.41,0.45,10.01
2025-04-22 16:00:00-04:00,1.01,1.18,16.57
2025-02-18 16:00:00-05:00,0.53,0.69,31.27
2024-10-29 16:00:00-04:00,0.07,0.12,77.17
2024-07-23 16:00:00-04:00,-0.18,-0.08,55.73
2024-04-23 16:00:00-04:00,0.66,0.82,24.57
2024-02-13 16:00:00-05:00,0.47,0.48,1.8
2023-10-25 16:00:00-04:00,-0.1,0.3,395.1
2023-07-25 16:00:00-04:00,-0.27,-0.17,36.39
2023-04-26 16:00:00-04:00,1.3,1.7,30.41
2023-02-15 16:00:00-05:00,0.52,0.42,-18.51
2022-10-26 16:00:00-04:00,1.05,1.04,-1.25
2022-07-27 16:00:00-04:00,0.8,0.83,4.4
2022-04-27 16:00:00-04:00,0.92,0.81,-12.37
2022-02-09 16:00:00-05:00,0.53,0.41,-22.93
2021-10-27 16:00:00-04:00,-0.05,0.12,362.24
2021-07-28 16:00:00-04:00,0.05,0.07,48.94
2021-05-05 17:00:00-04:00,0.27,0.3,12.25
2021-02-17 06:00:00-05:00,-0.27,-0.02,92.6
2020-10-22 06:00:00-04:00,-0.27,-0.15,44.32
2020-07-27 06:00:00-04:00,-0.14,-0.18,-29.93
2020-05-07 07:00:00-04:00,,0.14,3233.33
2020-02-27 06:00:00-05:00,0.14,-0.03,-121.9
2019-10-31 06:00:00-04:00,-0.18,-0.06,66.56
2019-07-25 06:00:00-04:00,0.04,0.09,156.26
2019-04-25 06:00:00-04:00,0.72,0.83,15.69
2019-02-14 06:00:00-05:00,0.81,0.79,-2.21
2018-10-25 06:00:00-04:00,0.44,0.35,-19.98
2018-07-26 06:00:00-04:00,0.38,0.44,15.98
2018-04-26 06:00:00-04:00,1.11,1.01,-9.37
2018-02-15 06:00:00-05:00,0.28,0.76,171.85
2017-10-26 06:00:00-04:00,-0.04,0.12,372.54
2017-07-27 06:00:00-04:00,0.12,0.06,-48.44
2017-04-27 06:00:00-04:00,0.47,0.43,-7.95
2017-02-02 06:00:00-05:00,-0.09,0.25,363.52
2016-10-27 06:00:00-04:00,-0.41,-0.26,36.27
2016-07-28 06:00:00-04:00,-0.4,-0.35,12.2
2016-04-28 06:00:00-04:00,-0.14,0.07,150.95
2016-02-04 06:00:00-05:00,-0.24,-0.06,74.59
2015-10-22 06:00:00-04:00,-0.22,-0.33,-51.6
2015-07-23 07:00:00-04:00,-0.02,0.01,140.52
2015-04-23 07:00:00-04:00,0.6,1.08,79.15
2015-02-05 07:00:00-05:00,0.63,0.96,52.81
2014-10-23 07:00:00-04:00,0.51,0.51,0.76
2014-07-24 07:00:00-04:00,0.82,0.58,-29.32
2014-04-24 07:00:00-04:00,0.87,1.35,55.69
2014-02-13 07:00:00-05:00,0.69,0.47,-31.65
2013-10-24 07:00:00-04:00,0.49,0.58,18.49
