EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-03 16:00:00-05:00,1.46,,
2025-10-29 16:00:00-04:00,1.82,1.59,-12.74
2025-07-29 16:00:00-04:00,1.41,1.48,5.1
2025-04-29 16:00:00-04:00,1.41,1.44,2.57
2025-02-04 16:00:00-05:00,1.36,0.65,-52.45
2024-10-29 16:00:00-04:00,1.35,1.34,-0.4
2024-07-30 16:00:00-04:00,1.45,1.43,-0.78
2024-04-30 16:00:00-04:00,1.36,2.06,51.45
2024-02-06 16:00:00-05:00,1.46,1.01,-30.85
2023-10-26 16:00:00-04:00,1.44,1.37,-5.2
2023-07-27 16:00:00-04:00,1.39,1.58,13.51
2023-04-27 17:00:00-04:00,1.31,1.46,10.92
2023-02-07 16:00:00-05:00,1.4,1.37,-2.45
2022-10-26 16:00:00-04:00,1.41,1.19,-15.88
2022-07-26 16:00:00-04:00,1.58,0.87,-44.82
2022-04-26 16:00:00-04:00,1.28,1.08,-15.7
2022-02-02 17:00:00-05:00,1.05,2.25,113.89
2021-10-26 16:00:00-04:00,1.04,1.21,15.69
2021-07-29 17:00:00-04:00,0.99,1.0,1.01
2021-04-27 16:00:00-04:00,0.98,1.1,12.08
2021-02-04 17:00:00-05:00,0.96,1.48,54.51
2020-10-28 17:00:00-04:00,1.17,1.42,21.8
2020-08-03 17:00:00-04:00,1.16,1.14,-1.81
2020-05-06 16:00:00-04:00,1.5,1.21,-19.17
2020-01-29 16:00:00-05:00,1.43,2.0,40.08
2019-10-23 17:00:00-04:00,1.4,1.42,1.86
2019-07-24 17:00:00-04:00,1.29,1.4,7.95
2019-04-24 16:00:00-04:00,1.21,1.31,8.02
2019-01-30 16:00:00-05:00,1.14,1.76,54.74
2018-10-29 08:00:00-04:00,1.2,1.22,2.09
2018-08-01 16:00:00-04:00,1.16,1.52,30.66
2018-05-02 17:00:00-04:00,1.06,1.38,30.78
2018-02-07 17:00:00-05:00,1.23,1.59,29.25
2017-11-01 16:00:00-04:00,1.05,1.21,15.61
2017-07-27 16:00:00-04:00,1.0,1.04,3.88
2017-04-27 17:00:00-04:00,1.08,1.4,29.78
2017-02-02 16:00:00-05:00,0.97,2.98,207.04
2016-10-27 16:00:00-04:00,0.92,1.0,9.09
2016-07-28 17:00:00-04:00,0.84,1.1,31.26
2016-04-28 17:00:00-04:00,0.67,1.19,78.74
2016-02-04 16:00:00-05:00,0.68,0.71,4.77
2015-10-29 19:00:00-04:00,0.55,0.65,18.76
2015-07-30 15:00:00-04:00,0.52,0.53,3.34
2015-05-07 02:00:00-04:00,0.47,0.53,12.22
2015-02-05 07:00:00-05:00,0.36,0.65,81.21
2014-10-30 16:00:00-04:00,0.18,0.42,127.17
2014-08-06 19:00:00-04:00,0.85,0.49,-42.18
2014-05-12 06:00:00-04:00,0.56,0.58,3.12
2014-01-30 16:00:00-05:00,0.56,0.41,-27.95
2013-10-30 19:00:00-04:00,0.76,0.5,-33.94
