EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-18 08:00:00-05:00,0.55,,
2025-10-29 06:00:00-04:00,1.43,1.53,6.7
2025-07-30 06:00:00-04:00,0.91,1.05,15.11
2025-04-29 06:00:00-04:00,0.69,0.82,19.63
2025-02-18 06:00:00-05:00,0.63,0.66,4.27
2024-10-31 08:00:00-04:00,1.49,1.5,0.48
2024-08-01 06:00:00-04:00,0.88,0.96,9.04
2024-04-24 06:00:00-04:00,0.72,0.54,-24.59
2024-02-22 06:00:00-05:00,0.27,0.26,-2.41
2023-11-01 06:00:00-04:00,1.5,1.64,8.91
2023-08-02 06:00:00-04:00,0.84,0.92,8.91
2023-04-26 06:00:00-04:00,0.69,0.57,-17.38
2023-02-16 06:00:00-05:00,0.25,0.26,1.91
2022-11-02 06:00:00-04:00,1.32,1.42,7.3
2022-08-03 06:00:00-04:00,0.7,0.89,27.41
2022-04-27 07:00:00-04:00,0.68,0.66,-3.62
2022-02-23 06:00:00-05:00,0.34,0.38,12.27
2021-11-03 06:00:00-04:00,1.23,1.23,-0.37
2021-08-04 06:00:00-04:00,0.7,0.67,-4.66
2021-04-28 06:00:00-04:00,0.58,0.74,25.69
2021-02-24 06:00:00-05:00,0.31,0.36,14.3
2020-10-28 07:00:00-04:00,1.2,1.22,1.68
2020-07-29 06:00:00-04:00,0.62,0.69,9.97
2020-05-11 06:00:00-04:00,0.48,0.57,20.0
2020-02-19 06:00:00-05:00,0.33,0.34,3.73
2019-10-30 06:00:00-04:00,1.14,1.26,10.32
2019-07-31 06:00:00-04:00,0.68,0.68,-1.28
2019-05-01 06:00:00-04:00,0.44,0.41,-7.07
2019-02-20 06:00:00-05:00,0.2,0.3,47.77
2018-10-31 06:00:00-04:00,1.41,1.89,33.27
2018-08-01 06:00:00-04:00,0.65,0.9,36.8
2018-04-25 07:00:00-04:00,0.66,0.58,-11.86
2018-02-23 06:00:00-05:00,0.23,0.38,63.62
2017-10-24 06:00:00-04:00,1.1,1.18,6.7
2017-08-02 06:00:00-04:00,0.59,1.56,161.4
2017-04-26 06:00:00-04:00,0.54,0.5,-8.17
2017-02-15 06:00:00-05:00,0.09,0.16,73.38
2016-10-25 06:00:00-04:00,1.01,1.16,14.2
2016-08-02 06:00:00-04:00,0.53,1.56,191.41
2016-04-26 06:00:00-04:00,0.62,0.68,9.56
2016-02-18 06:00:00-05:00,0.7,0.79,13.02
2015-11-02 07:00:00-05:00,1.01,0.95,-6.25
2015-08-04 07:00:00-04:00,0.57,0.42,-26.88
2015-04-28 06:00:00-04:00,0.65,0.84,29.16
2015-02-05 07:00:00-05:00,0.4,0.38,-7.29
2014-11-03 19:00:00-05:00,0.84,0.84,0.11
2014-07-29 07:00:00-04:00,0.55,0.56,1.45
2014-04-24 07:00:00-04:00,1.14,1.15,0.08
2014-02-11 07:00:00-05:00,0.43,0.5,14.98
2013-10-29 07:00:00-04:00,1.12,1.21,7.68
