EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-11 16:00:00-05:00,0.62,,
2025-10-30 16:00:00-04:00,0.59,0.67,12.63
2025-07-24 16:00:00-04:00,0.62,0.67,7.64
2025-04-23 16:00:00-04:00,0.6,0.64,7.46
2025-02-11 16:00:00-05:00,0.55,0.59,6.39
2024-10-24 16:00:00-04:00,0.59,0.67,13.97
2024-07-24 16:00:00-04:00,0.69,0.7,0.88
2024-04-25 16:00:00-04:00,0.64,0.66,2.79
2024-02-06 16:00:00-05:00,0.64,0.64,0.16
2023-10-25 16:00:00-04:00,0.59,0.59,-0.66
2023-07-26 16:00:00-04:00,0.65,0.66,1.89
2023-04-26 16:00:00-04:00,0.61,0.62,2.02
2023-01-31 16:00:00-05:00,0.61,0.64,4.51
2022-10-27 16:00:00-04:00,0.62,0.61,-2.03
2022-07-28 16:00:00-04:00,0.64,0.63,-1.41
2022-04-26 16:00:00-04:00,0.57,0.6,5.24
2022-01-26 16:00:00-05:00,0.55,0.51,-6.83
2021-10-27 16:00:00-04:00,0.53,0.54,1.67
2021-07-29 16:00:00-04:00,0.55,0.64,15.55
2021-04-20 16:00:00-04:00,0.47,0.54,13.87
2021-01-27 16:00:00-05:00,0.53,0.5,-5.46
2020-10-21 16:00:00-04:00,0.44,0.51,15.1
2020-07-23 16:00:00-04:00,0.19,0.34,82.25
2020-04-23 17:00:00-04:00,0.41,0.5,23.29
2020-01-30 16:00:00-05:00,0.5,0.49,-1.72
2019-10-23 16:00:00-04:00,0.41,0.47,15.77
2019-07-23 16:00:00-04:00,0.44,0.46,3.9
2019-04-23 16:00:00-04:00,0.41,0.44,7.85
2019-01-31 16:00:00-05:00,0.39,0.39,-0.01
2018-10-23 16:00:00-04:00,0.34,0.36,5.33
2018-07-26 16:00:00-04:00,0.38,0.41,9.54
2018-04-24 16:00:00-04:00,0.37,0.41,9.59
2018-02-01 16:00:00-05:00,0.3,0.31,3.36
2017-10-24 16:00:00-04:00,0.29,0.28,-2.48
2017-07-26 16:00:00-04:00,0.29,0.36,22.61
2017-04-25 16:00:00-04:00,0.27,0.31,14.27
2017-02-01 16:00:00-05:00,0.24,0.25,4.69
2016-10-25 16:00:00-04:00,0.23,0.23,0.39
2016-07-26 16:00:00-04:00,0.23,0.25,8.54
2016-04-26 16:00:00-04:00,0.22,0.24,8.01
2016-02-02 16:00:00-05:00,0.2,0.21,5.63
2015-10-26 16:00:00-04:00,0.16,0.18,9.32
2015-07-28 16:00:00-04:00,0.17,0.19,7.65
2015-04-23 16:00:00-04:00,0.17,0.19,7.25
2015-02-03 16:00:00-05:00,0.16,0.18,12.04
2014-10-23 16:00:00-04:00,0.12,0.13,11.54
2014-07-29 16:00:00-04:00,0.13,0.15,14.37
2014-04-24 16:00:00-04:00,0.11,0.13,10.48
2014-02-03 16:00:00-05:00,0.14,0.15,10.6
2013-10-28 09:00:00-04:00,0.11,0.11,3.1
