EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-11 08:00:00-05:00,0.58,,
2025-11-04 06:00:00-05:00,0.78,0.86,10.54
2025-07-31 06:00:00-04:00,0.37,0.39,6.11
2025-05-01 06:00:00-04:00,0.86,0.92,6.9
2025-02-12 06:00:00-05:00,0.59,0.64,7.95
2024-10-30 06:00:00-04:00,0.67,0.71,5.9
2024-08-01 06:00:00-04:00,0.39,0.47,19.4
2024-05-02 06:00:00-04:00,0.7,0.68,-2.29
2024-02-21 06:00:00-05:00,0.58,0.6,3.06
2023-11-02 06:00:00-04:00,0.68,0.67,-1.92
2023-08-02 06:00:00-04:00,0.4,0.41,1.26
2023-05-03 06:00:00-04:00,0.66,0.7,6.03
2023-02-14 06:00:00-05:00,0.43,0.43,-0.34
2022-11-03 06:00:00-04:00,0.7,0.75,6.52
2022-08-03 06:00:00-04:00,0.46,0.44,-3.81
2022-05-09 08:00:00-04:00,0.65,0.64,-2.06
2022-02-25 15:00:00-05:00,0.78,0.9,14.93
2021-11-03 06:00:00-04:00,1.1,1.09,-0.48
2021-08-04 06:00:00-04:00,0.67,0.89,33.59
2021-05-05 06:00:00-04:00,0.07,-0.06,-188.03
2021-02-24 06:00:00-05:00,0.7,0.76,9.29
2020-11-03 06:00:00-05:00,0.87,1.04,19.34
2020-08-04 06:00:00-04:00,0.43,0.55,27.22
2020-05-08 08:00:00-04:00,0.85,0.87,2.83
2020-02-11 06:00:00-05:00,0.73,0.83,13.69
2019-10-31 06:00:00-04:00,0.89,0.92,3.15
2019-08-01 06:00:00-04:00,0.62,0.6,-3.14
2019-05-02 06:00:00-04:00,0.87,0.87,-0.17
2019-02-08 06:00:00-05:00,0.57,0.58,1.58
2018-11-01 06:00:00-04:00,0.88,0.88,0.27
2018-08-02 06:00:00-04:00,0.61,0.71,15.45
2018-05-02 07:00:00-04:00,0.93,0.96,3.54
2018-02-07 07:00:00-05:00,0.6,0.55,-8.76
2017-11-02 07:00:00-04:00,0.86,0.85,-0.71
2017-08-02 08:00:00-04:00,0.52,0.54,2.96
2017-05-03 08:00:00-04:00,0.61,0.65,5.74
2017-02-08 08:00:00-05:00,0.45,0.44,-2.02
2016-10-26 08:00:00-04:00,0.78,0.91,15.98
2016-08-09 08:00:00-04:00,0.56,0.65,15.57
2016-05-06 08:00:00-04:00,0.66,0.68,3.08
2016-02-03 08:00:00-05:00,0.39,0.38,-3.65
2015-10-30 08:00:00-04:00,0.73,0.83,13.65
2015-07-29 08:00:00-04:00,0.53,0.59,10.58
2015-04-29 08:00:00-04:00,0.69,0.71,3.08
2015-02-13 08:00:00-05:00,0.5,0.48,-4.94
2014-10-29 08:00:00-04:00,0.72,0.78,9.01
2014-07-31 07:00:00-04:00,0.5,0.51,1.63
2014-04-30 06:00:00-04:00,0.69,0.62,-9.73
2014-02-06 08:00:00-05:00,0.53,0.5,-6.23
2013-10-30 07:00:00-04:00,0.66,0.78,17.42
