EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-24 16:00:00-05:00,1.17,,
2025-10-29 16:00:00-04:00,1.19,0.78,-34.22
2025-07-30 16:00:00-04:00,1.18,1.18,-0.22
2025-04-29 16:00:00-04:00,1.03,1.28,24.62
2025-02-25 16:00:00-05:00,1.07,1.24,15.59
2024-10-29 16:00:00-04:00,1.1,0.91,-17.44
2024-07-30 16:00:00-04:00,1.02,0.88,-13.86
2024-04-30 16:00:00-04:00,0.99,1.01,1.77
2024-02-27 16:00:00-05:00,1.19,1.04,-12.97
2023-11-07 16:00:00-05:00,0.94,1.23,30.76
2023-08-03 16:00:00-04:00,1.5,1.5,-0.29
2023-05-02 16:00:00-04:00,1.4,1.46,4.35
2023-02-22 16:00:00-05:00,1.46,1.52,3.76
2022-11-01 16:00:00-04:00,1.58,1.65,4.65
2022-08-02 16:00:00-04:00,1.47,1.63,10.89
2022-05-03 16:00:00-04:00,1.33,1.44,7.87
2022-02-23 16:00:00-05:00,1.4,2.0,42.95
2021-10-27 16:00:00-04:00,1.24,1.4,12.92
2021-07-27 16:00:00-04:00,1.08,1.15,6.39
2021-04-28 16:00:00-04:00,1.02,1.0,-1.51
2021-02-22 16:00:00-05:00,0.92,1.19,29.73
2020-11-04 16:00:00-05:00,0.82,0.88,6.88
2020-08-04 16:00:00-04:00,0.71,0.8,12.07
2020-05-06 17:00:00-04:00,0.76,0.83,9.16
2020-02-18 16:00:00-05:00,0.79,0.86,8.4
2019-10-29 16:00:00-04:00,0.8,0.83,4.4
2019-07-30 16:00:00-04:00,0.75,0.76,2.33
2019-04-30 16:00:00-04:00,0.69,0.74,7.25
2019-02-20 16:00:00-05:00,0.76,0.8,5.96
2018-10-30 16:00:00-04:00,0.75,1.02,36.0
2018-07-31 16:00:00-04:00,0.71,0.75,5.63
2018-05-01 16:00:00-04:00,0.66,0.7,5.29
2018-02-20 16:00:00-05:00,0.69,1.63,134.93
2017-11-01 16:00:00-04:00,0.71,0.74,3.72
2017-08-01 16:00:00-04:00,0.65,0.69,5.52
2017-04-26 16:00:00-04:00,0.57,0.64,12.16
2017-02-21 16:00:00-05:00,0.55,0.65,16.83
2016-10-26 16:00:00-04:00,0.65,0.65,0.4
2016-07-27 16:00:00-04:00,0.58,0.57,-1.54
2016-05-02 16:00:00-04:00,0.52,0.7,33.75
2016-02-23 16:00:00-05:00,0.3,0.42,40.07
2015-10-28 16:00:00-04:00,0.51,0.55,7.22
2015-07-29 16:00:00-04:00,0.46,0.48,4.31
2015-04-29 16:00:00-04:00,0.42,0.45,5.64
2015-02-19 17:00:00-05:00,0.46,0.44,-5.76
2014-10-29 16:00:00-04:00,0.44,0.48,7.15
2014-07-30 16:00:00-04:00,0.36,0.42,16.17
2014-04-28 16:00:00-04:00,0.31,0.32,5.24
2014-02-20 16:00:00-05:00,0.32,0.71,121.89
2013-10-28 16:00:00-04:00,0.31,0.37,20.57
