EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2025-12-18 08:00:00-05:00,4.34,,
2025-09-18 06:00:00-04:00,3.69,4.03,9.32
2025-06-23 07:00:00-04:00,4.3,4.27,-0.58
2025-03-20 06:00:00-04:00,4.18,4.28,2.39
2024-12-19 06:00:00-05:00,4.28,4.37,2.18
2024-09-19 07:00:00-04:00,3.62,3.74,3.3
2024-06-21 07:00:00-04:00,3.9,4.37,11.96
2024-03-21 07:00:00-04:00,3.88,4.22,8.69
2023-12-19 07:00:00-05:00,4.11,4.12,0.18
2023-09-21 07:00:00-04:00,3.49,2.93,-16.15
2023-06-22 07:00:00-04:00,3.6,3.79,5.24
2023-03-23 07:00:00-04:00,3.67,3.8,3.47
2022-12-20 06:00:00-05:00,3.63,3.99,10.07
2022-09-22 07:00:00-04:00,3.21,3.13,-2.46
2022-06-23 07:00:00-04:00,3.22,3.76,16.87
2022-03-24 07:00:00-04:00,2.97,3.27,9.92
2021-12-21 07:00:00-05:00,3.0,3.25,8.51
2021-09-28 07:00:00-04:00,2.73,2.88,5.59
2021-06-29 07:00:00-04:00,2.75,2.72,-1.08
2021-03-30 06:00:00-04:00,2.73,2.72,-0.31
2020-12-21 06:00:00-05:00,2.74,2.88,5.04
2020-09-24 07:00:00-04:00,2.53,2.88,14.0
2020-06-25 07:00:00-04:00,2.44,2.86,17.41
2020-03-26 07:00:00-04:00,2.49,2.55,2.58
2019-12-19 07:00:00-05:00,2.42,2.58,6.68
2019-09-26 07:00:00-04:00,2.46,2.61,6.09
2019-06-25 07:00:00-04:00,2.37,2.62,10.45
2019-03-26 07:00:00-04:00,2.34,2.42,3.38
2018-12-18 07:00:00-05:00,2.29,2.35,2.46
2018-09-25 07:00:00-04:00,2.21,2.2,-0.37
2018-06-26 07:00:00-04:00,2.13,2.18,2.21
2018-03-27 07:00:00-04:00,2.06,2.12,2.87
2017-12-19 07:00:00-05:00,1.98,2.04,3.17
2017-09-26 06:00:00-04:00,1.89,1.9,0.35
2017-06-27 07:00:00-04:00,1.84,1.85,0.78
2017-03-28 08:00:00-04:00,1.8,1.81,0.73
2016-12-20 07:00:00-05:00,1.7,1.75,2.78
2016-09-27 07:00:00-04:00,1.7,1.69,-0.36
2016-06-28 07:00:00-04:00,1.63,1.64,0.61
2016-03-15 07:00:00-04:00,1.71,1.75,2.45
2015-12-15 07:00:00-05:00,1.63,1.59,-2.15
2015-09-22 07:00:00-04:00,1.61,1.48,-7.99
2015-06-16 07:00:00-04:00,1.56,1.56,0.18
2015-03-17 07:00:00-04:00,1.56,1.52,-2.39
2014-12-16 07:00:00-05:00,1.46,1.44,-1.18
2014-09-16 07:00:00-04:00,1.42,1.43,1.01
2014-06-17 07:00:00-04:00,1.37,1.35,-1.15
2014-03-18 07:00:00-04:00,1.35,1.34,-0.74
2013-12-17 07:00:00-05:00,1.35,1.33,-1.72
2013-09-17 07:00:00-04:00,1.28,1.31,2.5
