EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2025-12-18 16:00:00-05:00,4.03,,
2025-09-18 16:00:00-04:00,3.61,3.83,6.01
2025-06-24 16:00:00-04:00,5.8,6.07,4.59
2025-03-20 16:00:00-04:00,4.62,4.51,-2.43
2024-12-19 16:00:00-05:00,3.97,4.05,2.12
2024-09-19 16:00:00-04:00,4.77,3.6,-24.48
2024-06-25 16:00:00-04:00,5.37,5.41,0.73
2024-03-21 16:00:00-04:00,3.48,3.86,10.95
2023-12-19 16:00:00-05:00,4.2,3.99,-5.01
2023-09-20 16:00:00-04:00,3.75,4.55,21.29
2023-06-20 16:00:00-04:00,4.88,4.94,1.13
2023-03-16 16:00:00-04:00,2.74,3.41,24.6
2022-12-20 16:00:00-05:00,2.82,3.18,12.74
2022-09-15 16:00:00-04:00,5.14,3.44,-33.08
2022-06-23 16:00:00-04:00,6.88,6.87,-0.12
2022-03-17 16:00:00-04:00,4.65,4.59,-1.3
2021-12-16 16:00:00-05:00,4.29,4.83,12.56
2021-09-21 16:00:00-04:00,4.92,4.37,-11.21
2021-06-24 16:00:00-04:00,5.0,5.01,0.13
2021-03-18 16:00:00-04:00,3.24,3.47,7.19
2020-12-17 16:00:00-05:00,4.01,4.83,20.34
2020-09-15 16:00:00-04:00,2.72,4.87,79.21
2020-06-30 16:00:00-04:00,1.57,2.53,61.66
2020-03-17 16:00:00-04:00,1.27,1.41,10.98
2019-12-17 16:00:00-05:00,2.79,2.51,-10.0
2019-09-17 16:00:00-04:00,3.15,3.05,-3.31
2019-06-25 16:00:00-04:00,4.83,5.01,3.62
2019-03-19 16:00:00-04:00,3.1,3.03,-2.13
2018-12-18 16:00:00-05:00,3.93,4.03,2.65
2018-09-17 16:00:00-04:00,3.8,3.46,-9.06
2018-06-19 16:00:00-04:00,5.71,5.91,3.52
2018-03-20 16:00:00-04:00,3.11,3.72,19.55
2017-12-19 16:00:00-05:00,2.88,3.18,10.37
2017-09-19 16:00:00-04:00,3.09,3.32,7.5
2017-06-20 16:00:00-04:00,3.87,4.25,9.72
2017-03-21 16:00:00-04:00,2.62,2.35,-10.18
2016-12-20 16:00:00-05:00,2.91,2.8,-3.64
2016-09-20 16:00:00-04:00,2.78,2.9,4.2
2016-06-21 16:00:00-04:00,3.28,3.3,0.69
2016-03-16 16:00:00-04:00,2.34,2.51,7.49
2015-12-16 16:00:00-05:00,2.5,2.58,3.34
2015-09-16 07:00:00-04:00,2.45,2.42,-1.31
2015-06-17 07:00:00-04:00,2.69,2.66,-1.02
2015-03-18 07:00:00-04:00,1.88,2.01,6.85
2014-12-17 07:00:00-05:00,2.22,2.14,-3.51
2014-09-17 07:00:00-04:00,1.95,2.1,7.54
2014-06-18 07:00:00-04:00,2.36,2.46,4.37
2014-03-19 08:00:00-04:00,1.46,1.23,-15.59
2013-12-18 07:00:00-05:00,1.65,1.57,-4.63
2013-09-18 07:00:00-04:00,1.5,1.53,1.99
