EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-25 16:00:00-05:00,0.58,,
2025-10-22 16:00:00-04:00,0.77,0.83,7.46
2025-07-30 16:00:00-04:00,0.49,0.52,6.88
2025-04-23 16:00:00-04:00,0.59,0.67,13.09
2025-02-26 16:00:00-05:00,0.69,0.67,-2.81
2024-10-29 16:00:00-04:00,0.9,0.85,-6.04
2024-07-30 16:00:00-04:00,0.56,0.56,0.81
2024-04-25 16:00:00-04:00,0.55,0.55,0.73
2024-02-08 16:00:00-05:00,0.59,0.62,4.56
2023-10-26 16:00:00-04:00,0.85,0.88,3.56
2023-08-01 16:00:00-04:00,0.45,0.47,3.61
2023-04-27 16:00:00-04:00,0.61,0.6,-1.64
2023-02-13 16:00:00-05:00,0.53,0.5,-4.84
2022-10-25 16:00:00-04:00,0.79,0.79,0.64
2022-07-26 16:00:00-04:00,0.52,0.53,1.07
2022-04-21 16:00:00-04:00,0.62,0.6,-2.64
2022-02-10 16:00:00-05:00,0.52,0.51,-1.02
2021-10-28 16:00:00-04:00,0.79,0.85,7.62
2021-07-22 16:00:00-04:00,0.56,0.59,4.43
2021-04-22 16:00:00-04:00,0.68,0.69,2.13
2021-02-18 06:00:00-05:00,0.43,0.32,-25.69
2020-11-02 06:00:00-05:00,0.79,0.84,6.03
2020-07-23 16:00:00-04:00,0.55,0.57,4.35
2020-04-23 16:00:00-04:00,0.63,0.66,5.09
2020-02-07 07:00:00-05:00,0.5,0.55,10.46
2019-11-04 06:00:00-05:00,0.73,0.76,4.7
2019-07-23 16:00:00-04:00,0.6,0.61,2.11
2019-04-23 16:00:00-04:00,0.68,0.67,-1.75
2019-02-19 16:00:00-05:00,0.47,0.5,6.42
2018-10-25 16:00:00-04:00,0.72,0.8,11.01
2018-07-31 17:00:00-04:00,0.52,0.62,18.16
2018-04-23 07:00:00-04:00,0.67,0.67,-0.32
2018-02-20 16:00:00-05:00,0.68,0.71,4.1
2017-10-26 16:00:00-04:00,0.86,0.97,12.61
2017-07-27 16:00:00-04:00,0.6,0.61,2.03
2017-04-27 16:00:00-04:00,0.72,0.78,9.04
2017-02-21 16:00:00-05:00,0.4,0.38,-4.51
2016-11-04 07:00:00-04:00,0.78,0.9,15.31
2016-07-28 16:00:00-04:00,0.54,0.56,3.09
2016-04-26 16:00:00-04:00,0.76,0.79,4.71
2016-02-16 16:00:00-05:00,0.57,0.58,2.4
2015-10-29 16:00:00-04:00,0.88,0.98,11.07
2015-07-30 17:00:00-04:00,0.47,0.53,12.78
2015-05-01 07:00:00-04:00,0.52,0.62,19.31
2015-02-17 16:00:00-05:00,0.76,0.8,5.94
2014-11-04 08:00:00-05:00,0.88,0.89,1.6
2014-08-05 09:00:00-04:00,0.44,0.48,9.11
2014-05-06 08:00:00-04:00,0.41,0.38,-7.2
2014-02-25 08:00:00-05:00,0.69,0.75,8.56
2013-11-05 08:00:00-05:00,0.93,0.94,1.53
