EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-27 16:00:00-05:00,3.64,,
2025-10-27 16:00:00-04:00,3.97,4.39,10.62
2025-07-30 16:00:00-04:00,3.49,4.16,19.17
2025-04-28 16:00:00-04:00,3.09,3.42,10.54
2025-01-28 16:00:00-05:00,3.38,3.84,13.67
2024-10-28 16:00:00-04:00,3.45,3.67,6.41
2024-07-29 16:00:00-04:00,2.97,3.36,13.08
2024-04-29 16:00:00-04:00,2.87,2.91,1.46
2024-01-29 16:00:00-05:00,3.04,3.43,12.95
2023-10-24 16:00:00-04:00,3.21,3.5,9.08
2023-07-24 16:00:00-04:00,2.86,3.21,12.31
2023-04-19 16:00:00-04:00,2.42,2.53,4.34
2023-01-24 16:00:00-05:00,2.33,2.47,6.02
2022-10-25 16:00:00-04:00,2.51,2.62,4.43
2022-07-25 16:00:00-04:00,2.23,2.57,15.08
2022-04-26 16:00:00-04:00,2.01,2.13,5.74
2022-01-25 16:00:00-05:00,2.78,2.89,3.81
2021-10-26 16:00:00-04:00,2.75,3.01,9.47
2021-07-26 16:00:00-04:00,2.46,2.76,12.25
2021-04-27 16:00:00-04:00,2.4,2.5,4.36
2021-01-26 16:00:00-05:00,2.46,2.59,5.39
2020-10-26 16:00:00-04:00,2.37,2.43,2.37
2020-07-27 16:00:00-04:00,2.04,2.18,7.09
2020-04-27 17:00:00-04:00,1.99,2.23,12.03
2020-01-27 16:00:00-05:00,2.43,2.55,5.04
2019-10-23 16:00:00-04:00,2.55,2.59,1.63
2019-07-24 16:00:00-04:00,2.48,2.52,1.5
2019-04-24 16:00:00-04:00,2.54,2.57,1.0
2019-01-23 16:00:00-05:00,2.53,2.7,6.51
2018-10-24 16:00:00-04:00,2.63,2.9,10.15
2018-07-25 16:00:00-04:00,2.39,2.44,2.25
2018-04-25 16:00:00-04:00,2.27,2.31,1.89
2018-01-24 16:00:00-05:00,2.05,2.26,10.34
2017-10-25 16:00:00-04:00,2.2,2.44,10.82
2017-07-26 16:00:00-04:00,2.03,2.03,0.09
2017-04-26 16:00:00-04:00,1.97,1.95,-1.11
2017-01-25 16:00:00-05:00,1.94,1.98,2.02
2016-10-26 16:00:00-04:00,1.94,2.11,8.73
2016-07-20 16:00:00-04:00,1.79,1.81,1.23
2016-04-20 16:00:00-04:00,1.63,1.68,3.05
2016-01-20 16:00:00-05:00,1.6,1.73,7.95
2015-10-28 16:00:00-04:00,1.74,1.84,5.47
2015-07-22 16:00:00-04:00,1.6,1.67,4.62
2015-04-22 16:00:00-04:00,1.5,1.59,6.12
2015-01-21 16:00:00-05:00,1.49,1.55,4.25
2014-10-29 16:00:00-04:00,1.48,1.57,6.0
2014-07-23 16:00:00-04:00,1.35,1.39,2.98
2014-04-23 16:00:00-04:00,1.25,1.27,1.47
2014-01-22 16:00:00-05:00,1.19,1.22,2.6
2013-10-23 16:00:00-04:00,1.19,1.26,6.12
