EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-03 16:00:00-05:00,7.11,,
2025-11-05 16:00:00-05:00,7.36,7.74,5.21
2025-07-30 16:00:00-04:00,7.7,8.57,11.28
2025-04-29 16:00:00-04:00,7.44,7.81,4.92
2025-02-04 16:00:00-05:00,6.08,5.79,-4.78
2024-11-06 16:00:00-05:00,6.39,6.54,2.38
2024-07-31 16:00:00-04:00,6.32,6.25,-1.06
2024-04-25 16:00:00-04:00,5.81,6.14,5.69
2024-01-25 16:00:00-05:00,5.06,4.81,-4.98
2023-11-08 16:00:00-05:00,5.22,5.01,-4.0
2023-08-02 16:00:00-04:00,5.25,5.66,7.88
2023-04-27 16:00:00-04:00,5.04,4.78,-5.14
2023-01-26 16:00:00-05:00,4.18,4.26,1.95
2022-11-09 16:00:00-05:00,4.21,4.4,4.61
2022-08-03 16:00:00-04:00,3.98,4.47,12.2
2022-04-27 16:00:00-04:00,3.73,4.68,25.35
2022-01-27 16:00:00-05:00,3.36,3.7,10.04
2021-11-10 16:00:00-05:00,3.18,3.92,23.28
2021-08-03 16:00:00-04:00,2.81,3.38,20.36
2021-05-05 16:00:00-04:00,2.59,3.06,17.92
2021-01-28 16:00:00-05:00,2.29,2.74,19.56
2020-11-10 16:00:00-05:00,2.32,3.25,40.26
2020-07-29 16:00:00-04:00,2.16,2.58,19.52
2020-04-29 16:00:00-04:00,1.76,2.14,21.48
2020-01-30 16:00:00-05:00,1.86,1.8,-2.96
2019-11-04 16:00:00-05:00,1.68,2.01,19.36
2019-07-31 16:00:00-04:00,1.93,2.5,29.87
2019-04-30 16:00:00-04:00,1.63,1.56,-4.29
2019-01-30 16:00:00-05:00,1.42,1.45,2.11
2018-11-01 16:00:00-04:00,2.02,1.89,-6.44
2018-07-26 16:00:00-04:00,1.63,1.51,-7.5
2018-04-26 16:00:00-04:00,1.37,1.54,12.61
2018-01-25 16:00:00-05:00,1.1,1.3,18.72
2017-11-01 16:00:00-04:00,1.69,1.65,-2.51
2017-07-31 16:00:00-04:00,1.38,1.16,-16.09
2017-04-27 16:00:00-04:00,1.1,1.05,-4.76
2017-01-31 16:00:00-05:00,1.05,1.03,-1.67
2016-11-07 16:00:00-05:00,1.1,1.28,16.89
2016-07-28 16:00:00-04:00,1.1,1.45,32.12
2016-05-04 16:00:00-04:00,1.13,1.09,-3.54
2016-01-28 16:00:00-05:00,0.85,0.99,16.02
2015-11-05 16:00:00-05:00,1.49,1.57,5.72
2015-07-29 16:00:00-04:00,0.95,1.0,5.82
2015-04-23 16:00:00-04:00,0.89,0.91,2.82
2015-01-29 16:00:00-05:00,0.93,0.68,-27.14
2014-11-06 16:00:00-05:00,1.19,1.33,11.76
2014-07-24 16:00:00-04:00,0.89,0.83,-6.74
2014-04-24 16:00:00-04:00,0.79,0.81,3.18
2014-01-22 16:00:00-05:00,0.73,0.73,0.46
2013-10-30 16:00:00-04:00,0.81,0.98,21.74
