EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-04 08:00:00-05:00,1.91,,
2025-10-29 07:00:00-04:00,2.65,2.04,-22.9
2025-07-23 07:00:00-04:00,2.43,2.47,1.49
2025-04-24 07:00:00-04:00,2.08,2.14,3.1
2025-02-05 07:00:00-05:00,1.92,1.64,-14.52
2024-10-22 07:00:00-04:00,2.26,2.3,1.6
2024-07-24 07:00:00-04:00,2.1,2.13,1.4
2024-04-23 07:00:00-04:00,1.79,1.88,5.09
2024-02-06 07:00:00-05:00,2.15,2.19,1.67
2023-10-24 07:00:00-04:00,1.93,1.96,1.69
2023-07-26 07:00:00-04:00,1.79,1.81,0.87
2023-04-25 07:00:00-04:00,1.56,1.58,1.09
2023-02-07 07:00:00-05:00,1.91,1.91,0.02
2022-10-27 07:00:00-04:00,1.69,1.63,-3.8
2022-07-26 07:00:00-04:00,1.55,1.56,0.8
2022-04-27 07:00:00-04:00,1.35,1.4,3.59
2022-02-08 07:00:00-05:00,1.56,1.57,0.94
2021-10-27 07:00:00-04:00,1.45,1.47,1.51
2021-07-27 07:00:00-04:00,1.28,1.37,7.07
2021-04-27 07:00:00-04:00,1.13,1.17,3.49
2021-02-09 16:00:00-05:00,1.29,1.3,0.67
2020-10-27 16:00:00-04:00,1.16,1.2,3.85
2020-08-05 16:00:00-04:00,0.93,0.93,-0.14
2020-05-07 17:00:00-04:00,0.99,0.99,0.42
2020-02-04 16:00:00-05:00,1.14,1.13,-0.95
2019-11-06 16:00:00-05:00,0.99,1.02,2.69
2019-07-25 16:00:00-04:00,0.81,0.82,1.84
2019-04-30 16:00:00-04:00,0.82,0.84,2.24
2019-02-07 16:00:00-05:00,0.85,0.84,-1.71
2018-10-31 16:00:00-04:00,0.77,0.75,-2.35
2018-07-31 16:00:00-04:00,0.74,0.75,1.82
2018-05-01 16:00:00-04:00,0.73,0.76,3.83
2018-02-07 16:00:00-05:00,0.69,0.71,2.5
2017-10-31 16:00:00-04:00,0.65,0.64,-2.67
2017-08-01 16:00:00-04:00,0.62,0.6,-3.34
2017-04-26 16:00:00-04:00,0.6,0.63,4.99
2017-02-08 16:00:00-05:00,0.58,0.58,-0.28
2016-10-26 16:00:00-04:00,0.57,0.57,0.58
2016-08-02 16:00:00-04:00,0.54,0.54,0.55
2016-05-05 16:00:00-04:00,0.51,0.53,4.33
2016-02-02 16:00:00-05:00,0.5,0.5,0.27
2015-10-27 16:00:00-04:00,0.49,0.52,5.8
2015-07-29 16:00:00-04:00,0.47,0.48,1.51
2015-05-05 16:00:00-04:00,0.43,0.45,3.0
2015-02-03 16:00:00-05:00,0.44,0.45,0.42
2014-10-28 16:00:00-04:00,0.42,0.43,2.17
2014-07-29 16:00:00-04:00,0.4,0.41,0.43
2014-04-29 16:00:00-04:00,0.37,0.41,10.27
2014-02-05 16:00:00-05:00,0.4,0.4,-2.36
2013-10-29 16:00:00-04:00,0.38,0.39,3.18
