EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-24 16:00:00-05:00,5.2,,
2025-10-30 16:00:00-04:00,4.22,4.24,0.51
2025-07-31 16:00:00-04:00,2.68,3.18,18.77
2025-04-29 16:00:00-04:00,2.55,1.95,-23.56
2025-02-25 16:00:00-05:00,4.73,3.65,-22.75
2024-10-29 16:00:00-04:00,3.15,2.91,-7.54
2024-07-30 16:00:00-04:00,2.66,3.25,22.25
2024-05-01 16:00:00-04:00,1.99,2.2,10.34
2024-02-27 16:00:00-05:00,3.13,3.25,3.67
2023-10-31 16:00:00-04:00,2.04,2.5,22.58
2023-07-27 16:00:00-04:00,0.96,1.89,97.41
2023-04-27 16:00:00-04:00,1.02,0.4,-60.74
2023-02-28 16:00:00-05:00,-0.15,-0.07,52.16
2022-10-27 16:00:00-04:00,-0.24,-0.51,-114.24
2022-07-28 16:00:00-04:00,0.03,0.52,1398.56
2022-04-28 16:00:00-04:00,-0.43,-0.41,3.62
2022-03-01 16:00:00-05:00,1.06,1.23,15.72
2021-11-04 16:00:00-04:00,0.6,0.44,-27.05
2021-07-29 16:00:00-04:00,0.56,0.78,39.4
2021-04-29 16:00:00-04:00,1.22,1.96,60.84
2021-02-25 16:00:00-05:00,1.23,1.08,-12.04
2020-10-27 16:00:00-04:00,0.65,1.45,124.36
2020-08-06 16:00:00-04:00,0.28,0.35,26.04
2020-05-07 17:00:00-04:00,0.2,0.85,320.5
2020-02-20 16:00:00-05:00,0.31,-0.56,-279.2
2019-10-24 16:00:00-04:00,1.11,0.29,-73.78
2019-08-01 16:00:00-04:00,0.01,-0.18,-1580.26
2019-05-02 16:00:00-04:00,-0.12,-0.64,-428.93
2019-02-21 16:00:00-05:00,0.64,0.49,-23.89
2018-10-25 16:00:00-04:00,0.4,0.54,36.33
2018-07-26 16:00:00-04:00,-0.03,-0.46,-1473.73
2018-04-26 16:00:00-04:00,-0.09,0.78,935.92
2018-02-22 16:00:00-05:00,-0.3,-0.25,15.86
2017-10-26 16:00:00-04:00,0.84,1.95,131.19
2017-07-27 16:00:00-04:00,-0.09,0.5,674.71
2017-05-02 16:00:00-04:00,-0.14,0.25,272.54
2017-02-21 16:00:00-05:00,1.0,1.24,23.9
2016-11-02 16:00:00-04:00,0.68,1.22,78.55
2016-08-03 16:00:00-04:00,0.55,0.87,58.42
2016-04-27 16:00:00-04:00,0.96,1.66,72.14
2016-02-23 16:00:00-05:00,0.83,1.6,92.63
2015-10-29 16:00:00-04:00,1.62,3.38,108.78
2015-08-04 16:00:00-04:00,0.25,0.52,104.3
2015-04-30 16:00:00-04:00,-0.28,-0.62,-121.59
2015-02-24 16:00:00-05:00,0.76,1.89,150.01
2014-11-06 16:00:00-05:00,0.64,0.61,-4.37
2014-08-05 16:00:00-04:00,0.33,0.04,-87.73
2014-05-06 16:00:00-04:00,0.52,1.1,112.59
2014-02-25 16:00:00-05:00,0.99,0.89,-10.19
2013-10-31 16:00:00-04:00,1.1,2.28,107.37
